reltime,datetime,iSensor,confidence,heart_rate
0.001,2024/05/28 15:34:05.2439,5,1.0,84.0
0.001,2024/05/28 15:34:05.2439,4,0.0,0.0
0.001,2024/05/28 15:34:05.2439,3,1.0,86.0
0.001,2024/05/28 15:34:05.2439,2,0.0,0.0
0.001,2024/05/28 15:34:05.2439,1,0.0,0.0
0.001,2024/05/28 15:34:05.2439,0,0.0,0.0
0.037,2024/05/28 15:34:05.2799,3,1.0,87.0
0.529,2024/05/28 15:34:05.7719,3,1.0,87.0
0.868,2024/05/28 15:34:06.1109,5,1.0,84.0
1.022,2024/05/28 15:34:06.2649,3,1.0,88.0
1.36,2024/05/28 15:34:06.6029,5,1.0,84.0
1.515,2024/05/28 15:34:06.7579,3,1.0,89.0
1.607,2024/05/28 15:34:06.8499,5,1.0,84.0
1.853,2024/05/28 15:34:07.0959,5,1.0,84.0
2.008,2024/05/28 15:34:07.2509,3,1.0,90.0
2.099,2024/05/28 15:34:07.3419,5,1.0,84.0
2.253,2024/05/28 15:34:07.4959,3,1.0,90.0
2.5,2024/05/28 15:34:07.7429,3,1.0,92.0
2.592,2024/05/28 15:34:07.8349,5,1.0,85.0
2.746,2024/05/28 15:34:07.9889,3,1.0,92.0
3.085,2024/05/28 15:34:08.3279,5,1.0,85.0
3.238,2024/05/28 15:34:08.4809,3,1.0,93.0
3.577,2024/05/28 15:34:08.8199,5,1.0,85.0
3.731,2024/05/28 15:34:08.9739,3,1.0,94.0
4.07,2024/05/28 15:34:09.3129,5,1.0,85.0
4.224,2024/05/28 15:34:09.4669,3,1.0,94.0
4.563,2024/05/28 15:34:09.8059,5,1.0,85.0
4.716,2024/05/28 15:34:09.9589,3,1.0,95.0
4.808,2024/05/28 15:34:10.0509,5,1.0,85.0
5.054,2024/05/28 15:34:10.2969,5,1.0,85.0
5.209,2024/05/28 15:34:10.4519,3,1.0,94.0
5.301,2024/05/28 15:34:10.5439,5,1.0,85.0
5.455,2024/05/28 15:34:10.6979,3,1.0,94.0
5.702,2024/05/28 15:34:10.9449,3,1.0,94.0
5.793,2024/05/28 15:34:11.0359,5,1.0,85.0
5.951,2024/05/28 15:34:11.1939,3,1.0,93.0
6.286,2024/05/28 15:34:11.5289,5,1.0,85.0
6.44,2024/05/28 15:34:11.6829,3,1.0,93.0
6.779,2024/05/28 15:34:12.0219,5,1.0,85.0
6.932,2024/05/28 15:34:12.1749,3,1.0,93.0
7.271,2024/05/28 15:34:12.5139,5,1.0,85.0
7.425,2024/05/28 15:34:12.6679,3,1.0,93.0
7.764,2024/05/28 15:34:13.0069,5,1.0,85.0
7.918,2024/05/28 15:34:13.1609,3,1.0,92.0
8.011,2024/05/28 15:34:13.2539,5,1.0,85.0
8.257,2024/05/28 15:34:13.4999,5,1.0,85.0
8.41,2024/05/28 15:34:13.6529,3,1.0,93.0
8.502,2024/05/28 15:34:13.7449,5,1.0,85.0
8.657,2024/05/28 15:34:13.8999,3,1.0,93.0
8.903,2024/05/28 15:34:14.1459,3,1.0,94.0
8.995,2024/05/28 15:34:14.2379,5,1.0,85.0
9.15,2024/05/28 15:34:14.3929,3,1.0,94.0
9.241,2024/05/28 15:34:14.4839,5,1.0,85.0
9.395,2024/05/28 15:34:14.6379,3,1.0,94.0
9.488,2024/05/28 15:34:14.7309,5,1.0,85.0
9.641,2024/05/28 15:34:14.8839,3,1.0,94.0
9.737,2024/05/28 15:34:14.9799,5,1.0,85.0
9.888,2024/05/28 15:34:15.1309,3,1.0,94.0
9.98,2024/05/28 15:34:15.2229,5,1.0,85.0
10.134,2024/05/28 15:34:15.3769,3,1.0,95.0
10.227,2024/05/28 15:34:15.4699,5,1.0,85.0
10.38,2024/05/28 15:34:15.6229,3,1.0,95.0
10.473,2024/05/28 15:34:15.7159,5,1.0,85.0
10.627,2024/05/28 15:34:15.8699,3,1.0,96.0
10.719,2024/05/28 15:34:15.9619,5,1.0,85.0
10.873,2024/05/28 15:34:16.1159,3,1.0,96.0
10.966,2024/05/28 15:34:16.2089,5,1.0,85.0
11.119,2024/05/28 15:34:16.3619,3,1.0,96.0
11.212,2024/05/28 15:34:16.4549,5,1.0,85.0
11.366,2024/05/28 15:34:16.6089,3,1.0,96.0
11.458,2024/05/28 15:34:16.7009,5,1.0,85.0
11.612,2024/05/28 15:34:16.8549,3,1.0,96.0
11.705,2024/05/28 15:34:16.9479,5,1.0,85.0
11.858,2024/05/28 15:34:17.1009,3,1.0,96.0
11.95,2024/05/28 15:34:17.1929,5,1.0,85.0
12.105,2024/05/28 15:34:17.3479,3,1.0,96.0
12.196,2024/05/28 15:34:17.4389,5,1.0,85.0
12.443,2024/05/28 15:34:17.6859,5,1.0,85.0
12.597,2024/05/28 15:34:17.8399,3,1.0,96.0
12.689,2024/05/28 15:34:17.9319,5,1.0,85.0
12.843,2024/05/28 15:34:18.0859,3,1.0,96.0
12.935,2024/05/28 15:34:18.1779,5,1.0,85.0
13.089,2024/05/28 15:34:18.3319,3,1.0,96.0
13.182,2024/05/28 15:34:18.4249,5,1.0,85.0
13.335,2024/05/28 15:34:18.5779,3,1.0,96.0
13.428,2024/05/28 15:34:18.6709,5,1.0,85.0
13.582,2024/05/28 15:34:18.8249,3,1.0,96.0
13.674,2024/05/28 15:34:18.9169,5,1.0,85.0
13.828,2024/05/28 15:34:19.0709,3,1.0,96.0
13.921,2024/05/28 15:34:19.1639,5,1.0,85.0
14.074,2024/05/28 15:34:19.3169,3,1.0,96.0
14.167,2024/05/28 15:34:19.4099,5,1.0,85.0
14.321,2024/05/28 15:34:19.5639,3,1.0,97.0
14.66,2024/05/28 15:34:19.9029,5,1.0,91.0
14.813,2024/05/28 15:34:20.0559,3,1.0,98.0
15.152,2024/05/28 15:34:20.3949,5,1.0,91.0
15.305,2024/05/28 15:34:20.5479,3,1.0,99.0
15.644,2024/05/28 15:34:20.8869,5,1.0,94.0
15.798,2024/05/28 15:34:21.0409,3,1.0,99.0
16.137,2024/05/28 15:34:21.3799,5,1.0,94.0
16.291,2024/05/28 15:34:21.5339,3,1.0,100.0
16.383,2024/05/28 15:34:21.6259,5,1.0,94.0
16.63,2024/05/28 15:34:21.8729,5,1.0,94.0
16.783,2024/05/28 15:34:22.0259,3,1.0,101.0
16.876,2024/05/28 15:34:22.1189,5,1.0,94.0
17.03,2024/05/28 15:34:22.2729,3,1.0,103.0
17.276,2024/05/28 15:34:22.5189,3,1.0,103.0
17.369,2024/05/28 15:34:22.6119,5,1.0,94.0
17.522,2024/05/28 15:34:22.7649,3,1.0,104.0
17.862,2024/05/28 15:34:23.1049,5,1.0,95.0
18.015,2024/05/28 15:34:23.2579,3,1.0,104.0
18.353,2024/05/28 15:34:23.5959,5,1.0,95.0
18.508,2024/05/28 15:34:23.7509,3,1.0,105.0
18.846,2024/05/28 15:34:24.0889,5,1.0,97.0
19.339,2024/05/28 15:34:24.5819,5,1.0,97.0
19.585,2024/05/28 15:34:24.8279,5,1.0,98.0
19.831,2024/05/28 15:34:25.0739,5,1.0,98.0
19.985,2024/05/28 15:34:25.2279,3,1.0,106.0
20.078,2024/05/28 15:34:25.3209,5,1.0,98.0
20.231,2024/05/28 15:34:25.4739,3,1.0,106.0
20.478,2024/05/28 15:34:25.7209,3,1.0,106.0
20.57,2024/05/28 15:34:25.8129,5,1.0,98.0
21.063,2024/05/28 15:34:26.3059,5,1.0,98.0
21.216,2024/05/28 15:34:26.4589,3,1.0,105.0
21.555,2024/05/28 15:34:26.7979,5,1.0,98.0
21.709,2024/05/28 15:34:26.9519,3,1.0,103.0
