reltime,datetime,iSensor,confidence,heart_rate
0.001,2024/06/05 13:46:18.4069,5,1.0,89.0
0.001,2024/06/05 13:46:18.4069,4,0.0,0.0
0.001,2024/06/05 13:46:18.4069,3,1.0,91.0
0.001,2024/06/05 13:46:18.4069,2,0.0,0.0
0.001,2024/06/05 13:46:18.4069,1,0.0,0.0
0.001,2024/06/05 13:46:18.4069,0,0.0,0.0
0.012,2024/06/05 13:46:18.4179,3,1.0,91.0
0.046,2024/06/05 13:46:18.4519,5,1.0,89.0
0.259,2024/06/05 13:46:18.6649,3,1.0,91.0
0.505,2024/06/05 13:46:18.9109,3,1.0,91.0
0.538,2024/06/05 13:46:18.9439,5,1.0,89.0
0.752,2024/06/05 13:46:19.1579,3,1.0,91.0
0.784,2024/06/05 13:46:19.1899,5,1.0,89.0
0.998,2024/06/05 13:46:19.4039,3,1.0,90.0
1.031,2024/06/05 13:46:19.4369,5,1.0,89.0
1.244,2024/06/05 13:46:19.6499,3,1.0,90.0
1.277,2024/06/05 13:46:19.6829,5,1.0,89.0
1.491,2024/06/05 13:46:19.8969,3,1.0,90.0
1.737,2024/06/05 13:46:20.1429,3,1.0,90.0
1.77,2024/06/05 13:46:20.1759,5,1.0,89.0
2.229,2024/06/05 13:46:20.6349,3,1.0,90.0
2.262,2024/06/05 13:46:20.6679,5,1.0,89.0
2.475,2024/06/05 13:46:20.8809,3,1.0,91.0
2.508,2024/06/05 13:46:20.9139,5,1.0,89.0
2.722,2024/06/05 13:46:21.1279,3,1.0,91.0
2.755,2024/06/05 13:46:21.1609,5,1.0,89.0
3.001,2024/06/05 13:46:21.4069,5,1.0,89.0
3.214,2024/06/05 13:46:21.6199,3,1.0,91.0
3.494,2024/06/05 13:46:21.8999,5,1.0,89.0
3.707,2024/06/05 13:46:22.1129,3,1.0,92.0
4.199,2024/06/05 13:46:22.6049,3,1.0,92.0
4.479,2024/06/05 13:46:22.8849,5,1.0,89.0
4.692,2024/06/05 13:46:23.0979,3,1.0,92.0
4.971,2024/06/05 13:46:23.3769,5,1.0,89.0
5.185,2024/06/05 13:46:23.5909,3,1.0,92.0
5.43,2024/06/05 13:46:23.8359,3,1.0,92.0
5.463,2024/06/05 13:46:23.8689,5,1.0,89.0
5.677,2024/06/05 13:46:24.0829,3,1.0,92.0
5.711,2024/06/05 13:46:24.1169,5,1.0,90.0
5.923,2024/06/05 13:46:24.3289,3,1.0,92.0
5.956,2024/06/05 13:46:24.3619,5,1.0,90.0
6.203,2024/06/05 13:46:24.6089,5,1.0,90.0
6.416,2024/06/05 13:46:24.8219,3,1.0,92.0
6.695,2024/06/05 13:46:25.1009,5,1.0,90.0
6.908,2024/06/05 13:46:25.3139,3,1.0,92.0
7.188,2024/06/05 13:46:25.5939,5,1.0,90.0
7.4,2024/06/05 13:46:25.8059,3,1.0,93.0
7.893,2024/06/05 13:46:26.2989,3,1.0,94.0
8.172,2024/06/05 13:46:26.5779,5,1.0,90.0
8.386,2024/06/05 13:46:26.7919,3,1.0,95.0
8.632,2024/06/05 13:46:27.0379,3,1.0,95.0
8.665,2024/06/05 13:46:27.0709,5,1.0,90.0
8.879,2024/06/05 13:46:27.2849,3,1.0,95.0
8.912,2024/06/05 13:46:27.3179,5,1.0,90.0
9.125,2024/06/05 13:46:27.5309,3,1.0,96.0
9.158,2024/06/05 13:46:27.5639,5,1.0,90.0
9.405,2024/06/05 13:46:27.8109,5,1.0,90.0
9.617,2024/06/05 13:46:28.0229,3,1.0,97.0
9.896,2024/06/05 13:46:28.3019,5,1.0,90.0
10.11,2024/06/05 13:46:28.5159,3,1.0,99.0
10.389,2024/06/05 13:46:28.7949,5,1.0,90.0
10.602,2024/06/05 13:46:29.0079,3,1.0,99.0
10.882,2024/06/05 13:46:29.2879,5,1.0,91.0
11.095,2024/06/05 13:46:29.5009,3,1.0,101.0
11.375,2024/06/05 13:46:29.7809,5,1.0,91.0
11.587,2024/06/05 13:46:29.9929,3,1.0,102.0
11.834,2024/06/05 13:46:30.2399,3,1.0,102.0
11.868,2024/06/05 13:46:30.2739,5,1.0,91.0
12.08,2024/06/05 13:46:30.4859,3,1.0,102.0
12.113,2024/06/05 13:46:30.5189,5,1.0,91.0
12.327,2024/06/05 13:46:30.7329,3,1.0,102.0
12.36,2024/06/05 13:46:30.7659,5,1.0,91.0
12.606,2024/06/05 13:46:31.0119,5,1.0,91.0
12.819,2024/06/05 13:46:31.2249,3,1.0,102.0
13.099,2024/06/05 13:46:31.5049,5,1.0,92.0
13.312,2024/06/05 13:46:31.7179,3,1.0,101.0
13.591,2024/06/05 13:46:31.9969,5,1.0,92.0
14.083,2024/06/05 13:46:32.4889,5,1.0,94.0
14.576,2024/06/05 13:46:32.9819,5,1.0,94.0
14.789,2024/06/05 13:46:33.1949,3,1.0,99.0
15.069,2024/06/05 13:46:33.4749,5,1.0,94.0
15.281,2024/06/05 13:46:33.6869,3,1.0,98.0
15.315,2024/06/05 13:46:33.7209,5,1.0,94.0
15.528,2024/06/05 13:46:33.9339,3,1.0,98.0
15.562,2024/06/05 13:46:33.9679,5,1.0,94.0
15.807,2024/06/05 13:46:34.2129,5,1.0,96.0
16.021,2024/06/05 13:46:34.4269,3,1.0,98.0
16.3,2024/06/05 13:46:34.7059,5,1.0,96.0
16.513,2024/06/05 13:46:34.9189,3,1.0,98.0
