reltime,datetime,iSensor,ibi
0.001,2024/05/28 15:36:54.8549,5,674
0.001,2024/05/28 15:36:54.8549,4,0
0.001,2024/05/28 15:36:54.8549,3,636
0.001,2024/05/28 15:36:54.8549,2,0
0.001,2024/05/28 15:36:54.8549,1,0
0.001,2024/05/28 15:36:54.8549,0,0
0.202,2024/05/28 15:36:55.0559,5,666
0.354,2024/05/28 15:36:55.2079,3,617
0.448,2024/05/28 15:36:55.3019,5,666
0.695,2024/05/28 15:36:55.5489,5,666
0.941,2024/05/28 15:36:55.7949,5,666
1.093,2024/05/28 15:36:55.9469,3,604
1.186,2024/05/28 15:36:56.0399,5,666
1.584,2024/05/28 15:36:56.4379,3,602
1.926,2024/05/28 15:36:56.7799,5,666
2.323,2024/05/28 15:36:57.1769,3,617
2.665,2024/05/28 15:36:57.5189,5,666
2.911,2024/05/28 15:36:57.7649,5,666
3.063,2024/05/28 15:36:57.9169,3,644
3.157,2024/05/28 15:36:58.0109,5,666
3.404,2024/05/28 15:36:58.2579,5,666
3.555,2024/05/28 15:36:58.4089,3,666
3.65,2024/05/28 15:36:58.5039,5,666
3.895,2024/05/28 15:36:58.7489,5,666
4.142,2024/05/28 15:36:58.9959,5,659
4.294,2024/05/28 15:36:59.1479,3,684
4.388,2024/05/28 15:36:59.2419,5,659
4.786,2024/05/28 15:36:59.6399,3,664
5.525,2024/05/28 15:37:00.3789,3,646
5.62,2024/05/28 15:37:00.4739,5,659
5.867,2024/05/28 15:37:00.7209,5,659
6.113,2024/05/28 15:37:00.9669,5,659
6.263,2024/05/28 15:37:01.1169,3,640
6.358,2024/05/28 15:37:01.2119,5,659
6.605,2024/05/28 15:37:01.4589,5,659
6.756,2024/05/28 15:37:01.6099,3,635
6.851,2024/05/28 15:37:01.7049,5,659
7.097,2024/05/28 15:37:01.9509,5,651
7.344,2024/05/28 15:37:02.1979,5,651
7.495,2024/05/28 15:37:02.3489,3,642
7.59,2024/05/28 15:37:02.4439,5,651
7.836,2024/05/28 15:37:02.6899,5,651
7.988,2024/05/28 15:37:02.8419,3,647
