reltime;datetime;iSensor;confidence;heart_rate

   0.0010;2024/06/05 13:46:18.4069;5;1.00;89.0
   0.0010;2024/06/05 13:46:18.4069;4;0.00;0.0
   0.0010;2024/06/05 13:46:18.4069;3;1.00;91.0
   0.0010;2024/06/05 13:46:18.4069;2;0.00;0.0
   0.0010;2024/06/05 13:46:18.4069;1;0.00;0.0
   0.0010;2024/06/05 13:46:18.4069;0;0.00;0.0
   0.0120;2024/06/05 13:46:18.4179;3;1.00;91.0
   0.0460;2024/06/05 13:46:18.4519;5;1.00;89.0
   0.2590;2024/06/05 13:46:18.6649;3;1.00;91.0
   0.5050;2024/06/05 13:46:18.9109;3;1.00;91.0
   0.5380;2024/06/05 13:46:18.9439;5;1.00;89.0
   0.7520;2024/06/05 13:46:19.1579;3;1.00;91.0
   0.7840;2024/06/05 13:46:19.1899;5;1.00;89.0
   0.9980;2024/06/05 13:46:19.4039;3;1.00;90.0
   1.0310;2024/06/05 13:46:19.4369;5;1.00;89.0
   1.2440;2024/06/05 13:46:19.6499;3;1.00;90.0
   1.2770;2024/06/05 13:46:19.6829;5;1.00;89.0
   1.4910;2024/06/05 13:46:19.8969;3;1.00;90.0
   1.7370;2024/06/05 13:46:20.1429;3;1.00;90.0
   1.7700;2024/06/05 13:46:20.1759;5;1.00;89.0
   2.2290;2024/06/05 13:46:20.6349;3;1.00;90.0
   2.2620;2024/06/05 13:46:20.6679;5;1.00;89.0
   2.4750;2024/06/05 13:46:20.8809;3;1.00;91.0
   2.5080;2024/06/05 13:46:20.9139;5;1.00;89.0
   2.7220;2024/06/05 13:46:21.1279;3;1.00;91.0
   2.7550;2024/06/05 13:46:21.1609;5;1.00;89.0
   3.0010;2024/06/05 13:46:21.4069;5;1.00;89.0
   3.2140;2024/06/05 13:46:21.6199;3;1.00;91.0
   3.4940;2024/06/05 13:46:21.8999;5;1.00;89.0
   3.7070;2024/06/05 13:46:22.1129;3;1.00;92.0
   4.1990;2024/06/05 13:46:22.6049;3;1.00;92.0
   4.4790;2024/06/05 13:46:22.8849;5;1.00;89.0
   4.6920;2024/06/05 13:46:23.0979;3;1.00;92.0
   4.9710;2024/06/05 13:46:23.3769;5;1.00;89.0
   5.1850;2024/06/05 13:46:23.5909;3;1.00;92.0
   5.4300;2024/06/05 13:46:23.8359;3;1.00;92.0
   5.4630;2024/06/05 13:46:23.8689;5;1.00;89.0
   5.6770;2024/06/05 13:46:24.0829;3;1.00;92.0
   5.7110;2024/06/05 13:46:24.1169;5;1.00;90.0
   5.9230;2024/06/05 13:46:24.3289;3;1.00;92.0
   5.9560;2024/06/05 13:46:24.3619;5;1.00;90.0
   6.2030;2024/06/05 13:46:24.6089;5;1.00;90.0
   6.4160;2024/06/05 13:46:24.8219;3;1.00;92.0
   6.6950;2024/06/05 13:46:25.1009;5;1.00;90.0
   6.9080;2024/06/05 13:46:25.3139;3;1.00;92.0
   7.1880;2024/06/05 13:46:25.5939;5;1.00;90.0
   7.4000;2024/06/05 13:46:25.8059;3;1.00;93.0
   7.8930;2024/06/05 13:46:26.2989;3;1.00;94.0
   8.1720;2024/06/05 13:46:26.5779;5;1.00;90.0
   8.3860;2024/06/05 13:46:26.7919;3;1.00;95.0
   8.6320;2024/06/05 13:46:27.0379;3;1.00;95.0
   8.6650;2024/06/05 13:46:27.0709;5;1.00;90.0
   8.8790;2024/06/05 13:46:27.2849;3;1.00;95.0
   8.9120;2024/06/05 13:46:27.3179;5;1.00;90.0
   9.1250;2024/06/05 13:46:27.5309;3;1.00;96.0
   9.1580;2024/06/05 13:46:27.5639;5;1.00;90.0
   9.4050;2024/06/05 13:46:27.8109;5;1.00;90.0
   9.6170;2024/06/05 13:46:28.0229;3;1.00;97.0
   9.8960;2024/06/05 13:46:28.3019;5;1.00;90.0
  10.1100;2024/06/05 13:46:28.5159;3;1.00;99.0
  10.3890;2024/06/05 13:46:28.7949;5;1.00;90.0
