reltime;datetime;iSensor;ibi

   0.0010;2024/05/28 15:34:05.2439;5;714
   0.0010;2024/05/28 15:34:05.2439;4;0
   0.0010;2024/05/28 15:34:05.2439;3;654
   0.0010;2024/05/28 15:34:05.2439;2;0
   0.0010;2024/05/28 15:34:05.2439;1;0
   0.0010;2024/05/28 15:34:05.2439;0;0
   0.0370;2024/05/28 15:34:05.2799;3;632
   1.0220;2024/05/28 15:34:06.2649;3;623
   1.5150;2024/05/28 15:34:06.7579;3;608
   1.6070;2024/05/28 15:34:06.8499;5;714
   1.8530;2024/05/28 15:34:07.0959;5;714
   2.0080;2024/05/28 15:34:07.2509;3;593
   2.0990;2024/05/28 15:34:07.3419;5;714
   2.5000;2024/05/28 15:34:07.7429;3;589
   3.2380;2024/05/28 15:34:08.4809;3;600
   3.7310;2024/05/28 15:34:08.9739;3;637
   4.7160;2024/05/28 15:34:09.9589;3;669
   4.8080;2024/05/28 15:34:10.0509;5;705
   5.0540;2024/05/28 15:34:10.2969;5;705
   5.2090;2024/05/28 15:34:10.4519;3;679
   5.3010;2024/05/28 15:34:10.5439;5;705
   5.9510;2024/05/28 15:34:11.1939;3;657
   6.4400;2024/05/28 15:34:11.6829;3;665
   6.9320;2024/05/28 15:34:12.1749;3;652
   7.9180;2024/05/28 15:34:13.1609;3;619
   8.0110;2024/05/28 15:34:13.2539;5;705
   8.2570;2024/05/28 15:34:13.4999;5;705
   8.4100;2024/05/28 15:34:13.6529;3;604
   8.5020;2024/05/28 15:34:13.7449;5;705
   8.9030;2024/05/28 15:34:14.1459;3;606
   9.2410;2024/05/28 15:34:14.4839;5;705
   9.4880;2024/05/28 15:34:14.7309;5;705
   9.6410;2024/05/28 15:34:14.8839;3;612
   9.7370;2024/05/28 15:34:14.9799;5;705
   9.9800;2024/05/28 15:34:15.2229;5;705
  10.1340;2024/05/28 15:34:15.3769;3;621
  10.2270;2024/05/28 15:34:15.4699;5;705
  10.4730;2024/05/28 15:34:15.7159;5;705
  10.6270;2024/05/28 15:34:15.8699;3;623
  10.7190;2024/05/28 15:34:15.9619;5;705
  10.9660;2024/05/28 15:34:16.2089;5;705
  11.2120;2024/05/28 15:34:16.4549;5;705
  11.3660;2024/05/28 15:34:16.6089;3;619
  11.4580;2024/05/28 15:34:16.7009;5;705
  11.7050;2024/05/28 15:34:16.9479;5;705
  11.8580;2024/05/28 15:34:17.1009;3;620
  11.9500;2024/05/28 15:34:17.1929;5;705
  12.1960;2024/05/28 15:34:17.4389;5;705
  12.4430;2024/05/28 15:34:17.6859;5;705
  12.5970;2024/05/28 15:34:17.8399;3;616
  12.6890;2024/05/28 15:34:17.9319;5;705
  12.9350;2024/05/28 15:34:18.1779;5;705
  13.0890;2024/05/28 15:34:18.3319;3;611
