reltime;datetime;iSensor;headPos.x;headPos.y;headPos.z;headPosQ;headYaw;headPitch;headRoll;headRotQ;gazeSrc.x;gazeSrc.y;gazeSrc.z;gazeDir.x;gazeDir.y;gazeDir.z;gazeQ;leftEyeOpen;leftEyeOpenQ;rightEyeOpen;rightEyeOpenQ;pupil;pupilQ

   0.0010;2024/05/28 15:34:05.2439;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.013;-0.015;0.959;-0.112;0.261;1.00;10.00;1.00;10.00;1.00;2.50;1.00
   1.2910;2024/05/28 15:34:06.5339;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.013;-0.015;0.936;-0.122;0.330;1.00;10.00;1.00;10.00;1.00;2.57;1.00
   1.3110;2024/05/28 15:34:06.5539;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.013;-0.015;0.934;-0.126;0.334;1.00;10.00;1.00;10.00;1.00;2.60;1.00
   1.3210;2024/05/28 15:34:06.5639;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.013;-0.015;0.934;-0.126;0.334;1.00;10.00;1.00;10.00;1.00;2.60;1.00
   1.3410;2024/05/28 15:34:06.5839;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.013;-0.015;0.934;-0.124;0.335;1.00;10.00;1.00;10.00;1.00;2.60;1.00
   1.3510;2024/05/28 15:34:06.5939;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.013;-0.015;0.934;-0.127;0.334;1.00;10.00;1.00;10.00;1.00;2.57;1.00
   1.3700;2024/05/28 15:34:06.6129;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.013;-0.015;0.944;-0.124;0.306;1.00;10.00;1.00;10.00;1.00;2.58;1.00
   1.3800;2024/05/28 15:34:06.6229;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.013;-0.015;0.948;-0.127;0.291;1.00;10.00;1.00;10.00;1.00;2.58;1.00
   1.4000;2024/05/28 15:34:06.6429;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.013;-0.015;0.951;-0.124;0.282;1.00;10.00;1.00;10.00;1.00;2.55;1.00
   1.4200;2024/05/28 15:34:06.6629;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.013;-0.015;0.953;-0.123;0.278;1.00;10.00;1.00;10.00;1.00;2.57;1.00
   1.4300;2024/05/28 15:34:06.6729;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.013;-0.015;0.953;-0.124;0.276;1.00;10.00;1.00;10.00;1.00;2.56;1.00
   1.4490;2024/05/28 15:34:06.6919;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.013;-0.015;0.956;-0.120;0.268;1.00;10.00;1.00;10.00;1.00;2.57;1.00
   1.4680;2024/05/28 15:34:06.7109;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.013;-0.015;0.956;-0.122;0.268;1.00;10.00;1.00;10.00;1.00;2.57;1.00
   1.4780;2024/05/28 15:34:06.7209;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.013;-0.015;0.954;-0.120;0.274;1.00;10.00;1.00;10.00;1.00;2.58;1.00
   1.4970;2024/05/28 15:34:06.7399;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.013;-0.015;0.954;-0.120;0.275;1.00;10.00;1.00;10.00;1.00;2.58;1.00
   1.5060;2024/05/28 15:34:06.7489;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.013;-0.015;0.953;-0.123;0.276;1.00;10.00;1.00;10.00;1.00;2.56;1.00
   1.5240;2024/05/28 15:34:06.7669;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.013;-0.015;0.953;-0.125;0.276;1.00;10.00;1.00;10.00;1.00;2.55;1.00
   1.5440;2024/05/28 15:34:06.7869;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.953;-0.123;0.277;1.00;10.00;1.00;10.00;1.00;2.58;1.00
   1.5640;2024/05/28 15:34:06.8069;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.953;-0.124;0.275;1.00;10.00;1.00;10.00;1.00;2.58;1.00
   1.5740;2024/05/28 15:34:06.8169;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.954;-0.125;0.274;1.00;10.00;1.00;10.00;1.00;2.57;1.00
   1.5940;2024/05/28 15:34:06.8369;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.954;-0.125;0.273;1.00;10.00;1.00;10.00;1.00;2.58;1.00
   1.6130;2024/05/28 15:34:06.8559;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.954;-0.123;0.274;1.00;10.00;1.00;10.00;1.00;2.59;1.00
   1.6220;2024/05/28 15:34:06.8649;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.954;-0.123;0.274;1.00;10.00;1.00;10.00;1.00;2.59;1.00
   1.6410;2024/05/28 15:34:06.8839;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.955;-0.121;0.270;1.00;10.00;1.00;10.00;1.00;2.58;1.00
   1.6500;2024/05/28 15:34:06.8929;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.955;-0.122;0.271;1.00;10.00;1.00;10.00;1.00;2.59;1.00
   1.6690;2024/05/28 15:34:06.9119;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.953;-0.126;0.275;1.00;10.00;1.00;10.00;1.00;2.60;1.00
   1.6780;2024/05/28 15:34:06.9209;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.954;-0.126;0.273;1.00;10.00;1.00;10.00;1.00;2.61;1.00
   1.6980;2024/05/28 15:34:06.9409;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.953;-0.127;0.274;1.00;10.00;1.00;10.00;1.00;2.58;1.00
   1.7170;2024/05/28 15:34:06.9599;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.954;-0.121;0.273;1.00;10.00;1.00;10.00;1.00;2.59;1.00
   1.7270;2024/05/28 15:34:06.9699;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.954;-0.121;0.273;1.00;10.00;1.00;10.00;1.00;2.59;1.00
   1.7460;2024/05/28 15:34:06.9889;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.943;-0.116;0.312;1.00;10.00;1.00;10.00;1.00;2.57;1.00
   1.7660;2024/05/28 15:34:07.0089;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.942;-0.117;0.315;1.00;10.00;1.00;10.00;1.00;2.58;1.00
   1.7760;2024/05/28 15:34:07.0189;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.942;-0.117;0.313;1.00;10.00;1.00;10.00;1.00;2.60;1.00
   1.7960;2024/05/28 15:34:07.0389;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.941;-0.121;0.317;1.00;10.00;1.00;10.00;1.00;2.58;1.00
   1.8060;2024/05/28 15:34:07.0489;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.940;-0.127;0.318;1.00;10.00;1.00;10.00;1.00;2.61;1.00
   1.8240;2024/05/28 15:34:07.0669;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.940;-0.126;0.318;1.00;10.00;1.00;10.00;1.00;2.62;1.00
   1.8440;2024/05/28 15:34:07.0869;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.939;-0.126;0.320;1.00;10.00;1.00;10.00;1.00;2.59;1.00
   1.8540;2024/05/28 15:34:07.0969;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.938;-0.128;0.321;1.00;10.00;1.00;10.00;1.00;2.59;1.00
   1.8740;2024/05/28 15:34:07.1169;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.937;-0.124;0.326;1.00;10.00;1.00;10.00;1.00;2.60;1.00
   1.8930;2024/05/28 15:34:07.1359;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.937;-0.126;0.326;1.00;10.00;1.00;10.00;1.00;2.59;1.00
   1.9030;2024/05/28 15:34:07.1459;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.936;-0.126;0.328;1.00;10.00;1.00;10.00;1.00;2.59;1.00
   1.9220;2024/05/28 15:34:07.1649;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.936;-0.124;0.329;1.00;10.00;1.00;10.00;1.00;2.58;1.00
   1.9400;2024/05/28 15:34:07.1829;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.936;-0.125;0.328;1.00;10.00;1.00;10.00;1.00;2.57;1.00
   1.9600;2024/05/28 15:34:07.2029;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.936;-0.125;0.329;1.00;10.00;1.00;10.00;1.00;2.60;1.00
   1.9690;2024/05/28 15:34:07.2119;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.938;-0.122;0.324;1.00;10.00;1.00;10.00;1.00;2.57;1.00
   1.9880;2024/05/28 15:34:07.2309;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.953;-0.121;0.278;1.00;10.00;1.00;10.00;1.00;2.58;1.00
   1.9970;2024/05/28 15:34:07.2399;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.953;-0.121;0.278;1.00;10.00;1.00;10.00;1.00;2.58;1.00
   2.0160;2024/05/28 15:34:07.2589;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.956;-0.114;0.269;1.00;10.00;1.00;10.00;1.00;2.57;1.00
   2.0350;2024/05/28 15:34:07.2779;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.022;0.012;-0.015;0.957;-0.112;0.268;1.00;10.00;1.00;10.00;1.00;2.57;1.00
