reltime;datetime;iSensor;headPos.x;headPos.y;headPos.z;headPosQ;headYaw;headPitch;headRoll;headRotQ;gazeSrc.x;gazeSrc.y;gazeSrc.z;gazeDir.x;gazeDir.y;gazeDir.z;gazeQ;leftEyeOpen;leftEyeOpenQ;rightEyeOpen;rightEyeOpenQ;pupil;pupilQ

   0.0010;2024/06/13 13:46:34.4369;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.938;-0.209;0.278;1.00;10.00;1.00;10.00;1.00;3.19;1.00
   1.2800;2024/06/13 13:46:35.7159;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.932;-0.221;0.286;1.00;10.00;1.00;10.00;1.00;3.32;1.00
   1.2990;2024/06/13 13:46:35.7349;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.932;-0.221;0.286;1.00;10.00;1.00;10.00;1.00;3.28;1.00
   1.3090;2024/06/13 13:46:35.7449;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.932;-0.224;0.285;1.00;10.00;1.00;10.00;1.00;3.30;1.00
   1.3290;2024/06/13 13:46:35.7649;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.933;-0.224;0.283;1.00;10.00;1.00;10.00;1.00;3.30;1.00
   1.3390;2024/06/13 13:46:35.7749;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.933;-0.223;0.283;1.00;10.00;1.00;10.00;1.00;3.29;1.00
   1.3590;2024/06/13 13:46:35.7949;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.935;-0.219;0.279;1.00;10.00;1.00;10.00;1.00;3.31;1.00
   1.3780;2024/06/13 13:46:35.8139;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.938;-0.215;0.271;1.00;10.00;1.00;10.00;1.00;3.30;1.00
   1.3880;2024/06/13 13:46:35.8239;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.938;-0.215;0.272;1.00;10.00;1.00;10.00;1.00;3.31;1.00
   1.4080;2024/06/13 13:46:35.8439;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.939;-0.213;0.271;1.00;10.00;1.00;10.00;1.00;3.29;1.00
   1.4180;2024/06/13 13:46:35.8539;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.940;-0.209;0.269;1.00;10.00;1.00;10.00;1.00;3.32;1.00
   1.4380;2024/06/13 13:46:35.8739;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.941;-0.208;0.265;1.00;10.00;1.00;10.00;1.00;3.30;1.00
   1.4570;2024/06/13 13:46:35.8929;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.941;-0.212;0.265;1.00;10.00;1.00;10.00;1.00;3.29;1.00
   1.4660;2024/06/13 13:46:35.9019;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.941;-0.212;0.265;1.00;10.00;1.00;10.00;1.00;3.29;1.00
   1.4860;2024/06/13 13:46:35.9219;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.941;-0.212;0.265;1.00;10.00;1.00;10.00;1.00;3.32;1.00
   1.4960;2024/06/13 13:46:35.9319;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.941;-0.212;0.265;1.00;10.00;1.00;10.00;1.00;3.32;1.00
   1.5140;2024/06/13 13:46:35.9499;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.941;-0.216;0.261;1.00;10.00;1.00;10.00;1.00;3.30;1.00
   1.5340;2024/06/13 13:46:35.9699;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.941;-0.215;0.261;1.00;10.00;1.00;10.00;1.00;3.32;1.00
   1.5440;2024/06/13 13:46:35.9799;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.941;-0.215;0.261;1.00;10.00;1.00;10.00;1.00;3.33;1.00
   1.5640;2024/06/13 13:46:35.9999;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.941;-0.216;0.260;1.00;10.00;1.00;10.00;1.00;3.34;1.00
   1.5740;2024/06/13 13:46:36.0099;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.941;-0.217;0.261;1.00;10.00;1.00;10.00;1.00;3.32;1.00
   1.5930;2024/06/13 13:46:36.0289;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.941;-0.215;0.260;1.00;10.00;1.00;10.00;1.00;3.32;1.00
   1.6120;2024/06/13 13:46:36.0479;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.940;-0.217;0.263;1.00;10.00;1.00;10.00;1.00;3.34;1.00
   1.6220;2024/06/13 13:46:36.0579;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.939;-0.218;0.265;0.98;9.57;1.00;10.00;1.00;3.33;0.98
   1.6410;2024/06/13 13:46:36.0769;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.939;-0.219;0.265;1.00;10.00;1.00;10.00;1.00;3.32;1.00
   1.6510;2024/06/13 13:46:36.0869;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.939;-0.220;0.265;1.00;10.00;1.00;10.00;1.00;3.33;1.00
   1.6700;2024/06/13 13:46:36.1059;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.939;-0.220;0.265;1.00;10.00;1.00;10.00;1.00;3.33;1.00
   1.6900;2024/06/13 13:46:36.1259;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.938;-0.218;0.268;1.00;10.00;1.00;10.00;1.00;3.33;1.00
   1.6990;2024/06/13 13:46:36.1349;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.938;-0.218;0.268;1.00;10.00;1.00;10.00;1.00;3.33;1.00
   1.7180;2024/06/13 13:46:36.1539;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.940;-0.218;0.263;1.00;10.00;1.00;10.00;1.00;3.31;1.00
   1.7370;2024/06/13 13:46:36.1729;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.940;-0.217;0.261;1.00;10.00;1.00;10.00;1.00;3.31;1.00
   1.7470;2024/06/13 13:46:36.1829;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.940;-0.219;0.261;1.00;10.00;1.00;10.00;1.00;3.31;1.00
   1.7670;2024/06/13 13:46:36.2029;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.941;-0.218;0.260;1.00;10.00;1.00;10.00;1.00;3.31;1.00
   1.7770;2024/06/13 13:46:36.2129;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.941;-0.216;0.260;1.00;10.00;1.00;10.00;1.00;3.29;1.00
