reltime,datetime,iSensor,confidence,heart_rate
0.001,2024/05/28 15:36:54.8549,5,1.0,89.0
0.001,2024/05/28 15:36:54.8549,4,0.0,0.0
0.001,2024/05/28 15:36:54.8549,3,1.0,92.0
0.001,2024/05/28 15:36:54.8549,2,0.0,0.0
0.001,2024/05/28 15:36:54.8549,1,0.0,0.0
0.001,2024/05/28 15:36:54.8549,0,0.0,0.0
0.107,2024/05/28 15:36:54.9609,3,1.0,92.0
0.202,2024/05/28 15:36:55.0559,5,1.0,90.0
0.354,2024/05/28 15:36:55.2079,3,1.0,92.0
0.448,2024/05/28 15:36:55.3019,5,1.0,90.0
0.6,2024/05/28 15:36:55.4539,3,1.0,92.0
0.695,2024/05/28 15:36:55.5489,5,1.0,90.0
0.941,2024/05/28 15:36:55.7949,5,1.0,90.0
1.093,2024/05/28 15:36:55.9469,3,1.0,93.0
1.186,2024/05/28 15:36:56.0399,5,1.0,90.0
1.339,2024/05/28 15:36:56.1929,3,1.0,93.0
1.584,2024/05/28 15:36:56.4379,3,1.0,94.0
1.679,2024/05/28 15:36:56.5329,5,1.0,90.0
1.831,2024/05/28 15:36:56.6849,3,1.0,94.0
1.926,2024/05/28 15:36:56.7799,5,1.0,90.0
2.077,2024/05/28 15:36:56.9309,3,1.0,94.0
2.323,2024/05/28 15:36:57.1769,3,1.0,95.0
2.418,2024/05/28 15:36:57.2719,5,1.0,90.0
2.57,2024/05/28 15:36:57.4239,3,1.0,95.0
2.665,2024/05/28 15:36:57.5189,5,1.0,90.0
2.816,2024/05/28 15:36:57.6699,3,1.0,95.0
2.911,2024/05/28 15:36:57.7649,5,1.0,90.0
3.063,2024/05/28 15:36:57.9169,3,1.0,95.0
3.157,2024/05/28 15:36:58.0109,5,1.0,90.0
3.309,2024/05/28 15:36:58.1629,3,1.0,95.0
3.404,2024/05/28 15:36:58.2579,5,1.0,90.0
3.555,2024/05/28 15:36:58.4089,3,1.0,95.0
3.65,2024/05/28 15:36:58.5039,5,1.0,90.0
3.802,2024/05/28 15:36:58.6559,3,1.0,95.0
3.895,2024/05/28 15:36:58.7489,5,1.0,90.0
4.047,2024/05/28 15:36:58.9009,3,1.0,95.0
4.142,2024/05/28 15:36:58.9959,5,1.0,91.0
4.294,2024/05/28 15:36:59.1479,3,1.0,95.0
4.388,2024/05/28 15:36:59.2419,5,1.0,91.0
4.54,2024/05/28 15:36:59.3939,3,1.0,95.0
4.786,2024/05/28 15:36:59.6399,3,1.0,94.0
4.881,2024/05/28 15:36:59.7349,5,1.0,91.0
5.033,2024/05/28 15:36:59.8869,3,1.0,94.0
5.279,2024/05/28 15:37:00.1329,3,1.0,94.0
5.374,2024/05/28 15:37:00.2279,5,1.0,91.0
5.525,2024/05/28 15:37:00.3789,3,1.0,93.0
5.62,2024/05/28 15:37:00.4739,5,1.0,91.0
5.772,2024/05/28 15:37:00.6259,3,1.0,93.0
5.867,2024/05/28 15:37:00.7209,5,1.0,91.0
6.018,2024/05/28 15:37:00.8719,3,1.0,93.0
6.113,2024/05/28 15:37:00.9669,5,1.0,91.0
6.263,2024/05/28 15:37:01.1169,3,1.0,93.0
6.358,2024/05/28 15:37:01.2119,5,1.0,91.0
6.51,2024/05/28 15:37:01.3639,3,1.0,93.0
6.605,2024/05/28 15:37:01.4589,5,1.0,91.0
6.756,2024/05/28 15:37:01.6099,3,1.0,93.0
6.851,2024/05/28 15:37:01.7049,5,1.0,91.0
7.002,2024/05/28 15:37:01.8559,3,1.0,93.0
7.097,2024/05/28 15:37:01.9509,5,1.0,92.0
7.249,2024/05/28 15:37:02.1029,3,1.0,93.0
7.344,2024/05/28 15:37:02.1979,5,1.0,92.0
7.495,2024/05/28 15:37:02.3489,3,1.0,93.0
7.59,2024/05/28 15:37:02.4439,5,1.0,92.0
7.742,2024/05/28 15:37:02.5959,3,1.0,93.0
7.836,2024/05/28 15:37:02.6899,5,1.0,92.0
7.988,2024/05/28 15:37:02.8419,3,1.0,93.0
8.083,2024/05/28 15:37:02.9369,5,1.0,92.0
8.234,2024/05/28 15:37:03.0879,3,1.0,93.0
8.329,2024/05/28 15:37:03.1829,5,1.0,92.0
8.481,2024/05/28 15:37:03.3349,3,1.0,93.0
