reltime,datetime,iSensor,ibi
0.001,2024/06/05 13:46:18.4069,5,674
0.001,2024/06/05 13:46:18.4069,4,0
0.001,2024/06/05 13:46:18.4069,3,669
0.001,2024/06/05 13:46:18.4069,2,0
0.001,2024/06/05 13:46:18.4069,1,0
0.001,2024/06/05 13:46:18.4069,0,0
0.046,2024/06/05 13:46:18.4519,5,674
0.505,2024/06/05 13:46:18.9109,3,671
0.784,2024/06/05 13:46:19.1899,5,674
0.998,2024/06/05 13:46:19.4039,3,666
1.031,2024/06/05 13:46:19.4369,5,674
1.277,2024/06/05 13:46:19.6829,5,673
1.737,2024/06/05 13:46:20.1429,3,644
2.475,2024/06/05 13:46:20.8809,3,634
2.508,2024/06/05 13:46:20.9139,5,674
2.755,2024/06/05 13:46:21.1609,5,674
3.001,2024/06/05 13:46:21.4069,5,674
3.214,2024/06/05 13:46:21.6199,3,623
3.707,2024/06/05 13:46:22.1129,3,639
4.692,2024/06/05 13:46:23.0979,3,665
5.185,2024/06/05 13:46:23.5909,3,665
5.677,2024/06/05 13:46:24.0829,3,640
5.711,2024/06/05 13:46:24.1169,5,666
5.956,2024/06/05 13:46:24.3619,5,666
6.203,2024/06/05 13:46:24.6089,5,666
6.416,2024/06/05 13:46:24.8219,3,626
6.908,2024/06/05 13:46:25.3139,3,614
7.4,2024/06/05 13:46:25.8059,3,606
7.893,2024/06/05 13:46:26.2989,3,602
8.386,2024/06/05 13:46:26.7919,3,583
8.912,2024/06/05 13:46:27.3179,5,666
9.125,2024/06/05 13:46:27.5309,3,572
9.158,2024/06/05 13:46:27.5639,5,666
9.405,2024/06/05 13:46:27.8109,5,666
9.617,2024/06/05 13:46:28.0229,3,563
10.11,2024/06/05 13:46:28.5159,3,558
11.095,2024/06/05 13:46:29.5009,3,569
11.587,2024/06/05 13:46:29.9929,3,585
12.08,2024/06/05 13:46:30.4859,3,602
12.113,2024/06/05 13:46:30.5189,5,659
12.36,2024/06/05 13:46:30.7659,5,659
12.606,2024/06/05 13:46:31.0119,5,659
12.819,2024/06/05 13:46:31.2249,3,621
13.312,2024/06/05 13:46:31.7179,3,629
15.281,2024/06/05 13:46:33.6869,3,618
15.315,2024/06/05 13:46:33.7209,5,638
15.562,2024/06/05 13:46:33.9679,5,638
15.807,2024/06/05 13:46:34.2129,5,625
16.021,2024/06/05 13:46:34.4269,3,603
16.513,2024/06/05 13:46:34.9189,3,593
17.006,2024/06/05 13:46:35.4119,3,588
17.498,2024/06/05 13:46:35.9039,3,580
17.991,2024/06/05 13:46:36.3969,3,579
18.517,2024/06/05 13:46:36.9229,5,594
18.729,2024/06/05 13:46:37.1349,3,578
18.763,2024/06/05 13:46:37.1689,5,594
19.714,2024/06/05 13:46:38.1199,3,583
20.207,2024/06/05 13:46:38.6129,3,593
20.7,2024/06/05 13:46:39.1059,3,619
21.192,2024/06/05 13:46:39.5979,3,648
21.718,2024/06/05 13:46:40.1239,5,600
21.93,2024/06/05 13:46:40.3359,3,651
21.964,2024/06/05 13:46:40.3699,5,600
22.211,2024/06/05 13:46:40.6169,5,600
22.423,2024/06/05 13:46:40.8289,3,654
24.398,2024/06/05 13:46:42.8039,3,657
25.132,2024/06/05 13:46:43.5379,3,627
25.166,2024/06/05 13:46:43.5719,5,600
25.413,2024/06/05 13:46:43.8189,5,600
25.625,2024/06/05 13:46:44.0309,3,623
26.61,2024/06/05 13:46:45.0159,3,622
27.102,2024/06/05 13:46:45.5079,3,613
27.136,2024/06/05 13:46:45.5419,5,600
27.349,2024/06/05 13:46:45.7549,3,610
27.383,2024/06/05 13:46:45.7889,5,600
27.629,2024/06/05 13:46:46.0349,5,600
27.875,2024/06/05 13:46:46.2809,5,605
28.088,2024/06/05 13:46:46.4939,3,606
28.121,2024/06/05 13:46:46.5269,5,605
28.367,2024/06/05 13:46:46.7729,5,605
28.614,2024/06/05 13:46:47.0199,5,605
28.827,2024/06/05 13:46:47.2329,3,616
28.86,2024/06/05 13:46:47.2659,5,605
29.106,2024/06/05 13:46:47.5119,5,605
29.319,2024/06/05 13:46:47.7249,3,620
29.352,2024/06/05 13:46:47.7579,5,605
29.599,2024/06/05 13:46:48.0049,5,605
29.845,2024/06/05 13:46:48.2509,5,605
30.058,2024/06/05 13:46:48.4639,3,631
30.092,2024/06/05 13:46:48.4979,5,605
30.338,2024/06/05 13:46:48.7439,5,605
30.55,2024/06/05 13:46:48.9559,3,616
30.584,2024/06/05 13:46:48.9899,5,605
30.831,2024/06/05 13:46:49.2369,5,611
31.076,2024/06/05 13:46:49.4819,5,611
31.289,2024/06/05 13:46:49.6949,3,613
31.323,2024/06/05 13:46:49.7289,5,611
31.782,2024/06/05 13:46:50.1879,3,612
32.062,2024/06/05 13:46:50.4679,5,618
32.274,2024/06/05 13:46:50.6799,3,611
33.013,2024/06/05 13:46:51.4189,3,611
33.293,2024/06/05 13:46:51.6989,5,618
33.539,2024/06/05 13:46:51.9449,5,618
33.752,2024/06/05 13:46:52.1579,3,613
33.786,2024/06/05 13:46:52.1919,5,631
34.491,2024/06/05 13:46:52.8969,3,611
36.461,2024/06/05 13:46:54.8669,3,628
36.494,2024/06/05 13:46:54.8999,5,638
36.707,2024/06/05 13:46:55.1129,3,625
37.2,2024/06/05 13:46:55.6059,3,615
38.185,2024/06/05 13:46:56.5909,3,600
38.677,2024/06/05 13:46:57.0829,3,589
39.17,2024/06/05 13:46:57.5759,3,590
39.663,2024/06/05 13:46:58.0689,3,595
39.697,2024/06/05 13:46:58.1029,5,625
39.942,2024/06/05 13:46:58.3479,5,625
40.189,2024/06/05 13:46:58.5949,5,625
40.401,2024/06/05 13:46:58.8069,3,603
40.894,2024/06/05 13:46:59.2999,3,610
41.879,2024/06/05 13:47:00.2849,3,617
42.372,2024/06/05 13:47:00.7779,3,603
42.863,2024/06/05 13:47:01.2689,3,597
42.898,2024/06/05 13:47:01.3039,5,625
43.144,2024/06/05 13:47:01.5499,5,625
43.357,2024/06/05 13:47:01.7629,3,603
43.391,2024/06/05 13:47:01.7969,5,625
44.095,2024/06/05 13:47:02.5009,3,609
44.588,2024/06/05 13:47:02.9939,3,616
45.08,2024/06/05 13:47:03.4859,3,618
46.066,2024/06/05 13:47:04.4719,3,614
46.311,2024/06/05 13:47:04.7169,3,607
46.345,2024/06/05 13:47:04.7509,5,618
46.592,2024/06/05 13:47:04.9979,5,618
47.296,2024/06/05 13:47:05.7019,3,605
47.789,2024/06/05 13:47:06.1949,3,599
48.282,2024/06/05 13:47:06.6879,3,583
48.774,2024/06/05 13:47:07.1799,3,579
49.3,2024/06/05 13:47:07.7059,5,618
49.513,2024/06/05 13:47:07.9189,3,586
49.548,2024/06/05 13:47:07.9539,5,618
49.793,2024/06/05 13:47:08.1989,5,618
50.006,2024/06/05 13:47:08.4119,3,602
50.498,2024/06/05 13:47:08.9039,3,619
51.484,2024/06/05 13:47:09.8899,3,621
51.976,2024/06/05 13:47:10.3819,3,598
52.469,2024/06/05 13:47:10.8749,3,595
52.503,2024/06/05 13:47:10.9089,5,618
52.749,2024/06/05 13:47:11.1549,5,618
52.961,2024/06/05 13:47:11.3669,3,592
52.995,2024/06/05 13:47:11.4009,5,618
53.7,2024/06/05 13:47:12.1059,3,597
54.192,2024/06/05 13:47:12.5979,3,602
54.685,2024/06/05 13:47:13.0909,3,595
55.178,2024/06/05 13:47:13.5839,3,581
55.704,2024/06/05 13:47:14.1099,5,605
55.916,2024/06/05 13:47:14.3219,3,575
55.95,2024/06/05 13:47:14.3559,5,605
56.409,2024/06/05 13:47:14.8149,3,577
57.394,2024/06/05 13:47:15.7999,3,581
57.64,2024/06/05 13:47:16.0459,3,586
57.921,2024/06/05 13:47:16.3269,5,605
58.132,2024/06/05 13:47:16.5379,3,580
58.167,2024/06/05 13:47:16.5729,5,605
58.413,2024/06/05 13:47:16.8189,5,605
58.659,2024/06/05 13:47:17.0649,5,605
58.871,2024/06/05 13:47:17.2769,3,579
58.905,2024/06/05 13:47:17.3109,5,605
59.152,2024/06/05 13:47:17.5579,5,605
59.364,2024/06/05 13:47:17.7699,3,587
59.399,2024/06/05 13:47:17.8049,5,605
59.645,2024/06/05 13:47:18.0509,5,605
59.891,2024/06/05 13:47:18.2969,5,600
60.103,2024/06/05 13:47:18.5089,3,604
60.137,2024/06/05 13:47:18.5429,5,600
60.383,2024/06/05 13:47:18.7889,5,600
60.596,2024/06/05 13:47:19.0019,3,631
61.334,2024/06/05 13:47:19.7399,3,627
61.369,2024/06/05 13:47:19.7749,5,600
61.614,2024/06/05 13:47:20.0199,5,600
61.827,2024/06/05 13:47:20.2329,3,606
61.861,2024/06/05 13:47:20.2669,5,600
62.107,2024/06/05 13:47:20.5129,5,600
62.353,2024/06/05 13:47:20.7589,5,600
62.565,2024/06/05 13:47:20.9709,3,608
62.599,2024/06/05 13:47:21.0049,5,600
62.846,2024/06/05 13:47:21.2519,5,600
63.059,2024/06/05 13:47:21.4649,3,611
63.093,2024/06/05 13:47:21.4989,5,600
63.339,2024/06/05 13:47:21.7449,5,600
64.044,2024/06/05 13:47:22.4499,3,618
64.077,2024/06/05 13:47:22.4829,5,594
64.289,2024/06/05 13:47:22.6949,3,616
65.275,2024/06/05 13:47:23.6809,3,606
65.768,2024/06/05 13:47:24.1739,3,592
66.26,2024/06/05 13:47:24.6659,3,579
66.752,2024/06/05 13:47:25.1579,3,582
67.491,2024/06/05 13:47:25.8969,3,599
67.772,2024/06/05 13:47:26.1779,5,600
68.476,2024/06/05 13:47:26.8819,3,618
68.968,2024/06/05 13:47:27.3739,3,646
69.461,2024/06/05 13:47:27.8669,3,659
70.446,2024/06/05 13:47:28.8519,3,696
70.48,2024/06/05 13:47:28.8859,5,605
70.693,2024/06/05 13:47:29.0989,3,709
70.726,2024/06/05 13:47:29.1319,5,605
71.677,2024/06/05 13:47:30.0829,3,703
73.648,2024/06/05 13:47:32.0539,3,652
73.895,2024/06/05 13:47:32.3009,3,643
74.175,2024/06/05 13:47:32.5809,5,611
74.879,2024/06/05 13:47:33.2849,3,627
75.372,2024/06/05 13:47:33.7779,3,617
75.864,2024/06/05 13:47:34.2699,3,603
76.357,2024/06/05 13:47:34.7629,3,598
77.13,2024/06/05 13:47:35.5359,5,605
77.376,2024/06/05 13:47:35.7819,5,605
77.588,2024/06/05 13:47:35.9939,3,610
78.081,2024/06/05 13:47:36.4869,3,648
78.574,2024/06/05 13:47:36.9799,3,681
79.065,2024/06/05 13:47:37.4709,3,686
80.051,2024/06/05 13:47:38.4569,3,659
80.297,2024/06/05 13:47:38.7029,3,655
81.036,2024/06/05 13:47:39.4419,3,620
81.775,2024/06/05 13:47:40.1809,3,594
82.268,2024/06/05 13:47:40.6739,3,582
82.76,2024/06/05 13:47:41.1659,3,576
83.252,2024/06/05 13:47:41.6579,3,586
83.287,2024/06/05 13:47:41.6929,5,625
83.533,2024/06/05 13:47:41.9389,5,625
83.779,2024/06/05 13:47:42.1849,5,638
83.991,2024/06/05 13:47:42.3969,3,612
84.977,2024/06/05 13:47:43.3829,3,658
85.469,2024/06/05 13:47:43.8749,3,696
86.454,2024/06/05 13:47:44.8599,3,680
86.489,2024/06/05 13:47:44.8949,5,645
