reltime,datetime,iSensor,headPos.x,headPos.y,headPos.z,headPosQ,headYaw,headPitch,headRoll,headRotQ,gazeSrc.x,gazeSrc.y,gazeSrc.z,gazeDir.x,gazeDir.y,gazeDir.z,gazeQ,leftEyeOpen,leftEyeOpenQ,rightEyeOpen,rightEyeOpenQ,pupil,pupilQ
0.001,2024/06/05 13:46:18.4069,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.308,2024/06/05 13:46:19.7139,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.956,-0.214,0.203,1.0,10.0,1.0,10.0,1.0,2.84,1.0
1.328,2024/06/05 13:46:19.7339,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.346,2024/06/05 13:46:19.7519,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.955,-0.219,0.2,1.0,10.0,1.0,9.97,1.0,2.85,1.0
1.366,2024/06/05 13:46:19.7719,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.955,-0.217,0.203,1.0,10.0,1.0,9.99,1.0,2.88,1.0
1.378,2024/06/05 13:46:19.7839,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.395,2024/06/05 13:46:19.8009,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.955,-0.215,0.203,0.98,10.0,1.0,9.51,1.0,2.88,0.98
1.414,2024/06/05 13:46:19.8199,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.956,-0.215,0.202,0.99,10.0,1.0,9.87,1.0,2.88,0.99
1.424,2024/06/05 13:46:19.8299,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.956,-0.212,0.201,0.98,10.0,1.0,9.59,1.0,2.85,0.98
1.443,2024/06/05 13:46:19.8489,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.957,-0.213,0.2,0.98,10.0,1.0,9.59,1.0,2.86,0.98
1.463,2024/06/05 13:46:19.8689,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.957,-0.215,0.196,0.97,10.0,1.0,9.4,1.0,2.9,0.97
1.473,2024/06/05 13:46:19.8789,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.957,-0.215,0.196,0.97,10.0,1.0,9.4,1.0,2.9,0.97
1.493,2024/06/05 13:46:19.8989,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.956,-0.216,0.2,1.0,10.0,1.0,10.0,1.0,2.89,1.0
1.503,2024/06/05 13:46:19.9089,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.956,-0.216,0.2,1.0,10.0,1.0,10.0,1.0,2.89,1.0
