reltime,datetime,iSensor,headPos.x,headPos.y,headPos.z,headPosQ,headYaw,headPitch,headRoll,headRotQ,gazeSrc.x,gazeSrc.y,gazeSrc.z,gaze_x,gaze_y,gaze_z,gazeQ,leftEyeOpen,leftEyeOpenQ,rightEyeOpen,rightEyeOpenQ,pupil,pupilQ,gaze_diff,fixation,fixation_id,duration
0.001,2024/06/05 13:46:18.4069,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,False,1,
1.308,2024/06/05 13:46:19.7139,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.956,-0.214,0.203,1.0,10.0,1.0,10.0,1.0,2.84,1.0,1.1724529841319864,False,1,
1.328,2024/06/05 13:46:19.7339,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.1724529841319864,False,1,
1.346,2024/06/05 13:46:19.7519,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.955,-0.219,0.2,1.0,10.0,1.0,9.97,1.0,2.85,1.0,1.17324379393202,False,1,
1.366,2024/06/05 13:46:19.7719,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.955,-0.217,0.203,1.0,10.0,1.0,9.99,1.0,2.88,1.0,0.0036055512754639926,True,2,0.0
1.378,2024/06/05 13:46:19.7839,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.174050254461026,False,3,
1.395,2024/06/05 13:46:19.8009,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.955,-0.215,0.203,0.98,10.0,1.0,9.51,1.0,2.88,0.98,1.172770224724349,False,3,
1.414,2024/06/05 13:46:19.8199,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.956,-0.215,0.202,0.99,10.0,1.0,9.87,1.0,2.88,0.99,0.0014142135623730963,True,4,0.15600000000000014
1.424,2024/06/05 13:46:19.8299,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.956,-0.212,0.201,0.98,10.0,1.0,9.59,1.0,2.85,0.98,0.003162277660168382,True,4,0.15600000000000014
1.443,2024/06/05 13:46:19.8489,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.957,-0.213,0.2,0.98,10.0,1.0,9.59,1.0,2.86,0.98,0.001732050807568879,True,4,0.15600000000000014
1.463,2024/06/05 13:46:19.8689,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.957,-0.215,0.196,0.97,10.0,1.0,9.4,1.0,2.9,0.97,0.004472135954999584,True,4,0.15600000000000014
1.473,2024/06/05 13:46:19.8789,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.957,-0.215,0.196,0.97,10.0,1.0,9.4,1.0,2.9,0.97,0.0,True,4,0.15600000000000014
1.493,2024/06/05 13:46:19.8989,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.956,-0.216,0.2,1.0,10.0,1.0,10.0,1.0,2.89,1.0,0.004242640687119289,True,4,0.15600000000000014
1.503,2024/06/05 13:46:19.9089,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.956,-0.216,0.2,1.0,10.0,1.0,10.0,1.0,2.89,1.0,0.0,True,4,0.15600000000000014
1.522,2024/06/05 13:46:19.9279,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.956,-0.214,0.203,0.97,10.0,1.0,9.49,1.0,2.89,0.97,0.0036055512754639926,True,4,0.15600000000000014
1.54,2024/06/05 13:46:19.9459,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.955,-0.215,0.204,1.0,10.0,1.0,9.97,1.0,2.89,1.0,0.0017320508075688629,True,4,0.15600000000000014
1.55,2024/06/05 13:46:19.9559,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.955,-0.214,0.204,0.95,10.0,1.0,9.1,1.0,2.9,0.95,0.0010000000000000009,True,4,0.15600000000000014
1.57,2024/06/05 13:46:19.9759,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.955,-0.214,0.205,0.99,10.0,1.0,9.81,1.0,2.88,0.99,0.0010000000000000009,True,4,0.15600000000000014
1.58,2024/06/05 13:46:19.9859,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.1735292923485123,False,5,
1.6,2024/06/05 13:46:20.0059,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,True,6,0.020000000000000018
1.62,2024/06/05 13:46:20.0259,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,True,6,0.020000000000000018
1.63,2024/06/05 13:46:20.0359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.955,-0.214,0.207,0.99,10.0,1.0,9.89,1.0,2.88,0.99,1.174929359578694,False,7,
1.649,2024/06/05 13:46:20.0549,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.174929359578694,False,7,
1.659,2024/06/05 13:46:20.0649,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.953,-0.216,0.211,0.99,10.0,1.0,9.89,1.0,2.87,0.99,1.1783696364044687,False,7,
1.679,2024/06/05 13:46:20.0849,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.1783696364044687,False,7,
1.698,2024/06/05 13:46:20.1039,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.955,-0.211,0.209,0.97,10.0,1.0,9.38,1.0,2.86,0.97,1.1744232627123834,False,7,
1.709,2024/06/05 13:46:20.1149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.1744232627123834,False,7,
1.727,2024/06/05 13:46:20.1329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.955,-0.211,0.208,1.0,10.0,1.0,10.0,1.0,2.84,1.0,1.1737210060316718,False,7,
1.739,2024/06/05 13:46:20.1449,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.1737210060316718,False,7,
1.755,2024/06/05 13:46:20.1609,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.955,-0.211,0.208,1.0,10.0,1.0,10.0,1.0,2.82,1.0,1.1737210060316718,False,7,
1.774,2024/06/05 13:46:20.1799,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.955,-0.211,0.21,0.98,10.0,1.0,9.5,1.0,2.81,0.98,0.0020000000000000018,True,8,0.0
1.788,2024/06/05 13:46:20.1939,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.1751259506963498,False,9,
1.804,2024/06/05 13:46:20.2099,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.954,-0.214,0.209,0.98,10.0,1.0,9.55,1.0,2.84,0.98,1.1760110543698132,False,9,
1.824,2024/06/05 13:46:20.2299,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.954,-0.213,0.209,0.99,10.0,1.0,9.89,1.0,2.81,0.99,0.0010000000000000009,True,10,0.0
1.838,2024/06/05 13:46:20.2439,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.1753744084333297,False,11,
1.853,2024/06/05 13:46:20.2589,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.954,-0.215,0.208,0.98,10.0,1.0,9.61,1.0,2.8,0.98,1.1759472777297457,False,11,
1.867,2024/06/05 13:46:20.2729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.1759472777297457,False,11,
1.882,2024/06/05 13:46:20.2879,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.955,-0.215,0.205,0.95,10.0,1.0,9.02,1.0,2.8,0.95,1.1741677903945416,False,11,
1.901,2024/06/05 13:46:20.3069,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.955,-0.213,0.205,0.95,10.0,1.0,9.1,1.0,2.81,0.95,0.0020000000000000018,True,12,0.0
1.917,2024/06/05 13:46:20.3229,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.1728912993112361,False,13,
1.93,2024/06/05 13:46:20.3359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.955,-0.217,0.204,1.0,10.0,1.0,9.95,1.0,2.8,1.0,1.1747480580958625,False,13,
1.944,2024/06/05 13:46:20.3499,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.1747480580958625,False,13,
1.961,2024/06/05 13:46:20.3669,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.945,-0.222,0.242,1.0,10.0,1.0,10.0,1.0,2.77,1.0,1.2016247334338621,False,13,
1.981,2024/06/05 13:46:20.3869,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.943,-0.225,0.247,0.99,10.0,1.0,9.76,1.0,2.73,0.99,0.006164414002968982,True,14,0.10699999999999998
1.99,2024/06/05 13:46:20.3959,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.941,-0.229,0.25,0.98,10.0,1.0,9.55,1.0,2.73,0.98,0.005385164807134509,True,14,0.10699999999999998
2.01,2024/06/05 13:46:20.4159,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.942,-0.225,0.249,1.0,10.0,1.0,10.0,1.0,2.73,1.0,0.004242640687119289,True,14,0.10699999999999998
2.03,2024/06/05 13:46:20.4359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.941,-0.227,0.25,0.99,10.0,1.0,9.8,1.0,2.76,0.99,0.0024494897427831805,True,14,0.10699999999999998
2.039,2024/06/05 13:46:20.4449,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.941,-0.227,0.25,0.99,10.0,1.0,9.8,1.0,2.76,0.99,0.0,True,14,0.10699999999999998
2.058,2024/06/05 13:46:20.4639,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.939,-0.232,0.253,1.0,10.0,1.0,10.0,1.0,2.75,1.0,0.006164414002968982,True,14,0.10699999999999998
2.068,2024/06/05 13:46:20.4739,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.939,-0.232,0.253,1.0,10.0,1.0,10.0,1.0,2.75,1.0,0.0,True,14,0.10699999999999998
2.088,2024/06/05 13:46:20.4939,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.938,-0.237,0.253,1.0,10.0,1.0,10.0,1.0,2.73,1.0,0.005099019513592762,True,14,0.10699999999999998
2.108,2024/06/05 13:46:20.5139,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.216858660650447,False,15,
2.118,2024/06/05 13:46:20.5239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,True,16,0.0
2.138,2024/06/05 13:46:20.5439,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.94,-0.233,0.249,0.98,10.0,1.0,9.62,1.0,2.71,0.98,1.2120614670882002,False,17,
2.147,2024/06/05 13:46:20.5529,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.2120614670882002,False,17,
2.167,2024/06/05 13:46:20.5729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.941,-0.231,0.248,1.0,10.0,1.0,10.0,1.0,2.72,1.0,1.2103805186799728,False,17,
2.186,2024/06/05 13:46:20.5919,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.2103805186799728,False,17,
2.196,2024/06/05 13:46:20.6019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.939,-0.232,0.254,1.0,10.0,1.0,10.0,1.0,2.73,1.0,1.2147057256800924,False,17,
2.216,2024/06/05 13:46:20.6219,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036,0.012,0.206,0.578,0.535,-0.616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.2147057256800924,False,17,
2.225,2024/06/05 13:46:20.6309,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.939,-0.233,0.252,1.0,10.0,1.0,10.0,1.0,2.75,1.0,1.2139065038132055,False,17,
