reltime,datetime,iSensor,confidence,heart_rate
0.001,2024/06/05 10:44:55.9209,5,1.0,70.0
0.001,2024/06/05 10:44:55.9209,4,0.0,0.0
0.001,2024/06/05 10:44:55.9209,3,1.0,69.0
0.001,2024/06/05 10:44:55.9209,2,0.0,0.0
0.001,2024/06/05 10:44:55.9209,1,0.0,0.0
0.001,2024/06/05 10:44:55.9209,0,0.0,0.0
0.058,2024/06/05 10:44:55.9779,3,1.0,68.0
0.151,2024/06/05 10:44:56.0709,5,1.0,70.0
0.305,2024/06/05 10:44:56.2249,3,1.0,68.0
0.397,2024/06/05 10:44:56.3169,5,1.0,70.0
0.551,2024/06/05 10:44:56.4709,3,1.0,67.0
0.643,2024/06/05 10:44:56.5629,5,1.0,70.0
0.797,2024/06/05 10:44:56.7169,3,1.0,67.0
0.889,2024/06/05 10:44:56.8089,5,1.0,70.0
1.136,2024/06/05 10:44:57.0559,5,1.0,69.0
1.29,2024/06/05 10:44:57.2099,3,1.0,67.0
1.382,2024/06/05 10:44:57.3019,5,1.0,69.0
1.628,2024/06/05 10:44:57.5479,5,1.0,69.0
1.783,2024/06/05 10:44:57.7029,3,1.0,67.0
2.028,2024/06/05 10:44:57.9479,3,1.0,67.0
2.121,2024/06/05 10:44:58.0409,5,1.0,69.0
2.275,2024/06/05 10:44:58.1949,3,1.0,67.0
2.367,2024/06/05 10:44:58.2869,5,1.0,68.0
2.521,2024/06/05 10:44:58.4409,3,1.0,67.0
2.614,2024/06/05 10:44:58.5339,5,1.0,68.0
2.767,2024/06/05 10:44:58.6869,3,1.0,67.0
2.86,2024/06/05 10:44:58.7799,5,1.0,68.0
3.014,2024/06/05 10:44:58.9339,3,1.0,67.0
3.107,2024/06/05 10:44:59.0269,5,1.0,66.0
3.26,2024/06/05 10:44:59.1799,3,1.0,67.0
3.352,2024/06/05 10:44:59.2719,5,1.0,66.0
3.506,2024/06/05 10:44:59.4259,3,1.0,67.0
3.599,2024/06/05 10:44:59.5189,5,1.0,66.0
3.753,2024/06/05 10:44:59.6729,3,1.0,67.0
3.845,2024/06/05 10:44:59.7649,5,1.0,66.0
3.999,2024/06/05 10:44:59.9189,3,1.0,68.0
4.092,2024/06/05 10:45:00.0119,5,1.0,66.0
4.337,2024/06/05 10:45:00.2569,5,1.0,66.0
4.491,2024/06/05 10:45:00.4109,3,1.0,68.0
4.584,2024/06/05 10:45:00.5039,5,1.0,66.0
4.737,2024/06/05 10:45:00.6569,3,1.0,68.0
4.984,2024/06/05 10:45:00.9039,3,1.0,68.0
5.077,2024/06/05 10:45:00.9969,5,1.0,65.0
5.23,2024/06/05 10:45:01.1499,3,1.0,68.0
5.323,2024/06/05 10:45:01.2429,5,1.0,65.0
5.568,2024/06/05 10:45:01.4879,5,1.0,65.0
5.723,2024/06/05 10:45:01.6429,3,1.0,68.0
5.815,2024/06/05 10:45:01.7349,5,1.0,65.0
5.969,2024/06/05 10:45:01.8889,3,1.0,68.0
6.062,2024/06/05 10:45:01.9819,5,1.0,65.0
6.216,2024/06/05 10:45:02.1359,3,1.0,68.0
6.307,2024/06/05 10:45:02.2269,5,1.0,65.0
6.461,2024/06/05 10:45:02.3809,3,1.0,68.0
6.554,2024/06/05 10:45:02.4739,5,1.0,65.0
6.707,2024/06/05 10:45:02.6269,3,1.0,68.0
6.8,2024/06/05 10:45:02.7199,5,1.0,65.0
6.954,2024/06/05 10:45:02.8739,3,1.0,68.0
7.047,2024/06/05 10:45:02.9669,5,1.0,65.0
7.2,2024/06/05 10:45:03.1199,3,1.0,68.0
7.293,2024/06/05 10:45:03.2129,5,1.0,65.0
7.447,2024/06/05 10:45:03.3669,3,1.0,68.0
7.539,2024/06/05 10:45:03.4589,5,1.0,65.0
7.693,2024/06/05 10:45:03.6129,3,1.0,68.0
7.785,2024/06/05 10:45:03.7049,5,1.0,65.0
7.939,2024/06/05 10:45:03.8589,3,1.0,68.0
8.031,2024/06/05 10:45:03.9509,5,1.0,65.0
8.186,2024/06/05 10:45:04.1059,3,1.0,68.0
8.432,2024/06/05 10:45:04.3519,3,1.0,68.0
8.524,2024/06/05 10:45:04.4439,5,1.0,65.0
8.678,2024/06/05 10:45:04.5979,3,1.0,68.0
8.925,2024/06/05 10:45:04.8449,3,1.0,68.0
9.016,2024/06/05 10:45:04.9359,5,1.0,66.0
9.17,2024/06/05 10:45:05.0899,3,1.0,68.0
9.263,2024/06/05 10:45:05.1829,5,1.0,66.0
9.417,2024/06/05 10:45:05.3369,3,1.0,68.0
9.755,2024/06/05 10:45:05.6749,5,1.0,66.0
9.909,2024/06/05 10:45:05.8289,3,1.0,68.0
10.002,2024/06/05 10:45:05.9219,5,1.0,66.0
10.248,2024/06/05 10:45:06.1679,5,1.0,66.0
10.402,2024/06/05 10:45:06.3219,3,1.0,68.0
10.494,2024/06/05 10:45:06.4139,5,1.0,66.0
10.648,2024/06/05 10:45:06.5679,3,1.0,68.0
10.741,2024/06/05 10:45:06.6609,5,1.0,66.0
10.894,2024/06/05 10:45:06.8139,3,1.0,68.0
10.987,2024/06/05 10:45:06.9069,5,1.0,66.0
11.14,2024/06/05 10:45:07.0599,3,1.0,68.0
11.234,2024/06/05 10:45:07.1539,5,1.0,66.0
11.387,2024/06/05 10:45:07.3069,3,1.0,68.0
11.479,2024/06/05 10:45:07.3989,5,1.0,66.0
11.633,2024/06/05 10:45:07.5529,3,1.0,68.0
11.726,2024/06/05 10:45:07.6459,5,1.0,66.0
11.88,2024/06/05 10:45:07.7999,3,1.0,68.0
11.972,2024/06/05 10:45:07.8919,5,1.0,66.0
12.126,2024/06/05 10:45:08.0459,3,1.0,68.0
12.218,2024/06/05 10:45:08.1379,5,1.0,66.0
12.372,2024/06/05 10:45:08.2919,3,1.0,68.0
12.464,2024/06/05 10:45:08.3839,5,1.0,66.0
12.71,2024/06/05 10:45:08.6299,5,1.0,66.0
12.865,2024/06/05 10:45:08.7849,3,1.0,68.0
12.96,2024/06/05 10:45:08.8799,5,1.0,66.0
13.11,2024/06/05 10:45:09.0299,3,1.0,68.0
13.203,2024/06/05 10:45:09.1229,5,1.0,66.0
13.357,2024/06/05 10:45:09.2769,3,1.0,68.0
13.45,2024/06/05 10:45:09.3699,5,1.0,66.0
13.604,2024/06/05 10:45:09.5239,3,1.0,68.0
13.696,2024/06/05 10:45:09.6159,5,1.0,66.0
13.85,2024/06/05 10:45:09.7699,3,1.0,68.0
