reltime;datetime;iSensor;confidence;heart_rate

   0.0010;2024/06/05 10:44:55.9209;5;1.00;70.0
   0.0010;2024/06/05 10:44:55.9209;4;0.00;0.0
   0.0010;2024/06/05 10:44:55.9209;3;1.00;69.0
   0.0010;2024/06/05 10:44:55.9209;2;0.00;0.0
   0.0010;2024/06/05 10:44:55.9209;1;0.00;0.0
   0.0010;2024/06/05 10:44:55.9209;0;0.00;0.0
   0.0580;2024/06/05 10:44:55.9779;3;1.00;68.0
   0.1510;2024/06/05 10:44:56.0709;5;1.00;70.0
   0.3050;2024/06/05 10:44:56.2249;3;1.00;68.0
   0.3970;2024/06/05 10:44:56.3169;5;1.00;70.0
   0.5510;2024/06/05 10:44:56.4709;3;1.00;67.0
   0.6430;2024/06/05 10:44:56.5629;5;1.00;70.0
   0.7970;2024/06/05 10:44:56.7169;3;1.00;67.0
   0.8890;2024/06/05 10:44:56.8089;5;1.00;70.0
   1.1360;2024/06/05 10:44:57.0559;5;1.00;69.0
   1.2900;2024/06/05 10:44:57.2099;3;1.00;67.0
   1.3820;2024/06/05 10:44:57.3019;5;1.00;69.0
   1.6280;2024/06/05 10:44:57.5479;5;1.00;69.0
   1.7830;2024/06/05 10:44:57.7029;3;1.00;67.0
   2.0280;2024/06/05 10:44:57.9479;3;1.00;67.0
   2.1210;2024/06/05 10:44:58.0409;5;1.00;69.0
   2.2750;2024/06/05 10:44:58.1949;3;1.00;67.0
   2.3670;2024/06/05 10:44:58.2869;5;1.00;68.0
   2.5210;2024/06/05 10:44:58.4409;3;1.00;67.0
   2.6140;2024/06/05 10:44:58.5339;5;1.00;68.0
   2.7670;2024/06/05 10:44:58.6869;3;1.00;67.0
   2.8600;2024/06/05 10:44:58.7799;5;1.00;68.0
   3.0140;2024/06/05 10:44:58.9339;3;1.00;67.0
   3.1070;2024/06/05 10:44:59.0269;5;1.00;66.0
   3.2600;2024/06/05 10:44:59.1799;3;1.00;67.0
   3.3520;2024/06/05 10:44:59.2719;5;1.00;66.0
   3.5060;2024/06/05 10:44:59.4259;3;1.00;67.0
   3.5990;2024/06/05 10:44:59.5189;5;1.00;66.0
   3.7530;2024/06/05 10:44:59.6729;3;1.00;67.0
   3.8450;2024/06/05 10:44:59.7649;5;1.00;66.0
   3.9990;2024/06/05 10:44:59.9189;3;1.00;68.0
   4.0920;2024/06/05 10:45:00.0119;5;1.00;66.0
   4.3370;2024/06/05 10:45:00.2569;5;1.00;66.0
   4.4910;2024/06/05 10:45:00.4109;3;1.00;68.0
   4.5840;2024/06/05 10:45:00.5039;5;1.00;66.0
   4.7370;2024/06/05 10:45:00.6569;3;1.00;68.0
   4.9840;2024/06/05 10:45:00.9039;3;1.00;68.0
   5.0770;2024/06/05 10:45:00.9969;5;1.00;65.0
   5.2300;2024/06/05 10:45:01.1499;3;1.00;68.0
   5.3230;2024/06/05 10:45:01.2429;5;1.00;65.0
   5.5680;2024/06/05 10:45:01.4879;5;1.00;65.0
   5.7230;2024/06/05 10:45:01.6429;3;1.00;68.0
   5.8150;2024/06/05 10:45:01.7349;5;1.00;65.0
   5.9690;2024/06/05 10:45:01.8889;3;1.00;68.0
   6.0620;2024/06/05 10:45:01.9819;5;1.00;65.0
   6.2160;2024/06/05 10:45:02.1359;3;1.00;68.0
   6.3070;2024/06/05 10:45:02.2269;5;1.00;65.0
   6.4610;2024/06/05 10:45:02.3809;3;1.00;68.0
   6.5540;2024/06/05 10:45:02.4739;5;1.00;65.0
   6.7070;2024/06/05 10:45:02.6269;3;1.00;68.0
   6.8000;2024/06/05 10:45:02.7199;5;1.00;65.0
   6.9540;2024/06/05 10:45:02.8739;3;1.00;68.0
   7.0470;2024/06/05 10:45:02.9669;5;1.00;65.0
   7.2000;2024/06/05 10:45:03.1199;3;1.00;68.0
   7.2930;2024/06/05 10:45:03.2129;5;1.00;65.0
   7.4470;2024/06/05 10:45:03.3669;3;1.00;68.0
   7.5390;2024/06/05 10:45:03.4589;5;1.00;65.0
   7.6930;2024/06/05 10:45:03.6129;3;1.00;68.0
   7.7850;2024/06/05 10:45:03.7049;5;1.00;65.0
   7.9390;2024/06/05 10:45:03.8589;3;1.00;68.0
   8.0310;2024/06/05 10:45:03.9509;5;1.00;65.0
   8.1860;2024/06/05 10:45:04.1059;3;1.00;68.0
   8.4320;2024/06/05 10:45:04.3519;3;1.00;68.0
   8.5240;2024/06/05 10:45:04.4439;5;1.00;65.0
   8.6780;2024/06/05 10:45:04.5979;3;1.00;68.0
   8.9250;2024/06/05 10:45:04.8449;3;1.00;68.0
   9.0160;2024/06/05 10:45:04.9359;5;1.00;66.0
   9.1700;2024/06/05 10:45:05.0899;3;1.00;68.0
   9.2630;2024/06/05 10:45:05.1829;5;1.00;66.0
   9.4170;2024/06/05 10:45:05.3369;3;1.00;68.0
   9.7550;2024/06/05 10:45:05.6749;5;1.00;66.0
   9.9090;2024/06/05 10:45:05.8289;3;1.00;68.0
  10.0020;2024/06/05 10:45:05.9219;5;1.00;66.0
  10.2480;2024/06/05 10:45:06.1679;5;1.00;66.0
  10.4020;2024/06/05 10:45:06.3219;3;1.00;68.0
  10.4940;2024/06/05 10:45:06.4139;5;1.00;66.0
  10.6480;2024/06/05 10:45:06.5679;3;1.00;68.0
  10.7410;2024/06/05 10:45:06.6609;5;1.00;66.0
  10.8940;2024/06/05 10:45:06.8139;3;1.00;68.0
  10.9870;2024/06/05 10:45:06.9069;5;1.00;66.0
  11.1400;2024/06/05 10:45:07.0599;3;1.00;68.0
  11.2340;2024/06/05 10:45:07.1539;5;1.00;66.0
  11.3870;2024/06/05 10:45:07.3069;3;1.00;68.0
  11.4790;2024/06/05 10:45:07.3989;5;1.00;66.0
  11.6330;2024/06/05 10:45:07.5529;3;1.00;68.0
  11.7260;2024/06/05 10:45:07.6459;5;1.00;66.0
  11.8800;2024/06/05 10:45:07.7999;3;1.00;68.0
  11.9720;2024/06/05 10:45:07.8919;5;1.00;66.0
  12.1260;2024/06/05 10:45:08.0459;3;1.00;68.0
  12.2180;2024/06/05 10:45:08.1379;5;1.00;66.0
  12.3720;2024/06/05 10:45:08.2919;3;1.00;68.0
  12.4640;2024/06/05 10:45:08.3839;5;1.00;66.0
  12.7100;2024/06/05 10:45:08.6299;5;1.00;66.0
  12.8650;2024/06/05 10:45:08.7849;3;1.00;68.0
  12.9600;2024/06/05 10:45:08.8799;5;1.00;66.0
  13.1100;2024/06/05 10:45:09.0299;3;1.00;68.0
  13.2030;2024/06/05 10:45:09.1229;5;1.00;66.0
  13.3570;2024/06/05 10:45:09.2769;3;1.00;68.0
  13.4500;2024/06/05 10:45:09.3699;5;1.00;66.0
  13.6040;2024/06/05 10:45:09.5239;3;1.00;68.0
  13.6960;2024/06/05 10:45:09.6159;5;1.00;66.0
  13.8500;2024/06/05 10:45:09.7699;3;1.00;68.0
  13.9420;2024/06/05 10:45:09.8619;5;1.00;66.0
  14.0950;2024/06/05 10:45:10.0149;3;1.00;68.0
  14.1880;2024/06/05 10:45:10.1079;5;1.00;66.0
  14.3420;2024/06/05 10:45:10.2619;3;1.00;68.0
  14.4350;2024/06/05 10:45:10.3549;5;1.00;66.0
  14.5880;2024/06/05 10:45:10.5079;3;1.00;68.0
  14.6810;2024/06/05 10:45:10.6009;5;1.00;66.0
  14.8350;2024/06/05 10:45:10.7549;3;1.00;67.0
  14.9270;2024/06/05 10:45:10.8469;5;1.00;66.0
  15.0810;2024/06/05 10:45:11.0009;3;1.00;67.0
  15.3270;2024/06/05 10:45:11.2469;3;1.00;67.0
  15.4200;2024/06/05 10:45:11.3399;5;1.00;66.0
  15.5740;2024/06/05 10:45:11.4939;3;1.00;67.0
  15.6660;2024/06/05 10:45:11.5859;5;1.00;66.0
  15.8200;2024/06/05 10:45:11.7399;3;1.00;67.0
  16.0660;2024/06/05 10:45:11.9859;3;1.00;67.0
  16.1590;2024/06/05 10:45:12.0789;5;1.00;66.0
  16.3130;2024/06/05 10:45:12.2329;3;1.00;67.0
  16.4060;2024/06/05 10:45:12.3259;5;1.00;66.0
  16.5580;2024/06/05 10:45:12.4779;3;1.00;67.0
  16.6510;2024/06/05 10:45:12.5709;5;1.00;66.0
  16.8050;2024/06/05 10:45:12.7249;3;1.00;67.0
  16.8970;2024/06/05 10:45:12.8169;5;1.00;66.0
  17.0510;2024/06/05 10:45:12.9709;3;1.00;67.0
  17.1440;2024/06/05 10:45:13.0639;5;1.00;66.0
  17.2970;2024/06/05 10:45:13.2169;3;1.00;67.0
  17.3900;2024/06/05 10:45:13.3099;5;1.00;66.0
  17.5440;2024/06/05 10:45:13.4639;3;1.00;66.0
  17.6370;2024/06/05 10:45:13.5569;5;1.00;66.0
  17.7900;2024/06/05 10:45:13.7099;3;1.00;66.0
  18.0370;2024/06/05 10:45:13.9569;3;1.00;66.0
  18.1280;2024/06/05 10:45:14.0479;5;1.00;66.0
  18.2820;2024/06/05 10:45:14.2019;3;1.00;66.0
  18.3750;2024/06/05 10:45:14.2949;5;1.00;66.0
  18.5290;2024/06/05 10:45:14.4489;3;1.00;67.0
  18.6220;2024/06/05 10:45:14.5419;5;1.00;66.0
  18.7750;2024/06/05 10:45:14.6949;3;1.00;67.0
  18.8680;2024/06/05 10:45:14.7879;5;1.00;66.0
  19.0210;2024/06/05 10:45:14.9409;3;1.00;67.0
  19.1140;2024/06/05 10:45:15.0339;5;1.00;66.0
  19.2680;2024/06/05 10:45:15.1879;3;1.00;67.0
  19.3610;2024/06/05 10:45:15.2809;5;1.00;66.0
  19.5140;2024/06/05 10:45:15.4339;3;1.00;67.0
  19.6110;2024/06/05 10:45:15.5309;5;1.00;66.0
  19.7600;2024/06/05 10:45:15.6799;3;1.00;67.0
  20.0060;2024/06/05 10:45:15.9259;3;1.00;67.0
  20.1000;2024/06/05 10:45:16.0199;5;1.00;65.0
  20.3450;2024/06/05 10:45:16.2649;5;1.00;65.0
  20.7460;2024/06/05 10:45:16.6659;3;1.00;66.0
  20.8380;2024/06/05 10:45:16.7579;5;1.00;65.0
  21.0840;2024/06/05 10:45:17.0039;5;1.00;65.0
  21.2380;2024/06/05 10:45:17.1579;3;1.00;66.0
  21.3300;2024/06/05 10:45:17.2499;5;1.00;65.0
  21.4840;2024/06/05 10:45:17.4039;3;1.00;66.0
  21.5770;2024/06/05 10:45:17.4969;5;1.00;65.0
  21.7300;2024/06/05 10:45:17.6499;3;1.00;66.0
  21.8230;2024/06/05 10:45:17.7429;5;1.00;65.0
  21.9770;2024/06/05 10:45:17.8969;3;1.00;66.0
  22.0690;2024/06/05 10:45:17.9889;5;1.00;65.0
  22.3150;2024/06/05 10:45:18.2349;5;1.00;65.0
  22.4690;2024/06/05 10:45:18.3889;3;1.00;66.0
  22.5620;2024/06/05 10:45:18.4819;5;1.00;65.0
  22.7150;2024/06/05 10:45:18.6349;3;1.00;66.0
  22.8080;2024/06/05 10:45:18.7279;5;1.00;65.0
  22.9620;2024/06/05 10:45:18.8819;3;1.00;66.0
  23.0540;2024/06/05 10:45:18.9739;5;1.00;65.0
  23.2080;2024/06/05 10:45:19.1279;3;1.00;66.0
  23.3000;2024/06/05 10:45:19.2199;5;1.00;65.0
  23.4540;2024/06/05 10:45:19.3739;3;1.00;66.0
  23.5470;2024/06/05 10:45:19.4669;5;1.00;65.0
  23.7000;2024/06/05 10:45:19.6199;3;1.00;66.0
  23.7940;2024/06/05 10:45:19.7139;5;1.00;65.0
  23.9470;2024/06/05 10:45:19.8669;3;1.00;66.0
  24.0400;2024/06/05 10:45:19.9599;5;1.00;65.0
  24.1930;2024/06/05 10:45:20.1129;3;1.00;66.0
  24.2850;2024/06/05 10:45:20.2049;5;1.00;65.0
  24.4390;2024/06/05 10:45:20.3589;3;1.00;66.0
  24.5320;2024/06/05 10:45:20.4519;5;1.00;65.0
  24.6860;2024/06/05 10:45:20.6059;3;1.00;66.0
  24.7780;2024/06/05 10:45:20.6979;5;1.00;65.0
  24.9320;2024/06/05 10:45:20.8519;3;1.00;66.0
