reltime;datetime;iSensor;confidence;heart_rate

   0.0010;2024/06/13 11:30:10.5209;5;1.00;63.0
   0.0010;2024/06/13 11:30:10.5209;4;0.00;0.0
   0.0010;2024/06/13 11:30:10.5209;3;1.00;64.0
   0.0010;2024/06/13 11:30:10.5209;2;0.00;0.0
   0.0010;2024/06/13 11:30:10.5209;1;0.00;0.0
   0.0010;2024/06/13 11:30:10.5209;0;0.00;0.0
   0.4330;2024/06/13 11:30:10.9529;3;1.00;64.0
   0.4740;2024/06/13 11:30:10.9939;5;1.00;63.0
   0.9260;2024/06/13 11:30:11.4459;3;1.00;64.0
   0.9670;2024/06/13 11:30:11.4869;5;1.00;63.0
   1.2130;2024/06/13 11:30:11.7329;5;1.00;63.0
   1.4190;2024/06/13 11:30:11.9389;3;1.00;65.0
   1.4600;2024/06/13 11:30:11.9799;5;1.00;63.0
   1.9110;2024/06/13 11:30:12.4309;3;1.00;65.0
   1.9510;2024/06/13 11:30:12.4709;5;1.00;63.0
   2.1580;2024/06/13 11:30:12.6779;3;1.00;65.0
   2.1980;2024/06/13 11:30:12.7179;5;1.00;63.0
   2.4040;2024/06/13 11:30:12.9239;3;1.00;65.0
   2.4440;2024/06/13 11:30:12.9639;5;1.00;63.0
   2.6500;2024/06/13 11:30:13.1699;3;1.00;65.0
   2.6900;2024/06/13 11:30:13.2099;5;1.00;63.0
   2.8970;2024/06/13 11:30:13.4169;3;1.00;65.0
   2.9370;2024/06/13 11:30:13.4569;5;1.00;63.0
   3.1420;2024/06/13 11:30:13.6619;3;1.00;65.0
   3.1830;2024/06/13 11:30:13.7029;5;1.00;63.0
   3.3890;2024/06/13 11:30:13.9089;3;1.00;65.0
   3.4300;2024/06/13 11:30:13.9499;5;1.00;63.0
   3.6350;2024/06/13 11:30:14.1549;3;1.00;65.0
   3.8810;2024/06/13 11:30:14.4009;3;1.00;65.0
   3.9220;2024/06/13 11:30:14.4419;5;1.00;63.0
   4.1280;2024/06/13 11:30:14.6479;3;1.00;65.0
   4.1680;2024/06/13 11:30:14.6879;5;1.00;63.0
