reltime,datetime,iSensor,confidence,heart_rate
0.001,2024/06/20 09:41:01.8509,5,1.0,69.0
0.001,2024/06/20 09:41:01.8509,4,0.0,0.0
0.001,2024/06/20 09:41:01.8509,3,1.0,67.0
0.001,2024/06/20 09:41:01.8509,2,0.0,0.0
0.001,2024/06/20 09:41:01.8509,1,0.0,0.0
0.001,2024/06/20 09:41:01.8509,0,0.0,0.0
0.15,2024/06/20 09:41:01.9999,5,1.0,69.0
0.391,2024/06/20 09:41:02.2409,3,1.0,67.0
0.396,2024/06/20 09:41:02.2459,5,1.0,68.0
0.637,2024/06/20 09:41:02.4869,3,1.0,67.0
0.642,2024/06/20 09:41:02.4919,5,1.0,68.0
0.884,2024/06/20 09:41:02.7339,3,1.0,68.0
0.889,2024/06/20 09:41:02.7389,5,1.0,68.0
1.13,2024/06/20 09:41:02.9799,3,1.0,68.0
1.135,2024/06/20 09:41:02.9849,5,1.0,68.0
1.377,2024/06/20 09:41:03.2269,3,1.0,68.0
1.382,2024/06/20 09:41:03.2319,5,1.0,66.0
1.623,2024/06/20 09:41:03.4729,3,1.0,68.0
1.628,2024/06/20 09:41:03.4779,5,1.0,66.0
1.869,2024/06/20 09:41:03.7189,3,1.0,69.0
1.874,2024/06/20 09:41:03.7239,5,1.0,66.0
2.115,2024/06/20 09:41:03.9649,3,1.0,69.0
2.121,2024/06/20 09:41:03.9709,5,1.0,66.0
2.361,2024/06/20 09:41:04.2109,3,1.0,69.0
2.608,2024/06/20 09:41:04.4579,3,1.0,69.0
2.613,2024/06/20 09:41:04.4629,5,1.0,66.0
2.854,2024/06/20 09:41:04.7039,3,1.0,69.0
2.859,2024/06/20 09:41:04.7089,5,1.0,66.0
3.1,2024/06/20 09:41:04.9499,3,1.0,69.0
3.106,2024/06/20 09:41:04.9559,5,1.0,66.0
3.347,2024/06/20 09:41:05.1969,3,1.0,69.0
3.352,2024/06/20 09:41:05.2019,5,1.0,66.0
3.592,2024/06/20 09:41:05.4419,3,1.0,69.0
