reltime;datetime;iSensor;ibi

   0.0010;2024/06/20 09:41:01.8509;5;869
   0.0010;2024/06/20 09:41:01.8509;4;0
   0.0010;2024/06/20 09:41:01.8509;3;755
   0.0010;2024/06/20 09:41:01.8509;2;0
   0.0010;2024/06/20 09:41:01.8509;1;0
   0.0010;2024/06/20 09:41:01.8509;0;0
   0.3960;2024/06/20 09:41:02.2459;5;882
   0.6420;2024/06/20 09:41:02.4919;5;882
   0.8840;2024/06/20 09:41:02.7339;3;813
   0.8890;2024/06/20 09:41:02.7389;5;882
   1.1350;2024/06/20 09:41:02.9849;5;882
   1.3820;2024/06/20 09:41:03.2319;5;908
   1.6280;2024/06/20 09:41:03.4779;5;908
   1.8690;2024/06/20 09:41:03.7189;3;898
   1.8740;2024/06/20 09:41:03.7239;5;908
   2.1210;2024/06/20 09:41:03.9709;5;908
   2.8540;2024/06/20 09:41:04.7039;3;857
   2.8590;2024/06/20 09:41:04.7089;5;908
   3.1060;2024/06/20 09:41:04.9559;5;908
   3.3520;2024/06/20 09:41:05.2019;5;908
   3.5980;2024/06/20 09:41:05.4479;5;908
   3.8390;2024/06/20 09:41:05.6889;3;952
   3.8440;2024/06/20 09:41:05.6939;5;908
   4.0900;2024/06/20 09:41:05.9399;5;908
   4.3370;2024/06/20 09:41:06.1869;5;908
   4.5830;2024/06/20 09:41:06.4329;5;908
   4.8240;2024/06/20 09:41:06.6739;3;999
   4.8290;2024/06/20 09:41:06.6789;5;908
   5.0760;2024/06/20 09:41:06.9259;5;908
   5.3220;2024/06/20 09:41:07.1719;5;908
   5.5630;2024/06/20 09:41:07.4129;3;943
   5.5680;2024/06/20 09:41:07.4179;5;908
   5.8150;2024/06/20 09:41:07.6649;5;908
   6.5480;2024/06/20 09:41:08.3979;3;940
   6.5530;2024/06/20 09:41:08.4029;5;938
   7.7790;2024/06/20 09:41:09.6289;3;982
   8.2710;2024/06/20 09:41:10.1209;3;942
   8.7700;2024/06/20 09:41:10.6199;5;938
   9.0160;2024/06/20 09:41:10.8659;5;938
   9.2570;2024/06/20 09:41:11.1069;3;854
   9.2620;2024/06/20 09:41:11.1119;5;952
   9.9960;2024/06/20 09:41:11.8459;3;805
  10.9810;2024/06/20 09:41:12.8309;3;904
  11.9670;2024/06/20 09:41:13.8169;3;918
  11.9720;2024/06/20 09:41:13.8219;5;938
  12.2170;2024/06/20 09:41:14.0669;5;938
  12.4640;2024/06/20 09:41:14.3139;5;938
  12.7050;2024/06/20 09:41:14.5549;3;815
  13.6900;2024/06/20 09:41:15.5399;3;941
  14.6750;2024/06/20 09:41:16.5249;3;977
  15.1730;2024/06/20 09:41:17.0229;5;938
  15.4190;2024/06/20 09:41:17.2689;5;952
  15.6610;2024/06/20 09:41:17.5109;3;876
  15.6660;2024/06/20 09:41:17.5159;5;952
  16.8920;2024/06/20 09:41:18.7419;3;913
  17.3840;2024/06/20 09:41:19.2339;3;961
  18.3690;2024/06/20 09:41:20.2189;3;968
  18.8670;2024/06/20 09:41:20.7169;5;967
  19.6000;2024/06/20 09:41:21.4499;3;938
  20.5860;2024/06/20 09:41:22.4359;3;1027
  21.5710;2024/06/20 09:41:23.4209;3;1034
  21.5750;2024/06/20 09:41:23.4249;5;938
  21.8220;2024/06/20 09:41:23.6719;5;938
  22.0690;2024/06/20 09:41:23.9189;5;938
  22.8020;2024/06/20 09:41:24.6519;3;963
  23.2940;2024/06/20 09:41:25.1439;3;997
  24.2800;2024/06/20 09:41:26.1299;3;989
  24.7770;2024/06/20 09:41:26.6269;5;938
  25.0240;2024/06/20 09:41:26.8739;5;938
  25.2650;2024/06/20 09:41:27.1149;3;883
  25.2710;2024/06/20 09:41:27.1209;5;952
  26.4960;2024/06/20 09:41:28.3459;3;928
  26.9890;2024/06/20 09:41:28.8389;3;965
  27.9740;2024/06/20 09:41:29.8239;3;899
  27.9790;2024/06/20 09:41:29.8289;5;983
  28.2250;2024/06/20 09:41:30.0749;5;983
  28.9590;2024/06/20 09:41:30.8089;3;922
  30.1900;2024/06/20 09:41:32.0399;3;965
  30.6830;2024/06/20 09:41:32.5329;3;942
  31.1810;2024/06/20 09:41:33.0309;5;1000
  31.4270;2024/06/20 09:41:33.2769;5;1000
  31.6680;2024/06/20 09:41:33.5179;3;860
  31.6730;2024/06/20 09:41:33.5229;5;1000
  31.9200;2024/06/20 09:41:33.7699;5;1000
  32.1660;2024/06/20 09:41:34.0159;5;1000
  32.4070;2024/06/20 09:41:34.2569;3;914
  32.4120;2024/06/20 09:41:34.2619;5;1000
  32.6580;2024/06/20 09:41:34.5079;5;1000
  32.9050;2024/06/20 09:41:34.7549;5;1000
  33.1510;2024/06/20 09:41:35.0009;5;1000
  33.3910;2024/06/20 09:41:35.2409;3;929
  33.3970;2024/06/20 09:41:35.2469;5;983
  33.6440;2024/06/20 09:41:35.4939;5;983
  33.8900;2024/06/20 09:41:35.7399;5;983
  34.1360;2024/06/20 09:41:35.9859;5;983
  34.3770;2024/06/20 09:41:36.2269;3;825
  34.3830;2024/06/20 09:41:36.2329;5;983
  34.6280;2024/06/20 09:41:36.4779;5;983
  34.8750;2024/06/20 09:41:36.7249;5;983
  35.1210;2024/06/20 09:41:36.9709;5;983
  35.3620;2024/06/20 09:41:37.2119;3;890
  35.3680;2024/06/20 09:41:37.2179;5;938
  35.6140;2024/06/20 09:41:37.4639;5;938
  35.8600;2024/06/20 09:41:37.7099;5;938
  36.1000;2024/06/20 09:41:37.9499;3;952
  36.1060;2024/06/20 09:41:37.9559;5;938
  36.3530;2024/06/20 09:41:38.2029;5;938
  36.5990;2024/06/20 09:41:38.4489;5;938
  36.8450;2024/06/20 09:41:38.6949;5;938
  37.0860;2024/06/20 09:41:38.9359;3;959
  38.0700;2024/06/20 09:41:39.9199;3;864
  39.0560;2024/06/20 09:41:40.9059;3;948
  39.5540;2024/06/20 09:41:41.4039;5;923
  39.8010;2024/06/20 09:41:41.6509;5;923
  40.0410;2024/06/20 09:41:41.8909;3;974
  40.0460;2024/06/20 09:41:41.8959;5;923
  40.7800;2024/06/20 09:41:42.6299;3;884
  41.7650;2024/06/20 09:41:43.6149;3;932
  42.7500;2024/06/20 09:41:44.5999;3;962
  42.7550;2024/06/20 09:41:44.6049;5;923
  43.0020;2024/06/20 09:41:44.8519;5;923
  43.2480;2024/06/20 09:41:45.0979;5;923
  43.4890;2024/06/20 09:41:45.3389;3;858
  44.4740;2024/06/20 09:41:46.3239;3;918
  45.4590;2024/06/20 09:41:47.3089;3;965
  45.9570;2024/06/20 09:41:47.8069;5;923
  46.2030;2024/06/20 09:41:48.0529;5;923
  46.4450;2024/06/20 09:41:48.2949;3;861
  46.4500;2024/06/20 09:41:48.2999;5;923
  47.1830;2024/06/20 09:41:49.0329;3;841
  48.6600;2024/06/20 09:41:50.5099;3;902
  49.1530;2024/06/20 09:41:51.0029;3;878
  49.1590;2024/06/20 09:41:51.0089;5;923
  49.4050;2024/06/20 09:41:51.2549;5;923
  49.6450;2024/06/20 09:41:51.4949;3;812
  49.6510;2024/06/20 09:41:51.5009;5;923
  50.8770;2024/06/20 09:41:52.7269;3;895
  51.3700;2024/06/20 09:41:53.2199;3;929
  52.3540;2024/06/20 09:41:54.2039;3;847
  52.3600;2024/06/20 09:41:54.2099;5;923
  52.6060;2024/06/20 09:41:54.4559;5;923
  52.8530;2024/06/20 09:41:54.7029;5;923
  53.3400;2024/06/20 09:41:55.1899;3;907
  54.5710;2024/06/20 09:41:56.4209;3;953
  55.0640;2024/06/20 09:41:56.9139;3;873
  55.5620;2024/06/20 09:41:57.4119;5;882
  55.8090;2024/06/20 09:41:57.6589;5;882
  56.0490;2024/06/20 09:41:57.8989;3;922
  56.0550;2024/06/20 09:41:57.9049;5;882
  57.2800;2024/06/20 09:41:59.1299;3;932
  58.2650;2024/06/20 09:42:00.1149;3;846
  58.7580;2024/06/20 09:42:00.6079;3;902
  58.7640;2024/06/20 09:42:00.6139;5;882
  59.0100;2024/06/20 09:42:00.8599;5;882
  59.2560;2024/06/20 09:42:01.1059;5;882
  59.4970;2024/06/20 09:42:01.3469;3;893
  60.4810;2024/06/20 09:42:02.3309;3;809
  61.4660;2024/06/20 09:42:03.3159;3;867
  61.9650;2024/06/20 09:42:03.8149;5;882
  62.2050;2024/06/20 09:42:04.0549;3;958
  62.2110;2024/06/20 09:42:04.0609;5;882
  62.4580;2024/06/20 09:42:04.3079;5;882
  62.7040;2024/06/20 09:42:04.5539;5;882
  62.9500;2024/06/20 09:42:04.7999;5;882
  63.1910;2024/06/20 09:42:05.0409;3;947
  63.1970;2024/06/20 09:42:05.0469;5;882
  63.4430;2024/06/20 09:42:05.2929;5;908
  63.6890;2024/06/20 09:42:05.5389;5;908
  63.9350;2024/06/20 09:42:05.7849;5;908
  64.1760;2024/06/20 09:42:06.0259;3;907
