reltime,datetime,iSensor,ibi
0.001,2024/06/24 12:48:29.7029,5,697
0.001,2024/06/24 12:48:29.7029,4,0
0.001,2024/06/24 12:48:29.7029,3,683
0.001,2024/06/24 12:48:29.7029,2,0
0.001,2024/06/24 12:48:29.7029,1,0
0.001,2024/06/24 12:48:29.7029,0,0
0.098,2024/06/24 12:48:29.7999,3,729
0.586,2024/06/24 12:48:30.2879,5,697
0.833,2024/06/24 12:48:30.5349,5,697
0.836,2024/06/24 12:48:30.5379,3,740
1.078,2024/06/24 12:48:30.7799,5,697
1.575,2024/06/24 12:48:31.2769,3,709
2.314,2024/06/24 12:48:32.0159,3,719
2.806,2024/06/24 12:48:32.5079,3,717
3.545,2024/06/24 12:48:33.2469,3,735
3.788,2024/06/24 12:48:33.4899,5,682
4.034,2024/06/24 12:48:33.7359,5,682
4.28,2024/06/24 12:48:33.9819,5,682
4.284,2024/06/24 12:48:33.9859,3,700
5.022,2024/06/24 12:48:34.7239,3,679
6.008,2024/06/24 12:48:35.7099,3,677
6.5,2024/06/24 12:48:36.2019,3,674
6.989,2024/06/24 12:48:36.6909,5,689
6.993,2024/06/24 12:48:36.6949,3,679
7.237,2024/06/24 12:48:36.9389,5,689
7.482,2024/06/24 12:48:37.1839,5,689
7.728,2024/06/24 12:48:37.4299,5,697
7.732,2024/06/24 12:48:37.4339,3,658
7.974,2024/06/24 12:48:37.6759,5,697
8.224,2024/06/24 12:48:37.9259,3,655
9.209,2024/06/24 12:48:38.9109,3,658
9.698,2024/06/24 12:48:39.3999,5,705
9.944,2024/06/24 12:48:39.6459,5,705
10.191,2024/06/24 12:48:39.8929,5,705
10.195,2024/06/24 12:48:39.8969,3,648
10.437,2024/06/24 12:48:40.1389,5,705
10.441,2024/06/24 12:48:40.1429,3,677
10.683,2024/06/24 12:48:40.3849,5,705
10.93,2024/06/24 12:48:40.6319,5,705
10.934,2024/06/24 12:48:40.6359,3,690
11.176,2024/06/24 12:48:40.8779,5,705
