reltime;datetime;iSensor;headPos.x;headPos.y;headPos.z;headPosQ;headYaw;headPitch;headRoll;headRotQ;gazeSrc.x;gazeSrc.y;gazeSrc.z;gazeDir.x;gazeDir.y;gazeDir.z;gazeQ;leftEyeOpen;leftEyeOpenQ;rightEyeOpen;rightEyeOpenQ;pupil;pupilQ

   0.0010;2024/06/05 10:44:55.9209;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.960;-0.249;0.126;0.93;10.00;1.00;8.55;1.00;2.81;0.93
   1.2710;2024/06/05 10:44:57.1909;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.930;-0.259;0.259;0.99;10.00;1.00;9.71;1.00;2.81;0.99
   1.2900;2024/06/05 10:44:57.2099;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.931;-0.265;0.253;1.00;10.00;1.00;10.00;1.00;2.79;1.00
   1.2990;2024/06/05 10:44:57.2189;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.931;-0.265;0.253;1.00;10.00;1.00;10.00;1.00;2.79;1.00
   1.3190;2024/06/05 10:44:57.2389;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.935;-0.262;0.241;1.00;10.00;1.00;10.00;1.00;2.81;1.00
   1.3390;2024/06/05 10:44:57.2589;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.935;-0.262;0.239;1.00;10.00;1.00;10.00;1.00;2.80;1.00
   1.3490;2024/06/05 10:44:57.2689;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.935;-0.263;0.238;0.98;10.00;1.00;9.66;1.00;2.81;0.98
   1.3690;2024/06/05 10:44:57.2889;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.935;-0.263;0.238;1.00;10.00;1.00;10.00;1.00;2.83;1.00
   1.3890;2024/06/05 10:44:57.3089;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.932;-0.262;0.250;1.00;10.00;1.00;10.00;1.00;2.79;1.00
   1.3980;2024/06/05 10:44:57.3179;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.932;-0.262;0.250;1.00;10.00;1.00;10.00;1.00;2.79;1.00
   1.4170;2024/06/05 10:44:57.3369;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.933;-0.261;0.249;0.98;10.00;1.00;9.69;1.00;2.81;0.98
   1.4270;2024/06/05 10:44:57.3469;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.933;-0.262;0.246;1.00;10.00;1.00;10.00;1.00;2.81;1.00
   1.4460;2024/06/05 10:44:57.3659;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.933;-0.263;0.247;1.00;10.00;1.00;10.00;1.00;2.81;1.00
   1.4560;2024/06/05 10:44:57.3759;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.935;-0.263;0.240;1.00;10.00;1.00;10.00;1.00;2.78;1.00
   1.4750;2024/06/05 10:44:57.3949;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.935;-0.264;0.238;1.00;10.00;1.00;10.00;1.00;2.80;1.00
   1.4950;2024/06/05 10:44:57.4149;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.935;-0.266;0.235;1.00;10.00;1.00;10.00;1.00;2.82;1.00
   1.5050;2024/06/05 10:44:57.4249;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.935;-0.266;0.235;1.00;10.00;1.00;10.00;1.00;2.83;1.00
   1.5250;2024/06/05 10:44:57.4449;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.935;-0.265;0.238;1.00;10.00;1.00;10.00;1.00;2.82;1.00
   1.5350;2024/06/05 10:44:57.4549;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.935;-0.265;0.238;1.00;10.00;1.00;10.00;1.00;2.82;1.00
   1.5550;2024/06/05 10:44:57.4749;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.936;-0.263;0.236;1.00;10.00;1.00;10.00;1.00;2.82;1.00
