reltime,datetime,iSensor,headPos.x,headPos.y,headPos.z,headPosQ,headYaw,headPitch,headRoll,headRotQ,gazeSrc.x,gazeSrc.y,gazeSrc.z,gazeDir.x,gazeDir.y,gazeDir.z,gazeQ,leftEyeOpen,leftEyeOpenQ,rightEyeOpen,rightEyeOpenQ,pupil,pupilQ
0.001,2024/06/24 12:48:29.7029,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041,-0.085,-0.178,0.997,-0.054,0.063,0.25,2.48,1.0,0.0,1.0,0.0,0.0
1.425,2024/06/24 12:48:31.1269,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019,0.01,-0.015,0.988,-0.008,0.151,1.0,10.0,1.0,10.0,1.0,2.22,1.0
1.445,2024/06/24 12:48:31.1469,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019,0.01,-0.015,0.989,0.004,0.146,1.0,10.0,1.0,10.0,1.0,2.23,1.0
1.465,2024/06/24 12:48:31.1669,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.989,0.01,0.145,1.0,10.0,1.0,10.0,1.0,2.27,1.0
1.475,2024/06/24 12:48:31.1769,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.99,0.012,0.143,1.0,10.0,1.0,10.0,1.0,2.27,1.0
1.495,2024/06/24 12:48:31.1969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.99,0.011,0.144,1.0,10.0,1.0,10.0,1.0,2.26,1.0
1.505,2024/06/24 12:48:31.2069,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.989,0.015,0.144,1.0,10.0,1.0,10.0,1.0,2.27,1.0
1.525,2024/06/24 12:48:31.2269,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.989,0.016,0.144,1.0,10.0,1.0,10.0,1.0,2.29,1.0
1.535,2024/06/24 12:48:31.2369,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.989,0.026,0.147,1.0,10.0,1.0,10.0,1.0,2.29,1.0
1.555,2024/06/24 12:48:31.2569,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.984,0.096,0.147,1.0,9.9,1.0,10.0,1.0,2.29,1.0
