reltime,datetime,iSensor,headPos.x,headPos.y,headPos.z,headPosQ,headYaw,headPitch,headRoll,headRotQ,gazeSrc.x,gazeSrc.y,gazeSrc.z,gaze_x,gaze_y,gaze_z,gazeQ,leftEyeOpen,leftEyeOpenQ,rightEyeOpen,rightEyeOpenQ,pupil,pupilQ,gaze_diff,fixation,fixation_id,duration
0.001,2024/06/24 12:48:29.7029,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041,-0.085,-0.178,0.997,-0.054,0.063,0.25,2.48,1.0,0.0,1.0,0.0,0.0,,False,1,
1.425,2024/06/24 12:48:31.1269,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019,0.01,-0.015,0.988,-0.008,0.151,1.0,10.0,1.0,10.0,1.0,2.22,1.0,0.09970456358662826,False,1,
1.445,2024/06/24 12:48:31.1469,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019,0.01,-0.015,0.989,0.004,0.146,1.0,10.0,1.0,10.0,1.0,2.23,1.0,0.013038404810405298,False,1,
1.465,2024/06/24 12:48:31.1669,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.989,0.01,0.145,1.0,10.0,1.0,10.0,1.0,2.27,1.0,0.0060827625302982205,True,2,0.05999999999999983
1.475,2024/06/24 12:48:31.1769,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.99,0.012,0.143,1.0,10.0,1.0,10.0,1.0,2.27,1.0,0.0030000000000000014,True,2,0.05999999999999983
1.495,2024/06/24 12:48:31.1969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.99,0.011,0.144,1.0,10.0,1.0,10.0,1.0,2.26,1.0,0.0014142135623730963,True,2,0.05999999999999983
1.505,2024/06/24 12:48:31.2069,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.989,0.015,0.144,1.0,10.0,1.0,10.0,1.0,2.27,1.0,0.00412310562561766,True,2,0.05999999999999983
1.525,2024/06/24 12:48:31.2269,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.989,0.016,0.144,1.0,10.0,1.0,10.0,1.0,2.29,1.0,0.0010000000000000009,True,2,0.05999999999999983
1.535,2024/06/24 12:48:31.2369,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.989,0.026,0.147,1.0,10.0,1.0,10.0,1.0,2.29,1.0,0.010440306508910549,False,3,
1.555,2024/06/24 12:48:31.2569,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.984,0.096,0.147,1.0,9.9,1.0,10.0,1.0,2.29,1.0,0.07017834423809101,False,3,
1.575,2024/06/24 12:48:31.2769,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.982,0.115,0.151,0.98,9.56,1.0,10.0,1.0,2.29,0.98,0.019519221295943138,False,3,
1.585,2024/06/24 12:48:31.2869,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.982,0.115,0.151,0.98,9.56,1.0,10.0,1.0,2.29,0.98,0.0,True,4,0.028000000000000025
1.604,2024/06/24 12:48:31.3059,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.982,0.123,0.146,0.94,8.88,1.0,10.0,1.0,2.28,0.94,0.009433981132056601,True,4,0.028000000000000025
1.613,2024/06/24 12:48:31.3149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.981,0.127,0.145,0.93,8.68,1.0,10.0,1.0,2.31,0.93,0.004242640687119289,True,4,0.028000000000000025
1.633,2024/06/24 12:48:31.3349,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.982,0.13,0.135,0.95,8.91,1.0,10.0,1.0,2.31,0.95,0.010488088481701498,False,5,
1.653,2024/06/24 12:48:31.3549,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.982,0.131,0.135,1.0,10.0,1.0,10.0,1.0,2.31,1.0,0.0010000000000000009,True,6,0.10999999999999988
1.663,2024/06/24 12:48:31.3649,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.982,0.132,0.133,0.98,9.53,1.0,10.0,1.0,2.31,0.98,0.002236067977499792,True,6,0.10999999999999988
1.683,2024/06/24 12:48:31.3849,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.983,0.133,0.13,1.0,9.93,1.0,10.0,1.0,2.33,1.0,0.003316624790355403,True,6,0.10999999999999988
1.693,2024/06/24 12:48:31.3949,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.983,0.132,0.131,1.0,9.93,1.0,10.0,1.0,2.34,1.0,0.0014142135623730963,True,6,0.10999999999999988
1.713,2024/06/24 12:48:31.4149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.982,0.138,0.13,1.0,10.0,1.0,10.0,1.0,2.35,1.0,0.006164414002968982,True,6,0.10999999999999988
1.733,2024/06/24 12:48:31.4349,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.982,0.137,0.129,0.94,8.82,1.0,10.0,1.0,2.34,0.94,0.0014142135623730963,True,6,0.10999999999999988
1.743,2024/06/24 12:48:31.4449,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.982,0.134,0.133,1.0,10.0,1.0,10.0,1.0,2.34,1.0,0.0050000000000000044,True,6,0.10999999999999988
1.763,2024/06/24 12:48:31.4649,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.982,0.135,0.135,0.98,9.68,1.0,10.0,1.0,2.36,0.98,0.002236067977499792,True,6,0.10999999999999988
1.773,2024/06/24 12:48:31.4749,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.984,0.12,0.133,1.0,10.0,1.0,9.9,1.0,2.34,1.0,0.015264337522473762,False,7,
1.793,2024/06/24 12:48:31.4949,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.987,0.094,0.127,1.0,10.0,1.0,9.9,1.0,2.35,1.0,0.0268514431641951,False,7,
1.813,2024/06/24 12:48:31.5149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.991,-0.081,0.105,0.99,9.9,1.0,9.9,1.0,2.35,0.99,0.1764227876437735,False,7,
1.823,2024/06/24 12:48:31.5249,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.991,-0.081,0.105,0.99,9.9,1.0,9.9,1.0,2.35,0.99,0.0,True,8,0.0
1.843,2024/06/24 12:48:31.5449,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.982,-0.162,0.095,1.0,10.0,1.0,10.0,1.0,2.38,1.0,0.08210968274204937,False,9,
1.853,2024/06/24 12:48:31.5549,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.982,-0.162,0.095,1.0,10.0,1.0,10.0,1.0,2.38,1.0,0.0,True,10,0.0
1.873,2024/06/24 12:48:31.5749,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.977,-0.194,0.088,0.99,10.0,1.0,9.71,1.0,2.37,0.99,0.03313608305156178,False,11,
1.883,2024/06/24 12:48:31.5849,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.975,-0.206,0.084,1.0,10.0,1.0,10.0,1.0,2.38,1.0,0.012806248474865679,False,11,
1.903,2024/06/24 12:48:31.6049,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.974,-0.21,0.086,0.99,10.0,1.0,9.75,1.0,2.36,0.99,0.004582575694955838,True,12,0.5670000000000002
1.913,2024/06/24 12:48:31.6149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.974,-0.207,0.091,0.98,10.0,1.0,9.65,1.0,2.36,0.98,0.0058309518948453055,True,12,0.5670000000000002
1.933,2024/06/24 12:48:31.6349,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.974,-0.208,0.089,0.98,10.0,1.0,9.58,1.0,2.37,0.98,0.002236067977499792,True,12,0.5670000000000002
1.953,2024/06/24 12:48:31.6549,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.974,-0.209,0.091,0.98,10.0,1.0,9.68,1.0,2.35,0.98,0.002236067977499792,True,12,0.5670000000000002
1.963,2024/06/24 12:48:31.6649,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.974,-0.209,0.086,0.97,10.0,1.0,9.5,1.0,2.35,0.97,0.0050000000000000044,True,12,0.5670000000000002
1.983,2024/06/24 12:48:31.6849,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.973,-0.213,0.087,1.0,10.0,1.0,10.0,1.0,2.37,1.0,0.004242640687119289,True,12,0.5670000000000002
1.992,2024/06/24 12:48:31.6939,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.973,-0.214,0.086,1.0,10.0,1.0,10.0,1.0,2.36,1.0,0.0014142135623730963,True,12,0.5670000000000002
2.012,2024/06/24 12:48:31.7139,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.973,-0.214,0.084,0.99,10.0,1.0,9.83,1.0,2.36,0.99,0.001999999999999988,True,12,0.5670000000000002
2.021,2024/06/24 12:48:31.7229,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.973,-0.214,0.084,0.99,10.0,1.0,9.83,1.0,2.36,0.99,0.0,True,12,0.5670000000000002
2.041,2024/06/24 12:48:31.7429,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.974,-0.211,0.085,0.97,10.0,1.0,9.38,1.0,2.37,0.97,0.003316624790355403,True,12,0.5670000000000002
2.051,2024/06/24 12:48:31.7529,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.974,-0.211,0.084,1.0,10.0,1.0,10.0,1.0,2.36,1.0,0.0010000000000000009,True,12,0.5670000000000002
2.071,2024/06/24 12:48:31.7729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.974,-0.21,0.086,0.98,10.0,1.0,9.59,1.0,2.35,0.98,0.0022360679774997795,True,12,0.5670000000000002
2.091,2024/06/24 12:48:31.7929,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.974,-0.212,0.083,1.0,10.0,1.0,9.92,1.0,2.35,1.0,0.003605551275463981,True,12,0.5670000000000002
2.101,2024/06/24 12:48:31.8029,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.974,-0.212,0.084,0.99,10.0,1.0,9.74,1.0,2.35,0.99,0.0010000000000000009,True,12,0.5670000000000002
2.121,2024/06/24 12:48:31.8229,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.973,-0.215,0.08,1.0,10.0,1.0,10.0,1.0,2.35,1.0,0.00509901951359279,True,12,0.5670000000000002
2.131,2024/06/24 12:48:31.8329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.973,-0.215,0.083,1.0,10.0,1.0,9.97,1.0,2.36,1.0,0.0030000000000000027,True,12,0.5670000000000002
2.151,2024/06/24 12:48:31.8529,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.973,-0.214,0.083,0.99,10.0,1.0,9.77,1.0,2.32,0.99,0.0010000000000000009,True,12,0.5670000000000002
2.161,2024/06/24 12:48:31.8629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.974,-0.213,0.081,0.97,10.0,1.0,9.5,1.0,2.32,0.97,0.0024494897427831805,True,12,0.5670000000000002
2.181,2024/06/24 12:48:31.8829,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.973,-0.213,0.087,0.99,10.0,1.0,9.77,1.0,2.33,0.99,0.006082762530298212,True,12,0.5670000000000002
2.191,2024/06/24 12:48:31.8929,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.973,-0.213,0.087,0.99,10.0,1.0,9.77,1.0,2.33,0.99,0.0,True,12,0.5670000000000002
2.211,2024/06/24 12:48:31.9129,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.972,-0.214,0.093,1.0,10.0,1.0,9.94,1.0,2.34,1.0,0.006164414002968982,True,12,0.5670000000000002
2.231,2024/06/24 12:48:31.9329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.972,-0.213,0.095,0.99,10.0,1.0,9.83,1.0,2.33,0.99,0.002236067977499792,True,12,0.5670000000000002
2.241,2024/06/24 12:48:31.9429,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.972,-0.213,0.095,1.0,10.0,1.0,10.0,1.0,2.33,1.0,0.0,True,12,0.5670000000000002
2.261,2024/06/24 12:48:31.9629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.973,-0.211,0.097,0.99,10.0,1.0,9.85,1.0,2.33,0.99,0.0030000000000000027,True,12,0.5670000000000002
2.271,2024/06/24 12:48:31.9729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.973,-0.21,0.098,0.99,10.0,1.0,9.81,1.0,2.34,0.99,0.0014142135623730963,True,12,0.5670000000000002
2.291,2024/06/24 12:48:31.9929,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.973,-0.21,0.096,1.0,10.0,1.0,10.0,1.0,2.34,1.0,0.0020000000000000018,True,12,0.5670000000000002
2.301,2024/06/24 12:48:32.0029,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.973,-0.211,0.095,1.0,10.0,1.0,9.9,1.0,2.34,1.0,0.0014142135623730963,True,12,0.5670000000000002
