reltime,datetime,iSensor,ibi
0.001,2024/06/13 13:46:34.4369,5,674
0.001,2024/06/13 13:46:34.4369,4,0
0.001,2024/06/13 13:46:34.4369,3,746
0.001,2024/06/13 13:46:34.4369,2,0
0.001,2024/06/13 13:46:34.4369,1,0
0.001,2024/06/13 13:46:34.4369,0,0
0.525,2024/06/13 13:46:34.9609,3,670
1.017,2024/06/13 13:46:35.4529,3,684
1.426,2024/06/13 13:46:35.8619,5,659
1.673,2024/06/13 13:46:36.1089,5,659
1.756,2024/06/13 13:46:36.1919,3,688
1.919,2024/06/13 13:46:36.3549,5,659
2.248,2024/06/13 13:46:36.6839,3,660
2.74,2024/06/13 13:46:37.1759,3,370
3.726,2024/06/13 13:46:38.1619,3,788
3.972,2024/06/13 13:46:38.4079,3,650
4.627,2024/06/13 13:46:39.0629,5,659
4.874,2024/06/13 13:46:39.3099,5,659
4.957,2024/06/13 13:46:39.3929,3,631
5.12,2024/06/13 13:46:39.5559,5,659
5.45,2024/06/13 13:46:39.8859,3,616
5.943,2024/06/13 13:46:40.3789,3,616
6.435,2024/06/13 13:46:40.8709,3,603
7.174,2024/06/13 13:46:41.6099,3,604
7.666,2024/06/13 13:46:42.1019,3,597
7.83,2024/06/13 13:46:42.2659,5,674
8.076,2024/06/13 13:46:42.5119,5,674
8.322,2024/06/13 13:46:42.7579,5,674
8.651,2024/06/13 13:46:43.0869,3,610
9.143,2024/06/13 13:46:43.5789,3,644
9.553,2024/06/13 13:46:43.9889,5,674
9.637,2024/06/13 13:46:44.0729,3,687
9.799,2024/06/13 13:46:44.2349,5,674
10.046,2024/06/13 13:46:44.4819,5,674
10.291,2024/06/13 13:46:44.7269,5,674
10.375,2024/06/13 13:46:44.8109,3,676
10.539,2024/06/13 13:46:44.9749,5,674
10.784,2024/06/13 13:46:45.2199,5,674
11.36,2024/06/13 13:46:45.7959,3,639
11.523,2024/06/13 13:46:45.9589,5,666
11.607,2024/06/13 13:46:46.0429,3,623
11.769,2024/06/13 13:46:46.2049,5,666
12.016,2024/06/13 13:46:46.4519,5,666
12.262,2024/06/13 13:46:46.6979,5,666
12.346,2024/06/13 13:46:46.7819,3,631
12.508,2024/06/13 13:46:46.9439,5,659
12.755,2024/06/13 13:46:47.1909,5,659
12.838,2024/06/13 13:46:47.2739,3,646
13.001,2024/06/13 13:46:47.4369,5,659
13.247,2024/06/13 13:46:47.6829,5,659
13.493,2024/06/13 13:46:47.9289,5,659
13.577,2024/06/13 13:46:48.0129,3,638
13.74,2024/06/13 13:46:48.1759,5,651
14.07,2024/06/13 13:46:48.5059,3,608
14.478,2024/06/13 13:46:48.9139,5,651
14.808,2024/06/13 13:46:49.2439,3,597
15.301,2024/06/13 13:46:49.7369,3,582
15.793,2024/06/13 13:46:50.2289,3,576
16.202,2024/06/13 13:46:50.6379,5,638
16.449,2024/06/13 13:46:50.8849,5,638
16.532,2024/06/13 13:46:50.9679,3,574
16.695,2024/06/13 13:46:51.1309,5,638
17.025,2024/06/13 13:46:51.4609,3,566
17.517,2024/06/13 13:46:51.9529,3,563
18.009,2024/06/13 13:46:52.4449,3,562
18.748,2024/06/13 13:46:53.1839,3,566
19.24,2024/06/13 13:46:53.6759,3,573
19.403,2024/06/13 13:46:53.8389,5,638
19.65,2024/06/13 13:46:54.0859,5,638
19.734,2024/06/13 13:46:54.1699,3,575
19.896,2024/06/13 13:46:54.3319,5,638
21.705,2024/06/13 13:46:56.1409,3,586
22.196,2024/06/13 13:46:56.6319,3,588
22.605,2024/06/13 13:46:57.0409,5,638
22.851,2024/06/13 13:46:57.2869,5,638
22.935,2024/06/13 13:46:57.3709,3,578
23.098,2024/06/13 13:46:57.5339,5,638
23.428,2024/06/13 13:46:57.8639,3,577
25.152,2024/06/13 13:46:59.5879,3,585
25.644,2024/06/13 13:47:00.0799,3,587
26.053,2024/06/13 13:47:00.4889,5,605
26.136,2024/06/13 13:47:00.5719,3,585
26.3,2024/06/13 13:47:00.7359,5,605
27.122,2024/06/13 13:47:01.5579,3,587
27.614,2024/06/13 13:47:02.0499,3,597
28.107,2024/06/13 13:47:02.5429,3,596
28.599,2024/06/13 13:47:03.0349,3,597
29.009,2024/06/13 13:47:03.4449,5,582
29.255,2024/06/13 13:47:03.6909,5,582
29.338,2024/06/13 13:47:03.7739,3,596
29.501,2024/06/13 13:47:03.9369,5,582
29.831,2024/06/13 13:47:04.2669,3,605
30.815,2024/06/13 13:47:05.2509,3,608
31.308,2024/06/13 13:47:05.7439,3,604
31.555,2024/06/13 13:47:05.9909,3,596
32.047,2024/06/13 13:47:06.4829,3,582
32.211,2024/06/13 13:47:06.6469,5,588
32.456,2024/06/13 13:47:06.8919,5,588
32.703,2024/06/13 13:47:07.1389,5,588
33.032,2024/06/13 13:47:07.4679,3,576
33.524,2024/06/13 13:47:07.9599,3,579
35.249,2024/06/13 13:47:09.6849,3,622
35.412,2024/06/13 13:47:09.8479,5,594
35.658,2024/06/13 13:47:10.0939,5,594
35.741,2024/06/13 13:47:10.1769,3,614
35.905,2024/06/13 13:47:10.3409,5,594
36.726,2024/06/13 13:47:11.1619,3,605
37.218,2024/06/13 13:47:11.6539,3,606
37.712,2024/06/13 13:47:12.1479,3,623
38.204,2024/06/13 13:47:12.6399,3,630
38.943,2024/06/13 13:47:13.3789,3,633
39.106,2024/06/13 13:47:13.5419,5,594
39.845,2024/06/13 13:47:14.2809,5,594
39.927,2024/06/13 13:47:14.3629,3,624
40.091,2024/06/13 13:47:14.5269,5,594
40.174,2024/06/13 13:47:14.6099,3,620
40.338,2024/06/13 13:47:14.7739,5,594
40.584,2024/06/13 13:47:15.0199,5,600
40.829,2024/06/13 13:47:15.2649,5,600
40.913,2024/06/13 13:47:15.3489,3,621
41.076,2024/06/13 13:47:15.5119,5,600
41.323,2024/06/13 13:47:15.7589,5,600
41.406,2024/06/13 13:47:15.8419,3,633
41.568,2024/06/13 13:47:16.0039,5,600
41.815,2024/06/13 13:47:16.2509,5,600
42.062,2024/06/13 13:47:16.4979,5,600
42.144,2024/06/13 13:47:16.5799,3,653
42.637,2024/06/13 13:47:17.0729,3,641
42.801,2024/06/13 13:47:17.2369,5,600
43.046,2024/06/13 13:47:17.4819,5,600
43.292,2024/06/13 13:47:17.7279,5,600
43.375,2024/06/13 13:47:17.8109,3,631
43.539,2024/06/13 13:47:17.9749,5,605
43.785,2024/06/13 13:47:18.2209,5,605
44.032,2024/06/13 13:47:18.4679,5,605
44.115,2024/06/13 13:47:18.5509,3,622
44.278,2024/06/13 13:47:18.7139,5,605
44.524,2024/06/13 13:47:18.9599,5,611
44.77,2024/06/13 13:47:19.2059,5,611
46.085,2024/06/13 13:47:20.5209,3,651
46.578,2024/06/13 13:47:21.0139,3,641
46.987,2024/06/13 13:47:21.4229,5,611
47.233,2024/06/13 13:47:21.6689,5,611
47.316,2024/06/13 13:47:21.7519,3,630
47.479,2024/06/13 13:47:21.9149,5,611
47.808,2024/06/13 13:47:22.2439,3,631
48.794,2024/06/13 13:47:23.2299,3,644
49.286,2024/06/13 13:47:23.7219,3,664
49.779,2024/06/13 13:47:24.2149,3,656
50.188,2024/06/13 13:47:24.6239,5,631
50.434,2024/06/13 13:47:24.8699,5,631
50.517,2024/06/13 13:47:24.9529,3,642
50.681,2024/06/13 13:47:25.1169,5,631
51.01,2024/06/13 13:47:25.4459,3,627
51.995,2024/06/13 13:47:26.4309,3,633
52.734,2024/06/13 13:47:27.1699,3,650
52.98,2024/06/13 13:47:27.4159,3,663
53.39,2024/06/13 13:47:27.8259,5,638
