reltime,datetime,iSensor,headPos.x,headPos.y,headPos.z,headPosQ,headYaw,headPitch,headRoll,headRotQ,gazeSrc.x,gazeSrc.y,gazeSrc.z,gazeDir.x,gazeDir.y,gazeDir.z,gazeQ,leftEyeOpen,leftEyeOpenQ,rightEyeOpen,rightEyeOpenQ,pupil,pupilQ
0.001,2024/06/13 13:46:34.4369,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.938,-0.209,0.278,1.0,10.0,1.0,10.0,1.0,3.19,1.0
1.28,2024/06/13 13:46:35.7159,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.932,-0.221,0.286,1.0,10.0,1.0,10.0,1.0,3.32,1.0
1.299,2024/06/13 13:46:35.7349,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.932,-0.221,0.286,1.0,10.0,1.0,10.0,1.0,3.28,1.0
1.309,2024/06/13 13:46:35.7449,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.932,-0.224,0.285,1.0,10.0,1.0,10.0,1.0,3.3,1.0
1.329,2024/06/13 13:46:35.7649,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.933,-0.224,0.283,1.0,10.0,1.0,10.0,1.0,3.3,1.0
1.339,2024/06/13 13:46:35.7749,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.933,-0.223,0.283,1.0,10.0,1.0,10.0,1.0,3.29,1.0
1.359,2024/06/13 13:46:35.7949,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.935,-0.219,0.279,1.0,10.0,1.0,10.0,1.0,3.31,1.0
1.378,2024/06/13 13:46:35.8139,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.938,-0.215,0.271,1.0,10.0,1.0,10.0,1.0,3.3,1.0
1.388,2024/06/13 13:46:35.8239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.938,-0.215,0.272,1.0,10.0,1.0,10.0,1.0,3.31,1.0
1.408,2024/06/13 13:46:35.8439,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.939,-0.213,0.271,1.0,10.0,1.0,10.0,1.0,3.29,1.0
1.418,2024/06/13 13:46:35.8539,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.94,-0.209,0.269,1.0,10.0,1.0,10.0,1.0,3.32,1.0
1.438,2024/06/13 13:46:35.8739,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.941,-0.208,0.265,1.0,10.0,1.0,10.0,1.0,3.3,1.0
1.457,2024/06/13 13:46:35.8929,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.941,-0.212,0.265,1.0,10.0,1.0,10.0,1.0,3.29,1.0
1.466,2024/06/13 13:46:35.9019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,0.01,-0.015,0.941,-0.212,0.265,1.0,10.0,1.0,10.0,1.0,3.29,1.0
