reltime,datetime,iSensor,headPos.x,headPos.y,headPos.z,headPosQ,headYaw,headPitch,headRoll,headRotQ,gazeSrc.x,gazeSrc.y,gazeSrc.z,gaze_x,gaze_y,gaze_z,gazeQ,leftEyeOpen,leftEyeOpenQ,rightEyeOpen,rightEyeOpenQ,pupil,pupilQ,gaze_diff,fixation,fixation_id,duration
0.001,2024/05/28 15:34:05.2439,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.013,-0.015,0.959,-0.112,0.261,1.0,10.0,1.0,10.0,1.0,2.5,1.0,,False,1,
1.291,2024/05/28 15:34:06.5339,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.013,-0.015,0.936,-0.122,0.33,1.0,10.0,1.0,10.0,1.0,2.57,1.0,0.07341661937191059,False,1,
1.311,2024/05/28 15:34:06.5539,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.013,-0.015,0.934,-0.126,0.334,1.0,10.0,1.0,10.0,1.0,2.6,1.0,0.006000000000000005,True,2,0.040000000000000036
1.321,2024/05/28 15:34:06.5639,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.013,-0.015,0.934,-0.126,0.334,1.0,10.0,1.0,10.0,1.0,2.6,1.0,0.0,True,2,0.040000000000000036
1.341,2024/05/28 15:34:06.5839,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.013,-0.015,0.934,-0.124,0.335,1.0,10.0,1.0,10.0,1.0,2.6,1.0,0.002236067977499792,True,2,0.040000000000000036
1.351,2024/05/28 15:34:06.5939,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.013,-0.015,0.934,-0.127,0.334,1.0,10.0,1.0,10.0,1.0,2.57,1.0,0.003162277660168382,True,2,0.040000000000000036
1.37,2024/05/28 15:34:06.6129,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.013,-0.015,0.944,-0.124,0.306,1.0,10.0,1.0,10.0,1.0,2.58,1.0,0.02988310559496786,False,3,
1.38,2024/05/28 15:34:06.6229,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.013,-0.015,0.948,-0.127,0.291,1.0,10.0,1.0,10.0,1.0,2.58,1.0,0.01581138830084191,False,3,
1.4,2024/05/28 15:34:06.6429,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.013,-0.015,0.951,-0.124,0.282,1.0,10.0,1.0,10.0,1.0,2.55,1.0,0.009949874371066208,True,4,0.3270000000000002
1.42,2024/05/28 15:34:06.6629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.013,-0.015,0.953,-0.123,0.278,1.0,10.0,1.0,10.0,1.0,2.57,1.0,0.004582575694955796,True,4,0.3270000000000002
1.43,2024/05/28 15:34:06.6729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.013,-0.015,0.953,-0.124,0.276,1.0,10.0,1.0,10.0,1.0,2.56,1.0,0.002236067977499792,True,4,0.3270000000000002
1.449,2024/05/28 15:34:06.6919,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.013,-0.015,0.956,-0.12,0.268,1.0,10.0,1.0,10.0,1.0,2.57,1.0,0.009433981132056611,True,4,0.3270000000000002
1.468,2024/05/28 15:34:06.7109,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.013,-0.015,0.956,-0.122,0.268,1.0,10.0,1.0,10.0,1.0,2.57,1.0,0.0020000000000000018,True,4,0.3270000000000002
1.478,2024/05/28 15:34:06.7209,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.013,-0.015,0.954,-0.12,0.274,1.0,10.0,1.0,10.0,1.0,2.58,1.0,0.006633249580710806,True,4,0.3270000000000002
1.497,2024/05/28 15:34:06.7399,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.013,-0.015,0.954,-0.12,0.275,1.0,10.0,1.0,10.0,1.0,2.58,1.0,0.0010000000000000009,True,4,0.3270000000000002
1.506,2024/05/28 15:34:06.7489,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.013,-0.015,0.953,-0.123,0.276,1.0,10.0,1.0,10.0,1.0,2.56,1.0,0.003316624790355403,True,4,0.3270000000000002
1.524,2024/05/28 15:34:06.7669,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.013,-0.015,0.953,-0.125,0.276,1.0,10.0,1.0,10.0,1.0,2.55,1.0,0.0020000000000000018,True,4,0.3270000000000002
1.544,2024/05/28 15:34:06.7869,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.012,-0.015,0.953,-0.123,0.277,1.0,10.0,1.0,10.0,1.0,2.58,1.0,0.002236067977499792,True,4,0.3270000000000002
1.564,2024/05/28 15:34:06.8069,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.012,-0.015,0.953,-0.124,0.275,1.0,10.0,1.0,10.0,1.0,2.58,1.0,0.002236067977499792,True,4,0.3270000000000002
1.574,2024/05/28 15:34:06.8169,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.012,-0.015,0.954,-0.125,0.274,1.0,10.0,1.0,10.0,1.0,2.57,1.0,0.001732050807568879,True,4,0.3270000000000002
1.594,2024/05/28 15:34:06.8369,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.012,-0.015,0.954,-0.125,0.273,1.0,10.0,1.0,10.0,1.0,2.58,1.0,0.0010000000000000009,True,4,0.3270000000000002
1.613,2024/05/28 15:34:06.8559,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.012,-0.015,0.954,-0.123,0.274,1.0,10.0,1.0,10.0,1.0,2.59,1.0,0.002236067977499792,True,4,0.3270000000000002
1.622,2024/05/28 15:34:06.8649,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.012,-0.015,0.954,-0.123,0.274,1.0,10.0,1.0,10.0,1.0,2.59,1.0,0.0,True,4,0.3270000000000002
1.641,2024/05/28 15:34:06.8839,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.012,-0.015,0.955,-0.121,0.27,1.0,10.0,1.0,10.0,1.0,2.58,1.0,0.004582575694955844,True,4,0.3270000000000002
1.65,2024/05/28 15:34:06.8929,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.012,-0.015,0.955,-0.122,0.271,1.0,10.0,1.0,10.0,1.0,2.59,1.0,0.0014142135623730963,True,4,0.3270000000000002
1.669,2024/05/28 15:34:06.9119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.012,-0.015,0.953,-0.126,0.275,1.0,10.0,1.0,10.0,1.0,2.6,1.0,0.006000000000000005,True,4,0.3270000000000002
