reltime;datetime;iSensor;confidence;heart_rate

   0.0010;2024/05/28 15:36:54.8549;5;1.00;89.0
   0.0010;2024/05/28 15:36:54.8549;4;0.00;0.0
   0.0010;2024/05/28 15:36:54.8549;3;1.00;92.0
   0.0010;2024/05/28 15:36:54.8549;2;0.00;0.0
   0.0010;2024/05/28 15:36:54.8549;1;0.00;0.0
   0.0010;2024/05/28 15:36:54.8549;0;0.00;0.0
   0.1070;2024/05/28 15:36:54.9609;3;1.00;92.0
   0.2020;2024/05/28 15:36:55.0559;5;1.00;90.0
   0.3540;2024/05/28 15:36:55.2079;3;1.00;92.0
   0.4480;2024/05/28 15:36:55.3019;5;1.00;90.0
   0.6000;2024/05/28 15:36:55.4539;3;1.00;92.0
   0.6950;2024/05/28 15:36:55.5489;5;1.00;90.0
   0.9410;2024/05/28 15:36:55.7949;5;1.00;90.0
   1.0930;2024/05/28 15:36:55.9469;3;1.00;93.0
   1.1860;2024/05/28 15:36:56.0399;5;1.00;90.0
   1.3390;2024/05/28 15:36:56.1929;3;1.00;93.0
   1.5840;2024/05/28 15:36:56.4379;3;1.00;94.0
   1.6790;2024/05/28 15:36:56.5329;5;1.00;90.0
   1.8310;2024/05/28 15:36:56.6849;3;1.00;94.0
   1.9260;2024/05/28 15:36:56.7799;5;1.00;90.0
   2.0770;2024/05/28 15:36:56.9309;3;1.00;94.0
   2.3230;2024/05/28 15:36:57.1769;3;1.00;95.0
   2.4180;2024/05/28 15:36:57.2719;5;1.00;90.0
   2.5700;2024/05/28 15:36:57.4239;3;1.00;95.0
   2.6650;2024/05/28 15:36:57.5189;5;1.00;90.0
   2.8160;2024/05/28 15:36:57.6699;3;1.00;95.0
   2.9110;2024/05/28 15:36:57.7649;5;1.00;90.0
   3.0630;2024/05/28 15:36:57.9169;3;1.00;95.0
   3.1570;2024/05/28 15:36:58.0109;5;1.00;90.0
   3.3090;2024/05/28 15:36:58.1629;3;1.00;95.0
   3.4040;2024/05/28 15:36:58.2579;5;1.00;90.0
   3.5550;2024/05/28 15:36:58.4089;3;1.00;95.0
   3.6500;2024/05/28 15:36:58.5039;5;1.00;90.0
   3.8020;2024/05/28 15:36:58.6559;3;1.00;95.0
   3.8950;2024/05/28 15:36:58.7489;5;1.00;90.0
   4.0470;2024/05/28 15:36:58.9009;3;1.00;95.0
   4.1420;2024/05/28 15:36:58.9959;5;1.00;91.0
   4.2940;2024/05/28 15:36:59.1479;3;1.00;95.0
   4.3880;2024/05/28 15:36:59.2419;5;1.00;91.0
   4.5400;2024/05/28 15:36:59.3939;3;1.00;95.0
   4.7860;2024/05/28 15:36:59.6399;3;1.00;94.0
   4.8810;2024/05/28 15:36:59.7349;5;1.00;91.0
   5.0330;2024/05/28 15:36:59.8869;3;1.00;94.0
   5.2790;2024/05/28 15:37:00.1329;3;1.00;94.0
   5.3740;2024/05/28 15:37:00.2279;5;1.00;91.0
   5.5250;2024/05/28 15:37:00.3789;3;1.00;93.0
   5.6200;2024/05/28 15:37:00.4739;5;1.00;91.0
   5.7720;2024/05/28 15:37:00.6259;3;1.00;93.0
   5.8670;2024/05/28 15:37:00.7209;5;1.00;91.0
   6.0180;2024/05/28 15:37:00.8719;3;1.00;93.0
   6.1130;2024/05/28 15:37:00.9669;5;1.00;91.0
   6.2630;2024/05/28 15:37:01.1169;3;1.00;93.0
   6.3580;2024/05/28 15:37:01.2119;5;1.00;91.0
   6.5100;2024/05/28 15:37:01.3639;3;1.00;93.0
   6.6050;2024/05/28 15:37:01.4589;5;1.00;91.0
   6.7560;2024/05/28 15:37:01.6099;3;1.00;93.0
   6.8510;2024/05/28 15:37:01.7049;5;1.00;91.0
   7.0020;2024/05/28 15:37:01.8559;3;1.00;93.0
   7.0970;2024/05/28 15:37:01.9509;5;1.00;92.0
   7.2490;2024/05/28 15:37:02.1029;3;1.00;93.0
   7.3440;2024/05/28 15:37:02.1979;5;1.00;92.0
   7.4950;2024/05/28 15:37:02.3489;3;1.00;93.0
   7.5900;2024/05/28 15:37:02.4439;5;1.00;92.0
   7.7420;2024/05/28 15:37:02.5959;3;1.00;93.0
   7.8360;2024/05/28 15:37:02.6899;5;1.00;92.0
   7.9880;2024/05/28 15:37:02.8419;3;1.00;93.0
   8.0830;2024/05/28 15:37:02.9369;5;1.00;92.0
   8.2340;2024/05/28 15:37:03.0879;3;1.00;93.0
   8.3290;2024/05/28 15:37:03.1829;5;1.00;92.0
