reltime;datetime;iSensor;ibi

   0.0010;2024/05/28 15:36:54.8549;5;674
   0.0010;2024/05/28 15:36:54.8549;4;0
   0.0010;2024/05/28 15:36:54.8549;3;636
   0.0010;2024/05/28 15:36:54.8549;2;0
   0.0010;2024/05/28 15:36:54.8549;1;0
   0.0010;2024/05/28 15:36:54.8549;0;0
   0.2020;2024/05/28 15:36:55.0559;5;666
   0.3540;2024/05/28 15:36:55.2079;3;617
   0.4480;2024/05/28 15:36:55.3019;5;666
   0.6950;2024/05/28 15:36:55.5489;5;666
   0.9410;2024/05/28 15:36:55.7949;5;666
   1.0930;2024/05/28 15:36:55.9469;3;604
   1.1860;2024/05/28 15:36:56.0399;5;666
   1.5840;2024/05/28 15:36:56.4379;3;602
   1.9260;2024/05/28 15:36:56.7799;5;666
   2.3230;2024/05/28 15:36:57.1769;3;617
   2.6650;2024/05/28 15:36:57.5189;5;666
   2.9110;2024/05/28 15:36:57.7649;5;666
   3.0630;2024/05/28 15:36:57.9169;3;644
   3.1570;2024/05/28 15:36:58.0109;5;666
   3.4040;2024/05/28 15:36:58.2579;5;666
   3.5550;2024/05/28 15:36:58.4089;3;666
   3.6500;2024/05/28 15:36:58.5039;5;666
   3.8950;2024/05/28 15:36:58.7489;5;666
   4.1420;2024/05/28 15:36:58.9959;5;659
   4.2940;2024/05/28 15:36:59.1479;3;684
   4.3880;2024/05/28 15:36:59.2419;5;659
   4.7860;2024/05/28 15:36:59.6399;3;664
   5.5250;2024/05/28 15:37:00.3789;3;646
   5.6200;2024/05/28 15:37:00.4739;5;659
   5.8670;2024/05/28 15:37:00.7209;5;659
   6.1130;2024/05/28 15:37:00.9669;5;659
   6.2630;2024/05/28 15:37:01.1169;3;640
   6.3580;2024/05/28 15:37:01.2119;5;659
   6.6050;2024/05/28 15:37:01.4589;5;659
   6.7560;2024/05/28 15:37:01.6099;3;635
   6.8510;2024/05/28 15:37:01.7049;5;659
   7.0970;2024/05/28 15:37:01.9509;5;651
   7.3440;2024/05/28 15:37:02.1979;5;651
   7.4950;2024/05/28 15:37:02.3489;3;642
   7.5900;2024/05/28 15:37:02.4439;5;651
   7.8360;2024/05/28 15:37:02.6899;5;651
   7.9880;2024/05/28 15:37:02.8419;3;647
   8.0830;2024/05/28 15:37:02.9369;5;651
   8.3290;2024/05/28 15:37:03.1829;5;651
   8.4810;2024/05/28 15:37:03.3349;3;627
   8.5750;2024/05/28 15:37:03.4289;5;651
   8.8220;2024/05/28 15:37:03.6759;5;651
   9.0680;2024/05/28 15:37:03.9219;5;651
   9.2200;2024/05/28 15:37:04.0739;3;593
   9.3140;2024/05/28 15:37:04.1679;5;651
   9.5610;2024/05/28 15:37:04.4149;5;651
   9.7110;2024/05/28 15:37:04.5649;3;564
   9.8070;2024/05/28 15:37:04.6609;5;651
  10.0520;2024/05/28 15:37:04.9059;5;651
  10.2990;2024/05/28 15:37:05.1529;5;651
  10.4500;2024/05/28 15:37:05.3039;3;550
