reltime;datetime;iSensor;headPos.x;headPos.y;headPos.z;headPosQ;headYaw;headPitch;headRoll;headRotQ;gazeSrc.x;gazeSrc.y;gazeSrc.z;gazeDir.x;gazeDir.y;gazeDir.z;gazeQ;leftEyeOpen;leftEyeOpenQ;rightEyeOpen;rightEyeOpenQ;pupil;pupilQ

   0.0010;2024/06/05 13:46:18.4069;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.036;0.012;0.206;0.578;0.535;-0.616;0.00;0.00;1.00;0.00;1.00;0.00;0.00
   1.3080;2024/06/05 13:46:19.7139;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.956;-0.214;0.203;1.00;10.00;1.00;10.00;1.00;2.84;1.00
   1.3280;2024/06/05 13:46:19.7339;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.036;0.012;0.206;0.578;0.535;-0.616;0.00;0.00;1.00;0.00;1.00;0.00;0.00
   1.3460;2024/06/05 13:46:19.7519;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.955;-0.219;0.200;1.00;10.00;1.00;9.97;1.00;2.85;1.00
   1.3660;2024/06/05 13:46:19.7719;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.955;-0.217;0.203;1.00;10.00;1.00;9.99;1.00;2.88;1.00
   1.3780;2024/06/05 13:46:19.7839;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.036;0.012;0.206;0.578;0.535;-0.616;0.00;0.00;1.00;0.00;1.00;0.00;0.00
   1.3950;2024/06/05 13:46:19.8009;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.955;-0.215;0.203;0.98;10.00;1.00;9.51;1.00;2.88;0.98
   1.4140;2024/06/05 13:46:19.8199;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.956;-0.215;0.202;0.99;10.00;1.00;9.87;1.00;2.88;0.99
   1.4240;2024/06/05 13:46:19.8299;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.956;-0.212;0.201;0.98;10.00;1.00;9.59;1.00;2.85;0.98
   1.4430;2024/06/05 13:46:19.8489;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.957;-0.213;0.200;0.98;10.00;1.00;9.59;1.00;2.86;0.98
   1.4630;2024/06/05 13:46:19.8689;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.957;-0.215;0.196;0.97;10.00;1.00;9.40;1.00;2.90;0.97
   1.4730;2024/06/05 13:46:19.8789;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.957;-0.215;0.196;0.97;10.00;1.00;9.40;1.00;2.90;0.97
   1.4930;2024/06/05 13:46:19.8989;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.956;-0.216;0.200;1.00;10.00;1.00;10.00;1.00;2.89;1.00
   1.5030;2024/06/05 13:46:19.9089;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.956;-0.216;0.200;1.00;10.00;1.00;10.00;1.00;2.89;1.00
   1.5220;2024/06/05 13:46:19.9279;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.956;-0.214;0.203;0.97;10.00;1.00;9.49;1.00;2.89;0.97
   1.5400;2024/06/05 13:46:19.9459;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.955;-0.215;0.204;1.00;10.00;1.00;9.97;1.00;2.89;1.00
   1.5500;2024/06/05 13:46:19.9559;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.955;-0.214;0.204;0.95;10.00;1.00;9.10;1.00;2.90;0.95
   1.5700;2024/06/05 13:46:19.9759;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.955;-0.214;0.205;0.99;10.00;1.00;9.81;1.00;2.88;0.99
   1.5800;2024/06/05 13:46:19.9859;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.036;0.012;0.206;0.578;0.535;-0.616;0.00;0.00;1.00;0.00;1.00;0.00;0.00
   1.6000;2024/06/05 13:46:20.0059;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.036;0.012;0.206;0.578;0.535;-0.616;0.00;0.00;1.00;0.00;1.00;0.00;0.00
   1.6200;2024/06/05 13:46:20.0259;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.036;0.012;0.206;0.578;0.535;-0.616;0.00;0.00;1.00;0.00;1.00;0.00;0.00
   1.6300;2024/06/05 13:46:20.0359;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.955;-0.214;0.207;0.99;10.00;1.00;9.89;1.00;2.88;0.99
   1.6490;2024/06/05 13:46:20.0549;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.036;0.012;0.206;0.578;0.535;-0.616;0.00;0.00;1.00;0.00;1.00;0.00;0.00
   1.6590;2024/06/05 13:46:20.0649;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.953;-0.216;0.211;0.99;10.00;1.00;9.89;1.00;2.87;0.99
   1.6790;2024/06/05 13:46:20.0849;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.036;0.012;0.206;0.578;0.535;-0.616;0.00;0.00;1.00;0.00;1.00;0.00;0.00
   1.6980;2024/06/05 13:46:20.1039;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.955;-0.211;0.209;0.97;10.00;1.00;9.38;1.00;2.86;0.97
   1.7090;2024/06/05 13:46:20.1149;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.036;0.012;0.206;0.578;0.535;-0.616;0.00;0.00;1.00;0.00;1.00;0.00;0.00
   1.7270;2024/06/05 13:46:20.1329;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.955;-0.211;0.208;1.00;10.00;1.00;10.00;1.00;2.84;1.00
   1.7390;2024/06/05 13:46:20.1449;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.036;0.012;0.206;0.578;0.535;-0.616;0.00;0.00;1.00;0.00;1.00;0.00;0.00
   1.7550;2024/06/05 13:46:20.1609;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.021;0.010;-0.015;0.955;-0.211;0.208;1.00;10.00;1.00;10.00;1.00;2.82;1.00
