reltime,datetime,iSensor,confidence,heart_rate
0.001,2024/06/24 12:48:29.7029,5,1.0,86.0
0.001,2024/06/24 12:48:29.7029,4,0.0,0.0
0.001,2024/06/24 12:48:29.7029,3,1.0,89.0
0.001,2024/06/24 12:48:29.7029,2,0.0,0.0
0.001,2024/06/24 12:48:29.7029,1,0.0,0.0
0.001,2024/06/24 12:48:29.7029,0,0.0,0.0
0.098,2024/06/24 12:48:29.7999,3,1.0,89.0
0.34,2024/06/24 12:48:30.0419,5,1.0,86.0
0.344,2024/06/24 12:48:30.0459,3,1.0,89.0
0.586,2024/06/24 12:48:30.2879,5,1.0,86.0
0.59,2024/06/24 12:48:30.2919,3,1.0,89.0
0.833,2024/06/24 12:48:30.5349,5,1.0,86.0
0.836,2024/06/24 12:48:30.5379,3,1.0,88.0
1.078,2024/06/24 12:48:30.7799,5,1.0,86.0
1.083,2024/06/24 12:48:30.7849,3,1.0,88.0
1.328,2024/06/24 12:48:31.0299,3,1.0,88.0
1.575,2024/06/24 12:48:31.2769,3,1.0,88.0
1.821,2024/06/24 12:48:31.5229,3,1.0,88.0
2.063,2024/06/24 12:48:31.7649,5,1.0,87.0
2.314,2024/06/24 12:48:32.0159,3,1.0,87.0
2.556,2024/06/24 12:48:32.2579,5,1.0,87.0
2.806,2024/06/24 12:48:32.5079,3,1.0,86.0
3.049,2024/06/24 12:48:32.7509,5,1.0,88.0
3.299,2024/06/24 12:48:33.0009,3,1.0,86.0
3.541,2024/06/24 12:48:33.2429,5,1.0,88.0
3.545,2024/06/24 12:48:33.2469,3,1.0,86.0
3.788,2024/06/24 12:48:33.4899,5,1.0,88.0
3.792,2024/06/24 12:48:33.4939,3,1.0,86.0
4.034,2024/06/24 12:48:33.7359,5,1.0,88.0
4.038,2024/06/24 12:48:33.7399,3,1.0,86.0
4.28,2024/06/24 12:48:33.9819,5,1.0,88.0
4.284,2024/06/24 12:48:33.9859,3,1.0,86.0
4.53,2024/06/24 12:48:34.2319,3,1.0,86.0
4.773,2024/06/24 12:48:34.4749,5,1.0,87.0
4.776,2024/06/24 12:48:34.4779,3,1.0,86.0
5.022,2024/06/24 12:48:34.7239,3,1.0,85.0
5.266,2024/06/24 12:48:34.9679,5,1.0,87.0
5.515,2024/06/24 12:48:35.2169,3,1.0,85.0
5.757,2024/06/24 12:48:35.4589,5,1.0,87.0
6.008,2024/06/24 12:48:35.7099,3,1.0,86.0
6.25,2024/06/24 12:48:35.9519,5,1.0,87.0
6.5,2024/06/24 12:48:36.2019,3,1.0,86.0
6.743,2024/06/24 12:48:36.4449,5,1.0,87.0
6.747,2024/06/24 12:48:36.4489,3,1.0,86.0
6.989,2024/06/24 12:48:36.6909,5,1.0,87.0
6.993,2024/06/24 12:48:36.6949,3,1.0,86.0
7.237,2024/06/24 12:48:36.9389,5,1.0,87.0
7.239,2024/06/24 12:48:36.9409,3,1.0,86.0
7.482,2024/06/24 12:48:37.1839,5,1.0,87.0
7.486,2024/06/24 12:48:37.1879,3,1.0,86.0
7.728,2024/06/24 12:48:37.4299,5,1.0,86.0
7.732,2024/06/24 12:48:37.4339,3,1.0,87.0
7.974,2024/06/24 12:48:37.6759,5,1.0,86.0
7.978,2024/06/24 12:48:37.6799,3,1.0,87.0
8.224,2024/06/24 12:48:37.9259,3,1.0,87.0
8.467,2024/06/24 12:48:38.1689,5,1.0,86.0
8.717,2024/06/24 12:48:38.4189,3,1.0,87.0
8.96,2024/06/24 12:48:38.6619,5,1.0,85.0
9.209,2024/06/24 12:48:38.9109,3,1.0,88.0
9.452,2024/06/24 12:48:39.1539,5,1.0,85.0
9.698,2024/06/24 12:48:39.3999,5,1.0,85.0
9.702,2024/06/24 12:48:39.4039,3,1.0,88.0
9.944,2024/06/24 12:48:39.6459,5,1.0,85.0
10.191,2024/06/24 12:48:39.8929,5,1.0,85.0
10.195,2024/06/24 12:48:39.8969,3,1.0,88.0
10.437,2024/06/24 12:48:40.1389,5,1.0,85.0
10.441,2024/06/24 12:48:40.1429,3,1.0,89.0
10.683,2024/06/24 12:48:40.3849,5,1.0,85.0
10.687,2024/06/24 12:48:40.3889,3,1.0,89.0
10.93,2024/06/24 12:48:40.6319,5,1.0,85.0
10.934,2024/06/24 12:48:40.6359,3,1.0,89.0
11.176,2024/06/24 12:48:40.8779,5,1.0,85.0
11.422,2024/06/24 12:48:41.1239,5,1.0,85.0
11.426,2024/06/24 12:48:41.1279,3,1.0,89.0
11.669,2024/06/24 12:48:41.3709,5,1.0,85.0
11.672,2024/06/24 12:48:41.3739,3,1.0,89.0
11.915,2024/06/24 12:48:41.6169,5,1.0,85.0
12.161,2024/06/24 12:48:41.8629,5,1.0,85.0
12.164,2024/06/24 12:48:41.8659,3,1.0,89.0
12.408,2024/06/24 12:48:42.1099,5,1.0,85.0
12.411,2024/06/24 12:48:42.1129,3,1.0,89.0
12.653,2024/06/24 12:48:42.3549,5,1.0,85.0
12.657,2024/06/24 12:48:42.3589,3,1.0,89.0
12.899,2024/06/24 12:48:42.6009,5,1.0,85.0
12.903,2024/06/24 12:48:42.6049,3,1.0,89.0
13.146,2024/06/24 12:48:42.8479,5,1.0,85.0
13.392,2024/06/24 12:48:43.0939,5,1.0,85.0
13.396,2024/06/24 12:48:43.0979,3,1.0,88.0
13.638,2024/06/24 12:48:43.3399,5,1.0,85.0
13.642,2024/06/24 12:48:43.3439,3,1.0,88.0
13.885,2024/06/24 12:48:43.5869,5,1.0,86.0
13.889,2024/06/24 12:48:43.5909,3,1.0,87.0
14.131,2024/06/24 12:48:43.8329,5,1.0,86.0
14.135,2024/06/24 12:48:43.8369,3,1.0,87.0
14.377,2024/06/24 12:48:44.0789,5,1.0,86.0
14.381,2024/06/24 12:48:44.0829,3,1.0,87.0
14.624,2024/06/24 12:48:44.3259,5,1.0,86.0
14.628,2024/06/24 12:48:44.3299,3,1.0,87.0
14.87,2024/06/24 12:48:44.5719,5,1.0,89.0
14.873,2024/06/24 12:48:44.5749,3,1.0,87.0
15.116,2024/06/24 12:48:44.8179,5,1.0,89.0
15.119,2024/06/24 12:48:44.8209,3,1.0,87.0
15.363,2024/06/24 12:48:45.0649,5,1.0,89.0
15.366,2024/06/24 12:48:45.0679,3,1.0,87.0
15.609,2024/06/24 12:48:45.3109,5,1.0,89.0
15.612,2024/06/24 12:48:45.3139,3,1.0,86.0
15.855,2024/06/24 12:48:45.5569,5,1.0,90.0
15.858,2024/06/24 12:48:45.5599,3,1.0,86.0
16.105,2024/06/24 12:48:45.8069,3,1.0,85.0
16.347,2024/06/24 12:48:46.0489,5,1.0,90.0
16.351,2024/06/24 12:48:46.0529,3,1.0,85.0
16.597,2024/06/24 12:48:46.2989,3,1.0,85.0
16.84,2024/06/24 12:48:46.5419,5,1.0,90.0
17.09,2024/06/24 12:48:46.7919,3,1.0,85.0
17.332,2024/06/24 12:48:47.0339,5,1.0,90.0
17.583,2024/06/24 12:48:47.2849,3,1.0,84.0
17.825,2024/06/24 12:48:47.5269,5,1.0,90.0
18.075,2024/06/24 12:48:47.7769,3,1.0,84.0
18.318,2024/06/24 12:48:48.0199,5,1.0,90.0
18.321,2024/06/24 12:48:48.0229,3,1.0,84.0
18.564,2024/06/24 12:48:48.2659,5,1.0,90.0
18.568,2024/06/24 12:48:48.2699,3,1.0,84.0
18.811,2024/06/24 12:48:48.5129,5,1.0,90.0
18.814,2024/06/24 12:48:48.5159,3,1.0,84.0
19.057,2024/06/24 12:48:48.7589,5,1.0,90.0
19.06,2024/06/24 12:48:48.7619,3,1.0,84.0
19.306,2024/06/24 12:48:49.0079,3,1.0,84.0
19.55,2024/06/24 12:48:49.2519,5,1.0,90.0
19.553,2024/06/24 12:48:49.2549,3,1.0,84.0
19.799,2024/06/24 12:48:49.5009,3,1.0,84.0
20.042,2024/06/24 12:48:49.7439,5,1.0,88.0
20.292,2024/06/24 12:48:49.9939,3,1.0,84.0
20.784,2024/06/24 12:48:50.4859,3,1.0,83.0
21.027,2024/06/24 12:48:50.7289,5,1.0,85.0
21.519,2024/06/24 12:48:51.2209,5,1.0,85.0
21.523,2024/06/24 12:48:51.2249,3,1.0,84.0
21.766,2024/06/24 12:48:51.4679,5,1.0,84.0
21.77,2024/06/24 12:48:51.4719,3,1.0,84.0
22.012,2024/06/24 12:48:51.7139,5,1.0,84.0
22.015,2024/06/24 12:48:51.7169,3,1.0,84.0
22.258,2024/06/24 12:48:51.9599,5,1.0,84.0
22.261,2024/06/24 12:48:51.9629,3,1.0,84.0
22.508,2024/06/24 12:48:52.2099,3,1.0,84.0
22.751,2024/06/24 12:48:52.4529,5,1.0,83.0
22.754,2024/06/24 12:48:52.4559,3,1.0,84.0
23.0,2024/06/24 12:48:52.7019,3,1.0,84.0
23.244,2024/06/24 12:48:52.9459,5,1.0,83.0
23.247,2024/06/24 12:48:52.9489,3,1.0,84.0
23.493,2024/06/24 12:48:53.1949,3,1.0,84.0
23.735,2024/06/24 12:48:53.4369,5,1.0,83.0
23.986,2024/06/24 12:48:53.6879,3,1.0,84.0
24.228,2024/06/24 12:48:53.9299,5,1.0,83.0
24.478,2024/06/24 12:48:54.1799,3,1.0,84.0
24.721,2024/06/24 12:48:54.4229,5,1.0,83.0
24.725,2024/06/24 12:48:54.4269,3,1.0,85.0
24.967,2024/06/24 12:48:54.6689,5,1.0,83.0
24.971,2024/06/24 12:48:54.6729,3,1.0,85.0
25.213,2024/06/24 12:48:54.9149,5,1.0,83.0
25.217,2024/06/24 12:48:54.9189,3,1.0,85.0
25.46,2024/06/24 12:48:55.1619,5,1.0,83.0
25.464,2024/06/24 12:48:55.1659,3,1.0,85.0
25.952,2024/06/24 12:48:55.6539,5,1.0,83.0
25.955,2024/06/24 12:48:55.6569,3,1.0,85.0
