reltime,datetime,iSensor,ibi
0.001,2024/06/05 10:44:55.9209,5,856
0.001,2024/06/05 10:44:55.9209,4,0
0.001,2024/06/05 10:44:55.9209,3,971
0.001,2024/06/05 10:44:55.9209,2,0
0.001,2024/06/05 10:44:55.9209,1,0
0.001,2024/06/05 10:44:55.9209,0,0
0.058,2024/06/05 10:44:55.9779,3,968
0.151,2024/06/05 10:44:56.0709,5,856
0.397,2024/06/05 10:44:56.3169,5,856
0.551,2024/06/05 10:44:56.4709,3,922
0.643,2024/06/05 10:44:56.5629,5,856
0.889,2024/06/05 10:44:56.8089,5,856
1.136,2024/06/05 10:44:57.0559,5,869
1.29,2024/06/05 10:44:57.2099,3,889
1.382,2024/06/05 10:44:57.3019,5,869
1.628,2024/06/05 10:44:57.5479,5,869
2.275,2024/06/05 10:44:58.1949,3,813
2.367,2024/06/05 10:44:58.2869,5,882
2.614,2024/06/05 10:44:58.5339,5,882
2.86,2024/06/05 10:44:58.7799,5,882
3.014,2024/06/05 10:44:58.9339,3,886
3.107,2024/06/05 10:44:59.0269,5,908
3.352,2024/06/05 10:44:59.2719,5,908
3.599,2024/06/05 10:44:59.5189,5,908
3.845,2024/06/05 10:44:59.7649,5,908
3.999,2024/06/05 10:44:59.9189,3,890
4.092,2024/06/05 10:45:00.0119,5,908
4.337,2024/06/05 10:45:00.2569,5,908
4.584,2024/06/05 10:45:00.5039,5,908
4.984,2024/06/05 10:45:00.9039,3,850
5.323,2024/06/05 10:45:01.2429,5,923
5.568,2024/06/05 10:45:01.4879,5,923
5.723,2024/06/05 10:45:01.6429,3,965
5.815,2024/06/05 10:45:01.7349,5,923
6.062,2024/06/05 10:45:01.9819,5,923
6.307,2024/06/05 10:45:02.2269,5,923
6.554,2024/06/05 10:45:02.4739,5,923
6.707,2024/06/05 10:45:02.6269,3,840
6.8,2024/06/05 10:45:02.7199,5,923
7.047,2024/06/05 10:45:02.9669,5,923
7.293,2024/06/05 10:45:03.2129,5,923
7.447,2024/06/05 10:45:03.3669,3,846
7.539,2024/06/05 10:45:03.4589,5,923
7.785,2024/06/05 10:45:03.7049,5,923
8.031,2024/06/05 10:45:03.9509,5,923
8.432,2024/06/05 10:45:04.3519,3,914
9.263,2024/06/05 10:45:05.1829,5,908
9.417,2024/06/05 10:45:05.3369,3,810
10.002,2024/06/05 10:45:05.9219,5,908
10.248,2024/06/05 10:45:06.1679,5,907
10.402,2024/06/05 10:45:06.3219,3,936
10.494,2024/06/05 10:45:06.4139,5,908
10.741,2024/06/05 10:45:06.6609,5,908
10.987,2024/06/05 10:45:06.9069,5,908
11.14,2024/06/05 10:45:07.0599,3,944
11.234,2024/06/05 10:45:07.1539,5,908
11.479,2024/06/05 10:45:07.3989,5,908
11.726,2024/06/05 10:45:07.6459,5,908
11.972,2024/06/05 10:45:07.8919,5,908
12.126,2024/06/05 10:45:08.0459,3,859
12.218,2024/06/05 10:45:08.1379,5,908
12.464,2024/06/05 10:45:08.3839,5,908
12.71,2024/06/05 10:45:08.6299,5,908
12.96,2024/06/05 10:45:08.8799,5,908
13.11,2024/06/05 10:45:09.0299,3,945
13.203,2024/06/05 10:45:09.1229,5,908
13.45,2024/06/05 10:45:09.3699,5,908
13.696,2024/06/05 10:45:09.6159,5,908
13.942,2024/06/05 10:45:09.8619,5,908
14.095,2024/06/05 10:45:10.0149,3,964
14.188,2024/06/05 10:45:10.1079,5,908
14.435,2024/06/05 10:45:10.3549,5,908
14.681,2024/06/05 10:45:10.6009,5,908
14.835,2024/06/05 10:45:10.7549,3,872
