reltime,datetime,iSensor,ibi
0.001,2024/06/20 09:41:01.8509,5,869
0.001,2024/06/20 09:41:01.8509,4,0
0.001,2024/06/20 09:41:01.8509,3,755
0.001,2024/06/20 09:41:01.8509,2,0
0.001,2024/06/20 09:41:01.8509,1,0
0.001,2024/06/20 09:41:01.8509,0,0
0.396,2024/06/20 09:41:02.2459,5,882
0.642,2024/06/20 09:41:02.4919,5,882
0.884,2024/06/20 09:41:02.7339,3,813
0.889,2024/06/20 09:41:02.7389,5,882
1.135,2024/06/20 09:41:02.9849,5,882
1.382,2024/06/20 09:41:03.2319,5,908
1.628,2024/06/20 09:41:03.4779,5,908
1.869,2024/06/20 09:41:03.7189,3,898
1.874,2024/06/20 09:41:03.7239,5,908
2.121,2024/06/20 09:41:03.9709,5,908
2.854,2024/06/20 09:41:04.7039,3,857
2.859,2024/06/20 09:41:04.7089,5,908
3.106,2024/06/20 09:41:04.9559,5,908
3.352,2024/06/20 09:41:05.2019,5,908
3.598,2024/06/20 09:41:05.4479,5,908
3.839,2024/06/20 09:41:05.6889,3,952
3.844,2024/06/20 09:41:05.6939,5,908
4.09,2024/06/20 09:41:05.9399,5,908
4.337,2024/06/20 09:41:06.1869,5,908
4.583,2024/06/20 09:41:06.4329,5,908
4.824,2024/06/20 09:41:06.6739,3,999
4.829,2024/06/20 09:41:06.6789,5,908
5.076,2024/06/20 09:41:06.9259,5,908
5.322,2024/06/20 09:41:07.1719,5,908
5.563,2024/06/20 09:41:07.4129,3,943
5.568,2024/06/20 09:41:07.4179,5,908
5.815,2024/06/20 09:41:07.6649,5,908
6.548,2024/06/20 09:41:08.3979,3,940
6.553,2024/06/20 09:41:08.4029,5,938
7.779,2024/06/20 09:41:09.6289,3,982
8.271,2024/06/20 09:41:10.1209,3,942
8.77,2024/06/20 09:41:10.6199,5,938
9.016,2024/06/20 09:41:10.8659,5,938
9.257,2024/06/20 09:41:11.1069,3,854
9.262,2024/06/20 09:41:11.1119,5,952
9.996,2024/06/20 09:41:11.8459,3,805
10.981,2024/06/20 09:41:12.8309,3,904
11.967,2024/06/20 09:41:13.8169,3,918
11.972,2024/06/20 09:41:13.8219,5,938
12.217,2024/06/20 09:41:14.0669,5,938
12.464,2024/06/20 09:41:14.3139,5,938
12.705,2024/06/20 09:41:14.5549,3,815
13.69,2024/06/20 09:41:15.5399,3,941
14.675,2024/06/20 09:41:16.5249,3,977
15.173,2024/06/20 09:41:17.0229,5,938
15.419,2024/06/20 09:41:17.2689,5,952
15.661,2024/06/20 09:41:17.5109,3,876
