reltime,datetime,iSensor,headPos.x,headPos.y,headPos.z,headPosQ,headYaw,headPitch,headRoll,headRotQ,gazeSrc.x,gazeSrc.y,gazeSrc.z,gazeDir.x,gazeDir.y,gazeDir.z,gazeQ,leftEyeOpen,leftEyeOpenQ,rightEyeOpen,rightEyeOpenQ,pupil,pupilQ
0.001,2024/06/05 10:44:55.9209,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.96,-0.249,0.126,0.93,10.0,1.0,8.55,1.0,2.81,0.93
1.271,2024/06/05 10:44:57.1909,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.93,-0.259,0.259,0.99,10.0,1.0,9.71,1.0,2.81,0.99
1.29,2024/06/05 10:44:57.2099,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.931,-0.265,0.253,1.0,10.0,1.0,10.0,1.0,2.79,1.0
1.299,2024/06/05 10:44:57.2189,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.931,-0.265,0.253,1.0,10.0,1.0,10.0,1.0,2.79,1.0
1.319,2024/06/05 10:44:57.2389,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.935,-0.262,0.241,1.0,10.0,1.0,10.0,1.0,2.81,1.0
1.339,2024/06/05 10:44:57.2589,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.935,-0.262,0.239,1.0,10.0,1.0,10.0,1.0,2.8,1.0
1.349,2024/06/05 10:44:57.2689,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.935,-0.263,0.238,0.98,10.0,1.0,9.66,1.0,2.81,0.98
1.369,2024/06/05 10:44:57.2889,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.935,-0.263,0.238,1.0,10.0,1.0,10.0,1.0,2.83,1.0
1.389,2024/06/05 10:44:57.3089,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.932,-0.262,0.25,1.0,10.0,1.0,10.0,1.0,2.79,1.0
1.398,2024/06/05 10:44:57.3179,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.932,-0.262,0.25,1.0,10.0,1.0,10.0,1.0,2.79,1.0
1.417,2024/06/05 10:44:57.3369,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.933,-0.261,0.249,0.98,10.0,1.0,9.69,1.0,2.81,0.98
1.427,2024/06/05 10:44:57.3469,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.933,-0.262,0.246,1.0,10.0,1.0,10.0,1.0,2.81,1.0
1.446,2024/06/05 10:44:57.3659,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.933,-0.263,0.247,1.0,10.0,1.0,10.0,1.0,2.81,1.0
1.456,2024/06/05 10:44:57.3759,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.935,-0.263,0.24,1.0,10.0,1.0,10.0,1.0,2.78,1.0
1.475,2024/06/05 10:44:57.3949,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.935,-0.264,0.238,1.0,10.0,1.0,10.0,1.0,2.8,1.0
1.495,2024/06/05 10:44:57.4149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.935,-0.266,0.235,1.0,10.0,1.0,10.0,1.0,2.82,1.0
1.505,2024/06/05 10:44:57.4249,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.935,-0.266,0.235,1.0,10.0,1.0,10.0,1.0,2.83,1.0
1.525,2024/06/05 10:44:57.4449,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.935,-0.265,0.238,1.0,10.0,1.0,10.0,1.0,2.82,1.0
1.535,2024/06/05 10:44:57.4549,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.935,-0.265,0.238,1.0,10.0,1.0,10.0,1.0,2.82,1.0
1.555,2024/06/05 10:44:57.4749,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.936,-0.263,0.236,1.0,10.0,1.0,10.0,1.0,2.82,1.0
1.574,2024/06/05 10:44:57.4939,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.937,-0.261,0.231,1.0,10.0,1.0,9.91,1.0,2.83,1.0
1.584,2024/06/05 10:44:57.5039,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.952,-0.228,0.203,0.97,10.0,1.0,9.48,1.0,2.84,0.97
1.604,2024/06/05 10:44:57.5239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.952,-0.228,0.203,0.97,10.0,1.0,9.48,1.0,2.84,0.97
1.614,2024/06/05 10:44:57.5339,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.955,-0.23,0.187,1.0,10.0,1.0,10.0,1.0,2.85,1.0
1.633,2024/06/05 10:44:57.5529,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.956,-0.23,0.184,0.99,10.0,1.0,9.83,1.0,2.85,0.99
1.643,2024/06/05 10:44:57.5629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.955,-0.232,0.184,1.0,10.0,1.0,10.0,1.0,2.87,1.0
1.662,2024/06/05 10:44:57.5819,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.957,-0.247,0.153,0.98,10.0,1.0,9.57,1.0,2.88,0.98
1.681,2024/06/05 10:44:57.6009,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.957,-0.247,0.153,0.95,10.0,1.0,9.09,1.0,2.87,0.95
1.691,2024/06/05 10:44:57.6109,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.955,-0.252,0.156,0.99,10.0,1.0,9.76,1.0,2.87,0.99
1.711,2024/06/05 10:44:57.6309,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.955,-0.253,0.155,0.95,10.0,1.0,9.04,1.0,2.88,0.95
1.72,2024/06/05 10:44:57.6399,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.956,-0.252,0.152,1.0,10.0,1.0,9.94,1.0,2.89,1.0
1.74,2024/06/05 10:44:57.6599,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.957,-0.252,0.146,0.99,10.0,1.0,9.8,1.0,2.9,0.99
1.76,2024/06/05 10:44:57.6799,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.957,-0.25,0.147,0.98,10.0,1.0,9.59,1.0,2.95,0.98
1.77,2024/06/05 10:44:57.6899,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.957,-0.25,0.147,0.98,10.0,1.0,9.59,1.0,2.95,0.98
1.79,2024/06/05 10:44:57.7099,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.957,-0.252,0.142,0.97,10.0,1.0,9.39,1.0,2.94,0.97
1.8,2024/06/05 10:44:57.7199,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.957,-0.252,0.142,0.97,10.0,1.0,9.39,1.0,2.94,0.97
1.82,2024/06/05 10:44:57.7399,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.957,-0.251,0.145,0.98,10.0,1.0,9.68,1.0,2.95,0.98
1.839,2024/06/05 10:44:57.7589,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.957,-0.251,0.143,1.0,10.0,1.0,9.97,1.0,2.97,1.0
1.849,2024/06/05 10:44:57.7689,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.957,-0.256,0.138,0.96,10.0,1.0,9.23,1.0,2.98,0.96
1.868,2024/06/05 10:44:57.7879,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.956,-0.259,0.136,0.96,10.0,1.0,9.24,1.0,2.99,0.96
1.878,2024/06/05 10:44:57.7979,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.957,-0.257,0.137,0.96,10.0,1.0,9.24,1.0,2.99,0.96
1.898,2024/06/05 10:44:57.8179,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.957,-0.257,0.137,1.0,10.0,1.0,9.93,1.0,3.03,1.0
1.917,2024/06/05 10:44:57.8369,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.957,-0.257,0.137,0.99,10.0,1.0,9.82,1.0,3.05,0.99
1.927,2024/06/05 10:44:57.8469,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.957,-0.256,0.137,0.98,10.0,1.0,9.65,1.0,3.06,0.98
1.947,2024/06/05 10:44:57.8669,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.957,-0.256,0.137,1.0,10.0,1.0,10.0,1.0,3.05,1.0
1.967,2024/06/05 10:44:57.8869,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.957,-0.257,0.138,0.98,10.0,1.0,9.52,1.0,3.07,0.98
1.977,2024/06/05 10:44:57.8969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.957,-0.257,0.138,0.98,10.0,1.0,9.52,1.0,3.09,0.98
1.996,2024/06/05 10:44:57.9159,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.957,-0.256,0.135,0.94,10.0,1.0,8.81,1.0,3.1,0.94
2.005,2024/06/05 10:44:57.9249,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.957,-0.256,0.135,0.94,10.0,1.0,8.81,1.0,3.1,0.94
2.025,2024/06/05 10:44:57.9449,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.956,-0.259,0.136,0.98,10.0,1.0,9.63,1.0,3.1,0.98
2.045,2024/06/05 10:44:57.9649,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.957,-0.259,0.134,0.98,10.0,1.0,9.5,1.0,3.11,0.98
2.055,2024/06/05 10:44:57.9749,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.956,-0.259,0.135,0.96,10.0,1.0,9.12,1.0,3.11,0.96
2.075,2024/06/05 10:44:57.9949,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.956,-0.259,0.136,0.96,10.0,1.0,9.12,1.0,3.1,0.96
2.093,2024/06/05 10:44:58.0129,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.956,-0.26,0.137,0.99,10.0,1.0,9.77,1.0,3.09,0.99
2.103,2024/06/05 10:44:58.0229,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.956,-0.26,0.137,0.99,10.0,1.0,9.77,1.0,3.09,0.99
2.123,2024/06/05 10:44:58.0429,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.937,-0.288,0.199,1.0,10.0,1.0,10.0,1.0,3.08,1.0
2.143,2024/06/05 10:44:58.0629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.937,-0.288,0.199,1.0,10.0,1.0,10.0,1.0,3.08,1.0
2.153,2024/06/05 10:44:58.0729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.936,-0.288,0.202,1.0,10.0,1.0,9.97,1.0,3.05,1.0
2.171,2024/06/05 10:44:58.0909,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.934,-0.285,0.214,1.0,10.0,1.0,10.0,1.0,3.06,1.0
2.18,2024/06/05 10:44:58.0999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.934,-0.281,0.22,1.0,10.0,1.0,10.0,1.0,3.06,1.0
2.199,2024/06/05 10:44:58.1189,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.931,-0.28,0.233,0.96,10.0,1.0,9.23,1.0,3.06,0.96
2.209,2024/06/05 10:44:58.1289,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.932,-0.276,0.234,0.96,10.0,1.0,9.23,1.0,3.06,0.96
2.227,2024/06/05 10:44:58.1469,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.933,-0.279,0.228,0.99,10.0,1.0,9.88,1.0,3.03,0.99
2.247,2024/06/05 10:44:58.1669,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.932,-0.28,0.231,0.98,10.0,1.0,9.69,1.0,3.06,0.98
2.257,2024/06/05 10:44:58.1769,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.93,-0.285,0.233,1.0,10.0,1.0,10.0,1.0,3.04,1.0
2.277,2024/06/05 10:44:58.1969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.929,-0.287,0.235,0.98,10.0,1.0,9.65,1.0,3.04,0.98
2.296,2024/06/05 10:44:58.2159,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.926,-0.29,0.24,0.98,10.0,1.0,9.65,1.0,3.02,0.98
2.306,2024/06/05 10:44:58.2259,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.926,-0.29,0.24,0.98,10.0,1.0,9.65,1.0,3.02,0.98
2.325,2024/06/05 10:44:58.2449,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.923,-0.294,0.248,0.95,10.0,1.0,9.02,1.0,3.02,0.95
2.335,2024/06/05 10:44:58.2549,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.923,-0.294,0.248,0.95,10.0,1.0,9.02,1.0,3.02,0.95
2.355,2024/06/05 10:44:58.2749,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.923,-0.293,0.251,1.0,10.0,1.0,10.0,1.0,3.01,1.0
2.375,2024/06/05 10:44:58.2949,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.924,-0.293,0.245,1.0,10.0,1.0,10.0,1.0,2.99,1.0
2.384,2024/06/05 10:44:58.3039,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.925,-0.29,0.245,1.0,10.0,1.0,10.0,1.0,2.99,1.0
2.402,2024/06/05 10:44:58.3219,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.927,-0.286,0.244,1.0,10.0,1.0,10.0,1.0,3.0,1.0
2.422,2024/06/05 10:44:58.3419,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.927,-0.288,0.24,1.0,10.0,1.0,10.0,1.0,3.02,1.0
2.432,2024/06/05 10:44:58.3519,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.927,-0.287,0.242,1.0,10.0,1.0,10.0,1.0,2.99,1.0
2.451,2024/06/05 10:44:58.3709,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.927,-0.287,0.244,1.0,10.0,1.0,10.0,1.0,3.0,1.0
2.47,2024/06/05 10:44:58.3899,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.927,-0.285,0.246,1.0,10.0,1.0,10.0,1.0,3.0,1.0
2.48,2024/06/05 10:44:58.3999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.926,-0.285,0.248,1.0,10.0,1.0,10.0,1.0,3.0,1.0
2.498,2024/06/05 10:44:58.4179,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.926,-0.282,0.25,1.0,10.0,1.0,10.0,1.0,3.01,1.0
2.517,2024/06/05 10:44:58.4369,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.925,-0.284,0.254,1.0,10.0,1.0,10.0,1.0,2.99,1.0
2.527,2024/06/05 10:44:58.4469,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.926,-0.281,0.253,0.99,10.0,1.0,9.78,1.0,3.0,0.99
2.547,2024/06/05 10:44:58.4669,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.925,-0.282,0.254,1.0,10.0,1.0,10.0,1.0,3.0,1.0
2.557,2024/06/05 10:44:58.4769,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.926,-0.278,0.253,1.0,10.0,1.0,9.95,1.0,3.0,1.0
2.576,2024/06/05 10:44:58.4959,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.926,-0.278,0.253,1.0,10.0,1.0,9.95,1.0,3.0,1.0
2.595,2024/06/05 10:44:58.5149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.926,-0.275,0.26,1.0,10.0,1.0,10.0,1.0,3.0,1.0
2.605,2024/06/05 10:44:58.5249,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.926,-0.275,0.26,1.0,10.0,1.0,10.0,1.0,3.0,1.0
2.625,2024/06/05 10:44:58.5449,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.924,-0.279,0.262,1.0,10.0,1.0,10.0,1.0,2.99,1.0
2.635,2024/06/05 10:44:58.5549,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.925,-0.279,0.257,1.0,10.0,1.0,10.0,1.0,2.99,1.0
2.655,2024/06/05 10:44:58.5749,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.015,0.926,-0.278,0.256,1.0,10.0,1.0,10.0,1.0,3.01,1.0
