reltime,datetime,iSensor,headPos.x,headPos.y,headPos.z,headPosQ,headYaw,headPitch,headRoll,headRotQ,gazeSrc.x,gazeSrc.y,gazeSrc.z,gazeDir.x,gazeDir.y,gazeDir.z,gazeQ,leftEyeOpen,leftEyeOpenQ,rightEyeOpen,rightEyeOpenQ,pupil,pupilQ
0.001,2024/06/20 09:41:01.8509,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.957,-0.245,0.155,1.0,10.0,1.0,10.0,1.0,1.44,1.0
1.291,2024/06/20 09:41:03.1409,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.965,-0.253,0.062,1.0,10.0,1.0,9.95,1.0,1.45,1.0
1.301,2024/06/20 09:41:03.1509,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.964,-0.255,0.069,1.0,10.0,1.0,10.0,1.0,1.46,1.0
1.32,2024/06/20 09:41:03.1699,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.965,-0.253,0.069,1.0,10.0,1.0,10.0,1.0,1.46,1.0
1.33,2024/06/20 09:41:03.1799,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.965,-0.253,0.066,1.0,10.0,1.0,10.0,1.0,1.46,1.0
1.35,2024/06/20 09:41:03.1999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.965,-0.256,0.063,0.96,10.0,1.0,9.23,1.0,1.46,0.96
1.359,2024/06/20 09:41:03.2089,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.965,-0.256,0.063,0.96,10.0,1.0,9.23,1.0,1.46,0.96
1.379,2024/06/20 09:41:03.2289,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.966,-0.255,0.051,1.0,10.0,1.0,10.0,1.0,1.46,1.0
1.389,2024/06/20 09:41:03.2389,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.966,-0.255,0.051,1.0,10.0,1.0,10.0,1.0,1.46,1.0
1.408,2024/06/20 09:41:03.2579,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.966,-0.254,0.045,1.0,10.0,1.0,10.0,1.0,1.44,1.0
1.426,2024/06/20 09:41:03.2759,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.966,-0.254,0.045,1.0,10.0,1.0,10.0,1.0,1.44,1.0
1.436,2024/06/20 09:41:03.2859,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.966,-0.253,0.045,0.97,10.0,1.0,9.5,1.0,1.45,0.97
1.455,2024/06/20 09:41:03.3049,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.966,-0.253,0.048,1.0,10.0,1.0,10.0,1.0,1.45,1.0
1.465,2024/06/20 09:41:03.3149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.966,-0.254,0.049,0.97,10.0,1.0,9.35,1.0,1.46,0.97
1.485,2024/06/20 09:41:03.3349,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.967,-0.251,0.051,1.0,10.0,1.0,10.0,1.0,1.45,1.0
1.495,2024/06/20 09:41:03.3449,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.966,-0.255,0.052,0.98,10.0,1.0,9.52,1.0,1.44,0.98
1.515,2024/06/20 09:41:03.3649,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.965,-0.258,0.053,1.0,10.0,1.0,10.0,1.0,1.45,1.0
1.535,2024/06/20 09:41:03.3849,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.965,-0.259,0.047,1.0,10.0,1.0,10.0,1.0,1.45,1.0
1.544,2024/06/20 09:41:03.3939,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.965,-0.257,0.048,1.0,10.0,1.0,9.96,1.0,1.45,1.0
1.564,2024/06/20 09:41:03.4139,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.965,-0.256,0.048,0.99,10.0,1.0,9.84,1.0,1.45,0.99
1.574,2024/06/20 09:41:03.4239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.965,-0.256,0.049,1.0,10.0,1.0,9.9,1.0,1.45,1.0
1.594,2024/06/20 09:41:03.4439,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.965,-0.257,0.049,0.97,10.0,1.0,9.37,1.0,1.45,0.97
1.614,2024/06/20 09:41:03.4639,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.965,-0.257,0.044,0.97,10.0,1.0,9.45,1.0,1.44,0.97
1.624,2024/06/20 09:41:03.4739,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.965,-0.257,0.044,0.97,10.0,1.0,9.45,1.0,1.44,0.97
1.644,2024/06/20 09:41:03.4939,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.966,-0.257,0.036,0.97,10.0,1.0,9.47,1.0,1.44,0.97
1.653,2024/06/20 09:41:03.5029,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.966,-0.257,0.036,0.97,10.0,1.0,9.47,1.0,1.44,0.97
1.673,2024/06/20 09:41:03.5229,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.965,-0.26,0.041,0.9,10.0,1.0,7.96,1.0,1.78,1.0
1.692,2024/06/20 09:41:03.5419,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.965,-0.26,0.041,0.9,10.0,1.0,7.96,1.0,1.78,1.0
1.702,2024/06/20 09:41:03.5519,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.963,-0.265,0.045,0.99,10.0,1.0,9.73,1.0,1.44,0.99
1.722,2024/06/20 09:41:03.5719,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.962,-0.268,0.047,0.99,10.0,1.0,9.81,1.0,1.44,0.99
1.731,2024/06/20 09:41:03.5809,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.962,-0.267,0.052,0.99,10.0,1.0,9.89,1.0,1.44,0.99
1.751,2024/06/20 09:41:03.6009,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.962,-0.269,0.048,1.0,10.0,1.0,10.0,1.0,1.44,1.0
1.771,2024/06/20 09:41:03.6209,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.013,-0.018,0.963,-0.268,0.041,0.99,10.0,1.0,9.8,1.0,1.44,0.99
