reltime;datetime;iSensor;confidence;heart_rate

   0.0010;2024/06/20 09:41:01.8509;5;1.00;69.0
   0.0010;2024/06/20 09:41:01.8509;4;0.00;0.0
   0.0010;2024/06/20 09:41:01.8509;3;1.00;67.0
   0.0010;2024/06/20 09:41:01.8509;2;0.00;0.0
   0.0010;2024/06/20 09:41:01.8509;1;0.00;0.0
   0.0010;2024/06/20 09:41:01.8509;0;0.00;0.0
   0.1500;2024/06/20 09:41:01.9999;5;1.00;69.0
   0.3910;2024/06/20 09:41:02.2409;3;1.00;67.0
   0.3960;2024/06/20 09:41:02.2459;5;1.00;68.0
   0.6370;2024/06/20 09:41:02.4869;3;1.00;67.0
   0.6420;2024/06/20 09:41:02.4919;5;1.00;68.0
   0.8840;2024/06/20 09:41:02.7339;3;1.00;68.0
   0.8890;2024/06/20 09:41:02.7389;5;1.00;68.0
   1.1300;2024/06/20 09:41:02.9799;3;1.00;68.0
   1.1350;2024/06/20 09:41:02.9849;5;1.00;68.0
   1.3770;2024/06/20 09:41:03.2269;3;1.00;68.0
   1.3820;2024/06/20 09:41:03.2319;5;1.00;66.0
   1.6230;2024/06/20 09:41:03.4729;3;1.00;68.0
   1.6280;2024/06/20 09:41:03.4779;5;1.00;66.0
   1.8690;2024/06/20 09:41:03.7189;3;1.00;69.0
   1.8740;2024/06/20 09:41:03.7239;5;1.00;66.0
   2.1150;2024/06/20 09:41:03.9649;3;1.00;69.0
   2.1210;2024/06/20 09:41:03.9709;5;1.00;66.0
   2.3610;2024/06/20 09:41:04.2109;3;1.00;69.0
   2.6080;2024/06/20 09:41:04.4579;3;1.00;69.0
   2.6130;2024/06/20 09:41:04.4629;5;1.00;66.0
   2.8540;2024/06/20 09:41:04.7039;3;1.00;69.0
   2.8590;2024/06/20 09:41:04.7089;5;1.00;66.0
   3.1000;2024/06/20 09:41:04.9499;3;1.00;69.0
   3.1060;2024/06/20 09:41:04.9559;5;1.00;66.0
   3.3470;2024/06/20 09:41:05.1969;3;1.00;69.0
   3.3520;2024/06/20 09:41:05.2019;5;1.00;66.0
   3.5920;2024/06/20 09:41:05.4419;3;1.00;69.0
   3.5980;2024/06/20 09:41:05.4479;5;1.00;66.0
   3.8390;2024/06/20 09:41:05.6889;3;1.00;69.0
   3.8440;2024/06/20 09:41:05.6939;5;1.00;66.0
   4.0850;2024/06/20 09:41:05.9349;3;1.00;69.0
   4.0900;2024/06/20 09:41:05.9399;5;1.00;66.0
