reltime;datetime;iSensor;ibi

   0.0010;2024/06/05 10:44:55.9209;5;856
   0.0010;2024/06/05 10:44:55.9209;4;0
   0.0010;2024/06/05 10:44:55.9209;3;971
   0.0010;2024/06/05 10:44:55.9209;2;0
   0.0010;2024/06/05 10:44:55.9209;1;0
   0.0010;2024/06/05 10:44:55.9209;0;0
   0.0580;2024/06/05 10:44:55.9779;3;968
   0.1510;2024/06/05 10:44:56.0709;5;856
   0.3970;2024/06/05 10:44:56.3169;5;856
   0.5510;2024/06/05 10:44:56.4709;3;922
   0.6430;2024/06/05 10:44:56.5629;5;856
   0.8890;2024/06/05 10:44:56.8089;5;856
   1.1360;2024/06/05 10:44:57.0559;5;869
   1.2900;2024/06/05 10:44:57.2099;3;889
   1.3820;2024/06/05 10:44:57.3019;5;869
   1.6280;2024/06/05 10:44:57.5479;5;869
   2.2750;2024/06/05 10:44:58.1949;3;813
   2.3670;2024/06/05 10:44:58.2869;5;882
   2.6140;2024/06/05 10:44:58.5339;5;882
   2.8600;2024/06/05 10:44:58.7799;5;882
   3.0140;2024/06/05 10:44:58.9339;3;886
   3.1070;2024/06/05 10:44:59.0269;5;908
   3.3520;2024/06/05 10:44:59.2719;5;908
   3.5990;2024/06/05 10:44:59.5189;5;908
   3.8450;2024/06/05 10:44:59.7649;5;908
   3.9990;2024/06/05 10:44:59.9189;3;890
   4.0920;2024/06/05 10:45:00.0119;5;908
   4.3370;2024/06/05 10:45:00.2569;5;908
   4.5840;2024/06/05 10:45:00.5039;5;908
   4.9840;2024/06/05 10:45:00.9039;3;850
   5.3230;2024/06/05 10:45:01.2429;5;923
   5.5680;2024/06/05 10:45:01.4879;5;923
   5.7230;2024/06/05 10:45:01.6429;3;965
   5.8150;2024/06/05 10:45:01.7349;5;923
   6.0620;2024/06/05 10:45:01.9819;5;923
   6.3070;2024/06/05 10:45:02.2269;5;923
   6.5540;2024/06/05 10:45:02.4739;5;923
   6.7070;2024/06/05 10:45:02.6269;3;840
   6.8000;2024/06/05 10:45:02.7199;5;923
   7.0470;2024/06/05 10:45:02.9669;5;923
   7.2930;2024/06/05 10:45:03.2129;5;923
   7.4470;2024/06/05 10:45:03.3669;3;846
   7.5390;2024/06/05 10:45:03.4589;5;923
   7.7850;2024/06/05 10:45:03.7049;5;923
   8.0310;2024/06/05 10:45:03.9509;5;923
   8.4320;2024/06/05 10:45:04.3519;3;914
   9.2630;2024/06/05 10:45:05.1829;5;908
   9.4170;2024/06/05 10:45:05.3369;3;810
  10.0020;2024/06/05 10:45:05.9219;5;908
  10.2480;2024/06/05 10:45:06.1679;5;907
  10.4020;2024/06/05 10:45:06.3219;3;936
  10.4940;2024/06/05 10:45:06.4139;5;908
  10.7410;2024/06/05 10:45:06.6609;5;908
  10.9870;2024/06/05 10:45:06.9069;5;908
  11.1400;2024/06/05 10:45:07.0599;3;944
  11.2340;2024/06/05 10:45:07.1539;5;908
  11.4790;2024/06/05 10:45:07.3989;5;908
  11.7260;2024/06/05 10:45:07.6459;5;908
  11.9720;2024/06/05 10:45:07.8919;5;908
  12.1260;2024/06/05 10:45:08.0459;3;859
  12.2180;2024/06/05 10:45:08.1379;5;908
  12.4640;2024/06/05 10:45:08.3839;5;908
  12.7100;2024/06/05 10:45:08.6299;5;908
  12.9600;2024/06/05 10:45:08.8799;5;908
  13.1100;2024/06/05 10:45:09.0299;3;945
  13.2030;2024/06/05 10:45:09.1229;5;908
  13.4500;2024/06/05 10:45:09.3699;5;908
  13.6960;2024/06/05 10:45:09.6159;5;908
  13.9420;2024/06/05 10:45:09.8619;5;908
  14.0950;2024/06/05 10:45:10.0149;3;964
  14.1880;2024/06/05 10:45:10.1079;5;908
  14.4350;2024/06/05 10:45:10.3549;5;908
  14.6810;2024/06/05 10:45:10.6009;5;908
  14.8350;2024/06/05 10:45:10.7549;3;872
  14.9270;2024/06/05 10:45:10.8469;5;908
  15.6660;2024/06/05 10:45:11.5859;5;908
  15.8200;2024/06/05 10:45:11.7399;3;957
  16.4060;2024/06/05 10:45:12.3259;5;908
  16.5580;2024/06/05 10:45:12.4779;3;940
  16.6510;2024/06/05 10:45:12.5709;5;908
  16.8970;2024/06/05 10:45:12.8169;5;908
  17.1440;2024/06/05 10:45:13.0639;5;908
  17.3900;2024/06/05 10:45:13.3099;5;908
  17.5440;2024/06/05 10:45:13.4639;3;849
  17.6370;2024/06/05 10:45:13.5569;5;908
  18.3750;2024/06/05 10:45:14.2949;5;908
  18.5290;2024/06/05 10:45:14.4489;3;919
  18.6220;2024/06/05 10:45:14.5419;5;908
  18.8680;2024/06/05 10:45:14.7879;5;908
  19.1140;2024/06/05 10:45:15.0339;5;908
  19.3610;2024/06/05 10:45:15.2809;5;908
  19.5140;2024/06/05 10:45:15.4339;3;950
  19.6110;2024/06/05 10:45:15.5309;5;908
  20.3450;2024/06/05 10:45:16.2649;5;923
  20.7460;2024/06/05 10:45:16.6659;3;876
  21.0840;2024/06/05 10:45:17.0039;5;923
  21.3300;2024/06/05 10:45:17.2499;5;923
  21.4840;2024/06/05 10:45:17.4039;3;961
  21.5770;2024/06/05 10:45:17.4969;5;923
  21.8230;2024/06/05 10:45:17.7429;5;923
  22.0690;2024/06/05 10:45:17.9889;5;923
  22.3150;2024/06/05 10:45:18.2349;5;923
  22.4690;2024/06/05 10:45:18.3889;3;984
  22.5620;2024/06/05 10:45:18.4819;5;923
  22.8080;2024/06/05 10:45:18.7279;5;923
  23.0540;2024/06/05 10:45:18.9739;5;923
  23.2080;2024/06/05 10:45:19.1279;3;896
  23.3000;2024/06/05 10:45:19.2199;5;923
  23.5470;2024/06/05 10:45:19.4669;5;923
  23.7940;2024/06/05 10:45:19.7139;5;923
  24.0400;2024/06/05 10:45:19.9599;5;923
  24.1930;2024/06/05 10:45:20.1129;3;936
  24.2850;2024/06/05 10:45:20.2049;5;923
  24.5320;2024/06/05 10:45:20.4519;5;923
  24.7780;2024/06/05 10:45:20.6979;5;923
  25.0250;2024/06/05 10:45:20.9449;5;923
  25.1790;2024/06/05 10:45:21.0989;3;963
  25.2710;2024/06/05 10:45:21.1909;5;923
  25.9170;2024/06/05 10:45:21.8369;3;882
  26.0100;2024/06/05 10:45:21.9299;5;923
  26.2560;2024/06/05 10:45:22.1759;5;923
  26.5030;2024/06/05 10:45:22.4229;5;923
  26.7490;2024/06/05 10:45:22.6689;5;923
  26.9030;2024/06/05 10:45:22.8229;3;944
  26.9940;2024/06/05 10:45:22.9139;5;923
  27.2410;2024/06/05 10:45:23.1609;5;923
  27.4880;2024/06/05 10:45:23.4079;5;922
  27.7330;2024/06/05 10:45:23.6529;5;923
  27.8870;2024/06/05 10:45:23.8069;3;941
  27.9800;2024/06/05 10:45:23.8999;5;923
  28.2260;2024/06/05 10:45:24.1459;5;923
  28.4730;2024/06/05 10:45:24.3929;5;923
  28.7190;2024/06/05 10:45:24.6389;5;923
  28.8720;2024/06/05 10:45:24.7919;3;849
  28.9650;2024/06/05 10:45:24.8849;5;938
  29.2110;2024/06/05 10:45:25.1309;5;938
  29.6110;2024/06/05 10:45:25.5309;3;934
  29.9500;2024/06/05 10:45:25.8699;5;938
  30.1960;2024/06/05 10:45:26.1159;5;938
  30.4430;2024/06/05 10:45:26.3629;5;938
  30.6890;2024/06/05 10:45:26.6089;5;938
  30.9350;2024/06/05 10:45:26.8549;5;938
  31.0880;2024/06/05 10:45:27.0079;3;959
  31.1810;2024/06/05 10:45:27.1009;5;938
  31.4280;2024/06/05 10:45:27.3479;5;938
  31.5820;2024/06/05 10:45:27.5019;3;871
  31.6740;2024/06/05 10:45:27.5939;5;938
  31.9200;2024/06/05 10:45:27.8399;5;938
  32.1670;2024/06/05 10:45:28.0869;5;938
  32.4130;2024/06/05 10:45:28.3329;5;938
  32.5670;2024/06/05 10:45:28.4869;3;953
  32.6600;2024/06/05 10:45:28.5799;5;938
  33.3980;2024/06/05 10:45:29.3179;5;938
  33.5510;2024/06/05 10:45:29.4709;3;974
  33.6450;2024/06/05 10:45:29.5649;5;938
  33.8910;2024/06/05 10:45:29.8109;5;938
  34.1370;2024/06/05 10:45:30.0569;5;938
  34.2900;2024/06/05 10:45:30.2099;3;907
  34.3830;2024/06/05 10:45:30.3029;5;938
  34.6290;2024/06/05 10:45:30.5489;5;938
  34.8760;2024/06/05 10:45:30.7959;5;938
  35.1210;2024/06/05 10:45:31.0409;5;938
  35.2750;2024/06/05 10:45:31.1949;3;969
  35.3680;2024/06/05 10:45:31.2879;5;938
  35.6150;2024/06/05 10:45:31.5349;5;938
  35.8610;2024/06/05 10:45:31.7809;5;938
  36.1070;2024/06/05 10:45:32.0269;5;938
  36.2600;2024/06/05 10:45:32.1799;3;964
  36.3530;2024/06/05 10:45:32.2729;5;938
  37.0920;2024/06/05 10:45:33.0119;5;938
  37.2450;2024/06/05 10:45:33.1649;3;906
  37.3380;2024/06/05 10:45:33.2579;5;938
  37.5850;2024/06/05 10:45:33.5049;5;938
  37.8310;2024/06/05 10:45:33.7509;5;938
  38.0770;2024/06/05 10:45:33.9969;5;938
  38.2310;2024/06/05 10:45:34.1509;3;975
  38.3240;2024/06/05 10:45:34.2439;5;938
  38.5690;2024/06/05 10:45:34.4889;5;938
  38.8160;2024/06/05 10:45:34.7359;5;938
  39.0620;2024/06/05 10:45:34.9819;5;938
  39.2160;2024/06/05 10:45:35.1359;3;908
  39.3090;2024/06/05 10:45:35.2289;5;938
  39.5550;2024/06/05 10:45:35.4749;5;938
  39.8010;2024/06/05 10:45:35.7209;5;938
  40.0470;2024/06/05 10:45:35.9669;5;938
  40.2020;2024/06/05 10:45:36.1219;3;938
  40.2930;2024/06/05 10:45:36.2129;5;938
  40.5400;2024/06/05 10:45:36.4599;5;938
  40.7860;2024/06/05 10:45:36.7059;5;938
  40.9400;2024/06/05 10:45:36.8599;3;976
  41.0330;2024/06/05 10:45:36.9529;5;938
  41.2790;2024/06/05 10:45:37.1989;5;938
  41.5260;2024/06/05 10:45:37.4459;5;938
  41.7710;2024/06/05 10:45:37.6909;5;938
  41.9240;2024/06/05 10:45:37.8439;3;877
  42.0180;2024/06/05 10:45:37.9379;5;938
  42.2640;2024/06/05 10:45:38.1839;5;938
  42.5110;2024/06/05 10:45:38.4309;5;938
  42.6640;2024/06/05 10:45:38.5839;3;917
  42.7560;2024/06/05 10:45:38.6759;5;938
  43.0020;2024/06/05 10:45:38.9219;5;952
  43.6490;2024/06/05 10:45:39.5689;3;936
  43.7420;2024/06/05 10:45:39.6619;5;952
  43.9870;2024/06/05 10:45:39.9069;5;952
  44.2340;2024/06/05 10:45:40.1539;5;952
  44.6340;2024/06/05 10:45:40.5539;3;861
  45.4660;2024/06/05 10:45:41.3859;5;952
  45.6180;2024/06/05 10:45:41.5379;3;966
  45.7110;2024/06/05 10:45:41.6309;5;952
  45.9580;2024/06/05 10:45:41.8779;5;952
  46.2040;2024/06/05 10:45:42.1239;5;952
  46.4510;2024/06/05 10:45:42.3709;5;952
  46.6040;2024/06/05 10:45:42.5239;3;992
  46.6970;2024/06/05 10:45:42.6169;5;952
  46.9430;2024/06/05 10:45:42.8629;5;952
  47.1890;2024/06/05 10:45:43.1089;5;952
  47.4360;2024/06/05 10:45:43.3559;5;952
  47.5890;2024/06/05 10:45:43.5089;3;920
  47.6820;2024/06/05 10:45:43.6019;5;952
  47.9280;2024/06/05 10:45:43.8479;5;952
  48.1740;2024/06/05 10:45:44.0939;5;952
  48.3280;2024/06/05 10:45:44.2479;3;1007
  48.4210;2024/06/05 10:45:44.3409;5;952
  48.6670;2024/06/05 10:45:44.5869;5;952
  49.3130;2024/06/05 10:45:45.2329;3;966
  49.4060;2024/06/05 10:45:45.3259;5;952
  49.6530;2024/06/05 10:45:45.5729;5;952
  49.8980;2024/06/05 10:45:45.8179;5;952
  50.1450;2024/06/05 10:45:46.0649;5;952
  50.3910;2024/06/05 10:45:46.3109;5;952
  50.5440;2024/06/05 10:45:46.4639;3;887
  50.6370;2024/06/05 10:45:46.5569;5;952
  50.8840;2024/06/05 10:45:46.8039;5;952
  51.1300;2024/06/05 10:45:47.0499;5;952
  51.5300;2024/06/05 10:45:47.4499;3;973
  51.8690;2024/06/05 10:45:47.7889;5;952
  52.1150;2024/06/05 10:45:48.0349;5;952
  52.2680;2024/06/05 10:45:48.1879;3;923
  52.3610;2024/06/05 10:45:48.2809;5;952
  52.6080;2024/06/05 10:45:48.5279;5;952
  52.8530;2024/06/05 10:45:48.7729;5;952
  53.1000;2024/06/05 10:45:49.0199;5;952
  53.2530;2024/06/05 10:45:49.1729;3;890
  53.3460;2024/06/05 10:45:49.2659;5;952
  53.5920;2024/06/05 10:45:49.5119;5;952
  53.8390;2024/06/05 10:45:49.7589;5;952
  54.2390;2024/06/05 10:45:50.1589;3;1023
  54.5770;2024/06/05 10:45:50.4969;5;952
  54.8240;2024/06/05 10:45:50.7439;5;952
  55.0700;2024/06/05 10:45:50.9899;5;952
  55.2230;2024/06/05 10:45:51.1429;3;995
  55.8090;2024/06/05 10:45:51.7289;5;952
  56.0550;2024/06/05 10:45:51.9749;5;952
  56.2080;2024/06/05 10:45:52.1279;3;943
  56.3020;2024/06/05 10:45:52.2219;5;952
  56.5480;2024/06/05 10:45:52.4679;5;952
  56.7940;2024/06/05 10:45:52.7139;5;952
  56.9470;2024/06/05 10:45:52.8669;3;1001
  57.0410;2024/06/05 10:45:52.9609;5;952
