reltime;datetime;iSensor;headPos.x;headPos.y;headPos.z;headPosQ;headYaw;headPitch;headRoll;headRotQ;gazeSrc.x;gazeSrc.y;gazeSrc.z;gazeDir.x;gazeDir.y;gazeDir.z;gazeQ;leftEyeOpen;leftEyeOpenQ;rightEyeOpen;rightEyeOpenQ;pupil;pupilQ

   0.0010;2024/06/13 11:30:10.5209;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.969;-0.186;0.162;0.99;10.00;1.00;9.75;1.00;3.53;0.99
   1.2840;2024/06/13 11:30:11.8039;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.949;-0.192;0.250;1.00;10.00;1.00;10.00;1.00;3.19;1.00
   1.2940;2024/06/13 11:30:11.8139;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.947;-0.198;0.252;1.00;10.00;1.00;10.00;1.00;3.21;1.00
   1.3140;2024/06/13 11:30:11.8339;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.948;-0.197;0.251;1.00;10.00;1.00;10.00;1.00;3.20;1.00
   1.3240;2024/06/13 11:30:11.8439;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.948;-0.197;0.252;1.00;10.00;1.00;10.00;1.00;3.19;1.00
   1.3440;2024/06/13 11:30:11.8639;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.948;-0.196;0.250;1.00;10.00;1.00;10.00;1.00;3.20;1.00
   1.3540;2024/06/13 11:30:11.8739;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.948;-0.194;0.251;1.00;10.00;1.00;10.00;1.00;3.22;1.00
   1.3740;2024/06/13 11:30:11.8939;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.949;-0.195;0.249;1.00;10.00;1.00;10.00;1.00;3.22;1.00
   1.3940;2024/06/13 11:30:11.9139;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.948;-0.194;0.252;1.00;10.00;1.00;10.00;1.00;3.25;1.00
   1.4040;2024/06/13 11:30:11.9239;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.948;-0.194;0.252;1.00;10.00;1.00;10.00;1.00;3.24;1.00
   1.4240;2024/06/13 11:30:11.9439;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.947;-0.196;0.254;1.00;10.00;1.00;10.00;1.00;3.23;1.00
   1.4340;2024/06/13 11:30:11.9539;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.947;-0.195;0.255;1.00;10.00;1.00;10.00;1.00;3.20;1.00
   1.4540;2024/06/13 11:30:11.9739;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.947;-0.194;0.255;1.00;10.00;1.00;10.00;1.00;3.22;1.00
   1.4640;2024/06/13 11:30:11.9839;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.946;-0.197;0.257;1.00;10.00;1.00;10.00;1.00;3.22;1.00
   1.4840;2024/06/13 11:30:12.0039;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.947;-0.197;0.255;1.00;10.00;1.00;10.00;1.00;3.20;1.00
   1.5030;2024/06/13 11:30:12.0229;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.948;-0.192;0.256;1.00;10.00;1.00;10.00;1.00;3.20;1.00
   1.5130;2024/06/13 11:30:12.0329;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.948;-0.192;0.256;1.00;10.00;1.00;10.00;1.00;3.20;1.00
   1.5330;2024/06/13 11:30:12.0529;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.948;-0.191;0.255;1.00;10.00;1.00;10.00;1.00;3.21;1.00
   1.5430;2024/06/13 11:30:12.0629;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.948;-0.191;0.255;1.00;10.00;1.00;10.00;1.00;3.21;1.00
   1.5630;2024/06/13 11:30:12.0829;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.948;-0.188;0.256;1.00;10.00;1.00;10.00;1.00;3.18;1.00
   1.5730;2024/06/13 11:30:12.0929;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.948;-0.189;0.255;1.00;10.00;1.00;10.00;1.00;3.20;1.00
   1.5930;2024/06/13 11:30:12.1129;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.947;-0.193;0.257;1.00;10.00;1.00;10.00;1.00;3.17;1.00
   1.6130;2024/06/13 11:30:12.1329;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.947;-0.194;0.257;1.00;10.00;1.00;10.00;1.00;3.19;1.00
   1.6230;2024/06/13 11:30:12.1429;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.947;-0.196;0.254;1.00;10.00;1.00;10.00;1.00;3.19;1.00
   1.6430;2024/06/13 11:30:12.1629;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.947;-0.198;0.252;1.00;10.00;1.00;10.00;1.00;3.17;1.00
   1.6530;2024/06/13 11:30:12.1729;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.947;-0.200;0.252;1.00;10.00;1.00;10.00;1.00;3.18;1.00
   1.6730;2024/06/13 11:30:12.1929;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.948;-0.200;0.248;1.00;10.00;1.00;10.00;1.00;3.17;1.00
   1.6830;2024/06/13 11:30:12.2029;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.948;-0.201;0.247;1.00;10.00;1.00;10.00;1.00;3.18;1.00
   1.7030;2024/06/13 11:30:12.2229;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.949;-0.198;0.245;1.00;10.00;1.00;10.00;1.00;3.16;1.00
   1.7130;2024/06/13 11:30:12.2329;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.949;-0.198;0.245;1.00;10.00;1.00;10.00;1.00;3.16;1.00
   1.7330;2024/06/13 11:30:12.2529;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.949;-0.196;0.248;1.00;10.00;1.00;10.00;1.00;3.16;1.00
   1.7430;2024/06/13 11:30:12.2629;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.949;-0.195;0.249;1.00;10.00;1.00;10.00;1.00;3.17;1.00
   1.7630;2024/06/13 11:30:12.2829;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.948;-0.195;0.251;1.00;10.00;1.00;10.00;1.00;3.18;1.00
   1.7830;2024/06/13 11:30:12.3029;0;0.000;0.000;0.000;0.00;0.0;0.0;0.0;0.00;-0.020;0.010;-0.015;0.949;-0.195;0.249;1.00;10.00;1.00;10.00;1.00;3.16;1.00
